Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Oltréé,Antoine Bauza,John Grümph,John Grümph,N/A,N/A
Duelosaur Island,Ian Moss,N/A,N/A,N/A,N/A
Level 7 [Omega Protocol],Will Schoonover,N/A,N/A,N/A,N/A
A Game of Thrones: The Card Game,Nate French,Eric M. Lang,Christian T. Petersen,N/A,N/A
Viceroy,Yuri Zhuravljov,N/A,N/A,N/A,N/A
The Golden Ages,Luigi Ferrini,N/A,N/A,N/A,N/A
Java,Michael Kiesling,Wolfgang Kramer,N/A,N/A,N/A
Hostage Negotiator,A. J. Porfirio,N/A,N/A,N/A,N/A
Deep Madness,Chauncey,Roger Ho,N/A,N/A,N/A
Nanty Narking,Martin Wallace,N/A,N/A,N/A,N/A
Mission: Red Planet,Bruno Cathala,Bruno Faidutti,Bruno Faidutti's,Bruno Cathala,N/A
Medina,Stefan Dorra,Stefan Dorra,N/A,N/A,N/A
CloudAge,Alexander Pfister,Arno Steinwender,N/A,N/A,N/A
Cartagena,Leo Colovini,N/A,N/A,N/A,N/A
Ninjato,Dan Schnake,Adam West,N/A,N/A,N/A
Ulm,Günter Burkhardt,N/A,N/A,N/A,N/A
Ticket to Ride: Germany,Alan R. Moon,N/A,N/A,N/A,N/A
La Famiglia: The Great Mafia War,Maximilian Maria Thiel,N/A,N/A,N/A,N/A
Hellboy: The Board Game,James M. Hewitt,Sophie Williams,N/A,N/A,N/A
The Captain Is Dead,Joe Price,JT Smith,N/A,N/A,N/A
One Deck Dungeon: Forest of Shadows,Chris Cieslik,N/A,N/A,N/A,N/A
Escape the Dark Castle,Alex Crispin,Thomas Pike,James Shelton,N/A,N/A
Deep Rock Galactic: The Board Game,Ole Steiness,N/A,N/A,N/A,N/A
Escape Room: The Game,(Uncredited),N/A,N/A,N/A,N/A
Rialto,Stefan Feld,N/A,N/A,N/A,N/A
Fearsome Floors,Friedemann Friese,N/A,N/A,N/A,N/A
System Gateway (fan expansion for Android: Netrunner),Zoe Cohen,McGregor Crowley,June Valencia Cuervo,Max Chippington Derrick,N/A
Sobek: 2 Players,Bruno Cathala,Sébastien Pauchon,N/A,N/A,N/A
Trekking the World,Charlie Bink,N/A,N/A,N/A,N/A
New Angeles,James Kniffen,N/A,N/A,N/A,N/A
Agemonia,Max Wikström,N/A,N/A,N/A,N/A
"The Hunters: German U-Boats at War, 1939-43",Gregory M. Smith,N/A,N/A,N/A,N/A
TEN,Molly Johnson,Robert Melvin,Shawn Stankewich,N/A,N/A
Rise of Tribes,Brad Brooks,N/A,N/A,N/A,N/A
Railroad Ink Challenge: Shining Yellow Edition,Hjalmar Hach,Lorenzo Silva,N/A,N/A,N/A
Pickomino,Reiner Knizia,Reiner Knizia,N/A,N/A,N/A
La Cosa Nostra,Johannes Sich,N/A,N/A,N/A,N/A
Townsfolk Tussle,Stephen Louis,Tony Mayer,Rachel Rusk,N/A,N/A
Trains: Rising Sun,Steve Ellis (II),Hisashi Hayashi,N/A,N/A,N/A
Guildhall,Hope S. Hwang,N/A,N/A,N/A,N/A
Coffee Rush,Euijin Han,N/A,N/A,N/A,N/A
Paint the Roses,Ben Goldman,N/A,N/A,N/A,N/A
Ultimate Werewolf: Ultimate Edition,Ted Alspach,N/A,N/A,N/A,N/A
Kahuna,Günter Cornett,N/A,N/A,N/A,N/A
Guillotine,Paul Peterson,N/A,N/A,N/A,N/A
Evo,Philippe Keyaerts,N/A,N/A,N/A,N/A
ito,326,N/A,N/A,N/A,N/A
Smash Up: It's Your Fault!,Paul Peterson,N/A,N/A,N/A,N/A
UBOOT: The Board Game,Bartosz Pluta,Artur Salwarowski,N/A,N/A,N/A
burncycle,Josh J. Carlson,Shannon Wedge,N/A,N/A,N/A
Pixies,Johannes Goupy,N/A,N/A,N/A,N/A
Renature,Michael Kiesling,Wolfgang Kramer,N/A,N/A,N/A
Keythedral,Richard Breese,N/A,N/A,N/A,N/A
Sylvion,Shadi Torbey,N/A,N/A,N/A,N/A
Kingdom Rush: Rift in Time,Alara Cameron,Helana Hope,Sen-Foong Lim,N/A,N/A
Merchant of Venus,Richard Hamblen,Richard Hamblen,Richard Hamblen,Ray Pfeifer,N/A
MicroMacro: Crime City – All In,Johannes Sich,N/A,N/A,N/A,N/A
The Castles of Burgundy: The Dice Game,Stefan Feld,Christoph Toussaint,N/A,N/A,N/A
Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,Thomas Cauët,Raymond Edwards,Suzanne Goldberg,Gary Grady,N/A
Disney Villainous: Despicable Plots,Michael Mulvihill,N/A,N/A,N/A,N/A
Trapwords,Jan Březina,Martin Hrabálek,Michal Požárek,N/A,N/A
Walking in Burano,Wei-Min Ling,N/A,N/A,N/A,N/A
Liberté,Martin Wallace,N/A,N/A,N/A,N/A
Planet Steam,Heinz-Georg Thiemann,N/A,N/A,N/A,N/A
Stroganov,Andreas Steding,N/A,N/A,N/A,N/A
Starship Captains,Peter B. Hoffgaard,N/A,N/A,N/A,N/A
Time's Up! Edición Amarilla,Peter Sarrett,N/A,N/A,N/A,N/A
Dark Moon,Evan Derrick,N/A,N/A,N/A,N/A
Fleet: The Dice Game (Second Edition),Ben Pinchback,Matt Riddle,N/A,N/A,N/A
Museum,Eric Dubus,Olivier Melison,N/A,N/A,N/A
Wings of War: Famous Aces,Andrea Angiolino,Pier Giorgio Paglia,N/A,N/A,N/A
Manhattan,Andreas Seyfarth,N/A,N/A,N/A,N/A
Seas of Strife,Mark Major,N/A,N/A,N/A,N/A
Turn the Tide,Stefan Dorra,N/A,N/A,N/A,N/A
The Rich and the Good,Carlo A. Rossi,N/A,N/A,N/A,N/A
Welcome to the Dungeon,Hisanori Hiraoka,Masato Uesugi,N/A,N/A,N/A
Zombicide: Undead or Alive,Raphaël Guiton,Jean-Baptiste Lullien,Nicolas Raoult,N/A,N/A
V-Sabotage,Thibaud de la Touanne,N/A,N/A,N/A,N/A
