Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Batman: Poker gegen Joker,Schöbel,S. Craig Taylor,Wollinsky,N/A,N/A
Light Seeker,Daniel Danzer,Julian Danzer,N/A,N/A,N/A
Cat & Chocolate: Business Is Business,Ryo Kawakami,N/A,N/A,N/A,N/A
Numeracy Legends and The Rainbow Unicorn,Chu-Lan Kao,N/A,N/A,N/A,N/A
Machiavelli,N/A,N/A,N/A,N/A,N/A
Bzura 1939 (first edition),Michal Rakowski,N/A,N/A,N/A,N/A
Outburst: Travel Edition,Brian Hersch,N/A,N/A,N/A,N/A
The Last Starfighter Combat Game,"L. Ross Babcock, III",Jordan Weisman,N/A,N/A,N/A
Bamboozled,Justin Martin,N/A,N/A,N/A,N/A
Sabacc,N/A,N/A,N/A,N/A,N/A
Alan and Bobby's Block and Guess,Alan R. Moon,Bobby West,N/A,N/A,N/A
Rimtik,Jean-Baptiste Fremaux,Thomas Luzurier,Paul-Adrien Tournier,N/A,N/A
Coral Reef,Jemina Heljakka,N/A,N/A,N/A,N/A
Napoleon's First Battles,Joseph Miranda,N/A,N/A,N/A,N/A
Kakerlakentanz,Jacques Zeimet,N/A,N/A,N/A,N/A
Ganesha,Maxim Istomin,N/A,N/A,N/A,N/A
Animotion,Bruno Faidutti,Nathalie Grandperrin,N/A,N/A,N/A
UNO: Jurassic World,Merle Robbins,N/A,N/A,N/A,N/A
Knock Your Blocks Off,Rebekah Bissell,N/A,N/A,N/A,N/A
U-Boat,Charles S. Roberts,Charles Roberts,N/A,N/A,N/A
Spoilers: Popcorn Edition,Manu Palau,N/A,N/A,N/A,N/A
Architekton,Michael Schacht,N/A,N/A,N/A,N/A
Escape from Las Vegas,N/A,N/A,N/A,N/A,N/A
Quest: Edição Família,N/A,N/A,N/A,N/A,N/A
Piracy,Michael Greiss,N/A,N/A,N/A,N/A
Politix,Touko Tahkokallio,N/A,N/A,N/A,N/A
Dragon Lords,Matt Forbeck,Bryan Winter,N/A,N/A,N/A
Barnyard Bunch,Justin Lee,N/A,N/A,N/A,N/A
Piratatak,Grégory Kirszbaum,N/A,N/A,N/A,N/A
Raben schubsen,Marco Teubner,N/A,N/A,N/A,N/A
Deadpool vs The World,Casey Sershon,N/A,N/A,N/A,N/A
Zama: Hannibal versus Scipio,Larry Baggett,Wayland Grace,N/A,N/A,N/A
Off Topic,N/A,N/A,N/A,N/A,N/A
Cactus Throne: The Mexican War of 1862-1867,Andy Nunez,N/A,N/A,N/A,N/A
Glom,Ellen Burns-Johnson,Mark LaCroix,Dale Lynn LaCroix,Stephen McGregor,N/A
Let's Buy Hollywood,Harry Rubin,Cathy Rubin,N/A,N/A,N/A
Moscou 1941: Aux Portes du Kremlin,Walter Vejdovsky,N/A,N/A,N/A,N/A
Speedy Recall,Mark Fuchs,N/A,N/A,N/A,N/A
Venture Party,Erik Fox-Jackson,N/A,N/A,N/A,N/A
"The Battle for North Africa: War in the Desert, 1940-42",Richard H. Berg,N/A,N/A,N/A,N/A
Tuppen,(Uncredited),N/A,N/A,N/A,N/A
DAWAK,Alexandre Droit,N/A,N/A,N/A,N/A
Globbo!,Allen Varney,N/A,N/A,N/A,N/A
Fishing for Words,Jim Keifer,N/A,N/A,N/A,N/A
Waterworks,Mattiene Moustakas,N/A,N/A,N/A,N/A
Imperial Storm,N/A,N/A,N/A,N/A,N/A
Nitro,Timur Baskakov,N/A,N/A,N/A,N/A
The Ants Go Marching,Arpad Fritsche,N/A,N/A,N/A,N/A
