Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Funkoverse Strategy Game: Harry Potter 100,Prospero Hall,Chris Rowlands,N/A,N/A,N/A
UNO Flip!,(Uncredited),N/A,N/A,N/A,N/A
Quebec 1759,Steve Brewster,Tom Dalgliesh,Lance Gutteridge,Tom Wham,N/A
Do De Li Do,Jacques Zeimet,N/A,N/A,N/A,N/A
Proving Grounds,Kane Klenko,N/A,N/A,N/A,N/A
Marshmallow Test,Reiner Knizia,N/A,N/A,N/A,N/A
PAX,Bernd Eisenstein,N/A,N/A,N/A,N/A
Duck & Cover,Oussama Khelifati,N/A,N/A,N/A,N/A
Spirits of the Rice Paddy,Philip duBarry,N/A,N/A,N/A,N/A
Codenames: Harry Potter,Vlaada Chvátil,Scot Eaton,N/A,N/A,N/A
Realm of Sand,Ji Hua Wei,N/A,N/A,N/A,N/A
Yōkai,Julien Griffon,N/A,N/A,N/A,N/A
Marvel Villainous: Mischief & Malice,Prospero Hall,Michael Mulvihill,N/A,N/A,N/A
Iquazú,Michael Feldkötter,N/A,N/A,N/A,N/A
EXIT: The Game – Advent Calendar: The Missing Hollywood Star,Inka Brand,Markus Brand,N/A,N/A,N/A
Cheaty Mages!,Seiji Kanai,N/A,N/A,N/A,N/A
Escape Room in a Box: The Werewolf Experiment,Wild Optimists,Juliana Moreno Patel,Ariel Rubin,N/A,N/A
Wicked Witches Way,Bruno Cathala,Serge Laget,N/A,N/A,N/A
Catan Histories: Struggle for Rome,Klaus Teuber,N/A,N/A,N/A,N/A
Arkham Horror: Final Hour,Todd Michlitsch,Carlo A. Rossi,N/A,N/A,N/A
Stomp the Plank,Florian Sirieix,Benoit Turpin,N/A,N/A,N/A
Battle for Germany,Michael Bennighof,Jim Dunnigan,N/A,N/A,N/A
Axis & Allies: War at Sea,Richard Baker,Mike Elliott,N/A,N/A,N/A
Telestrations: 6 Player Family Pack,N/A,N/A,N/A,N/A,N/A
The Bucket King,Stefan Dorra,N/A,N/A,N/A,N/A
Christmas Tree,Nagy Balázs,N/A,N/A,N/A,N/A
Way of the Panda,Andrea Mainini,Walter Obert,Alberto Vendramini,N/A,N/A
Intrepid,Jeff Beck (II),Jeff Krause,N/A,N/A,N/A
Street Fighter: The Miniatures Game,Alex Tune,Joe Vargas,N/A,N/A,N/A
Finska Mini,(Uncredited),N/A,N/A,N/A,N/A
Medical Mysteries: NYC Emergency Room,Rebecca Bleau,Nicholas Cravotta,N/A,N/A,N/A
Wonder Woman: Challenge of the Amazons,Prospero Hall,Dexter Stevens,N/A,N/A,N/A
Valley of the Vikings,Wilfried Fort,Marie Fort,N/A,N/A,N/A
Richard the Lionheart,Andrea Chiarvesio,N/A,N/A,N/A,N/A
Eggs and Empires,Ben Pinchback,Matt Riddle,N/A,N/A,N/A
Council of Verona,Michael Eskue,N/A,N/A,N/A,N/A
Poseidon's Kingdom,Fraser Lamont,N/A,N/A,N/A,N/A
French Quarter,Adam Hill,Ben Pinchback,Matt Riddle,N/A,N/A
Town Builder: Coevorden,Eric Raué,N/A,N/A,N/A,N/A
Pest,Thomas Nielsen,Kai Starck,N/A,N/A,N/A
Terminus,Earl Aspiras,Tom Volpe,N/A,N/A,N/A
Bios: Megafauna,Phil Eklund,N/A,N/A,N/A,N/A
SeaFall,Rob Daviau,N/A,N/A,N/A,N/A
Getaway Driver,Jeff Beck (II),N/A,N/A,N/A,N/A
Rapa Nui,Klaus-Jürgen Wrede,N/A,N/A,N/A,N/A
Rent a Hero,Kuro,N/A,N/A,N/A,N/A
Scooby-Doo! Betrayal at Mystery Mansion,Banana Chan,Noah Cohen,Rob Daviau,Brian Neff,N/A
Eminent Domain: Microcosm,Seth Jaffee,N/A,N/A,N/A,N/A
Biome,Leonie Grundler,N/A,N/A,N/A,N/A
Khronos,Arnaud Urbon,Ludovic Vialla,N/A,N/A,N/A
Ninety-Nine,David Parlett,N/A,N/A,N/A,N/A
YRO,Masato Uesugi,N/A,N/A,N/A,N/A
Richelieu,Michael Schacht,N/A,N/A,N/A,N/A
