Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Songs of Far Shores: Omen Game 1,John Clowdus,N/A,N/A,N/A,N/A
Alienation,Chris Lombardi,Coryn Lombardi,N/A,N/A,N/A
Pathogen,Kuan Chen,N/A,N/A,N/A,N/A
Recicle: Tempos de Crise,Luish Moraes Coelho,N/A,N/A,N/A,N/A
School of Sorcery,Steve Finn,N/A,N/A,N/A,N/A
Rockband Manager,Antoine Bauza,N/A,N/A,N/A,N/A
"Manila: The Savage Streets, 1945",Michael Rinella,N/A,N/A,N/A,N/A
Masters of Mutanite,Andrew Federspiel,N/A,N/A,N/A,N/A
Gretchinz!,Roberto Fraga,Yohan Lemonnier,N/A,N/A,N/A
Stroop,Jonathan Chaffer,N/A,N/A,N/A,N/A
Nine-minute Kingdom,Stefan Mieszczak,N/A,N/A,N/A,N/A
Da Luigi,Rüdiger Dorn,N/A,N/A,N/A,N/A
Maniacal,Hassan Lopez,N/A,N/A,N/A,N/A
ChronoCops: Einstein's Relativity Crisis,Martin Kallenborn,Matthias Prinz,N/A,N/A,N/A
Codex: Card-Time Strategy – Starter Set,David Sirlin,N/A,N/A,N/A,N/A
La Bataille d'Orthez,Eric Lyons,N/A,N/A,N/A,N/A
Scream Machine,Joe Huber (I),N/A,N/A,N/A,N/A
Cypher,David Short,N/A,N/A,N/A,N/A
Nova Aetas,Luca Bernardini,Andrea Colletti,Daniele Colletti,N/A,N/A
War Without Mercy,Rob Beyma,N/A,N/A,N/A,N/A
Simply Catan,Klaus Teuber,N/A,N/A,N/A,N/A
Legendary Creatures,Eduardo Baraf,Christopher Hamm,N/A,N/A,N/A
Garden Rush,Ki Mansell,N/A,N/A,N/A,N/A
Excalibur,Chris Courtiour,Richard Milner,Julian Musgrave,Dieter Schmidt,Jamie Walker
Birds of Prey: Air Combat in the Jet Age,Philip A. Markgraf,Tony Valle,N/A,N/A,N/A
AttrAction,Jeff Glickman,N/A,N/A,N/A,N/A
Von Manstein's Triumph,Francisco Ronco,N/A,N/A,N/A,N/A
Big Kini,Guido Eckhof,N/A,N/A,N/A,N/A
Flash Point,Kevin Lanzing,N/A,N/A,N/A,N/A
Zero to 100,Antonin Boccara,N/A,N/A,N/A,N/A
Dice Upon a Time,Istvan Szauer,N/A,N/A,N/A,N/A
Onoda,Francisco Gradaille,N/A,N/A,N/A,N/A
The Battles of Rhode Island & Newport,Mark Miklos,N/A,N/A,N/A,N/A
