Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Master Plan,"D. Brad Talton, Jr.",N/A,N/A,N/A,N/A
On a Scale of One to T-Rex,Wolfgang Warsch,N/A,N/A,N/A,N/A
1899,Dirk Clemens,Ingo Mayer,N/A,N/A,N/A
Happiest Town,Toshiki Sato,Airu Sato,N/A,N/A,N/A
Hour of Need: Judge and Jury,Adam Sadler,Brady Sadler,N/A,N/A,N/A
Paikō,Michael Irving,Marianne Waage,N/A,N/A,N/A
Aban!,Ricardo Dzib,N/A,N/A,N/A,N/A
Cortiça,Manuel Correia,N/A,N/A,N/A,N/A
Viva Catrina,Fred Boulle,Grégory Grard,N/A,N/A,N/A
Isolation,Bernd Kienitz,N/A,N/A,N/A,N/A
Monikers: The McElroy Collection,Griffin McElroy,Travis McElroy,Justin McElroy,N/A,N/A
Savage Streets,Tom Morin,N/A,N/A,N/A,N/A
Super Truffle Pigs,Jason Corace,N/A,N/A,N/A,N/A
Gunfights & Gamblin',Jonathan Hartzell,N/A,N/A,N/A,N/A
Deckchairs on the Titanic,Tom Holness,N/A,N/A,N/A,N/A
The Hunger Games: Mockingjay – The Board Game,Jack Caesar,Alessio Cavatore,N/A,N/A,N/A
Lair,TAM,N/A,N/A,N/A,N/A
Unlock!: Escape Adventures – Noël en Juillet,Vincent Goyat,N/A,N/A,N/A,N/A
Galactic Destiny,Jonathan Mauro,Elegwen O'Maoileoin,Richard Pulis,Wayne Pulis,N/A
Tangoes,Maurice Kanbar,N/A,N/A,N/A,N/A
War for Indagar,N/A,N/A,N/A,N/A,N/A
Business Walrus: A Party Game,N/A,N/A,N/A,N/A,N/A
Chess 2: The Sequel,David Sirlin,N/A,N/A,N/A,N/A
Ravingspire,Joshua Carlson,Cory Scanlan,N/A,N/A,N/A
The Fall of Rome,John Young,Joe Miranda,N/A,N/A,N/A
Blood Orders,Nick Badagliacca,N/A,N/A,N/A,N/A
Optimates et Populares,Amabel Holland,N/A,N/A,N/A,N/A
Kajko i Kokosz: Szkoła Latania,Reiner Knizia,N/A,N/A,N/A,N/A
Caprice,Oliver Bolten,Rolf Rötgers,N/A,N/A,N/A
Maestro,Rudi Hoffmann,N/A,N/A,N/A,N/A
Rokumon,Charles Ward,N/A,N/A,N/A,N/A
Stak Bots: Yellow Expansion,Tom Norfolk,N/A,N/A,N/A,N/A
The Little Land: The Battle of Novorossiysk,Adam Starkweather,N/A,N/A,N/A,N/A
Moose Match Mayhem,Dave Campbell (II),N/A,N/A,N/A,N/A
Big Manitou,Günter Burkhardt,N/A,N/A,N/A,N/A
Vivarium,Corey Le Mesurier,N/A,N/A,N/A,N/A
T.E.G.: Plan Táctico y Estratégico de la Guerra,David Jiterman,N/A,N/A,N/A,N/A
Wrott & Swindlers,Steve Doherty,N/A,N/A,N/A,N/A
Tension: The Crazy Naming Game,(Uncredited),N/A,N/A,N/A,N/A
Albuera 1811,David Kershaw,N/A,N/A,N/A,N/A
Alesia: Last Stand of the Gauls,Joseph Miranda,N/A,N/A,N/A,N/A
Samurai Vassal,Jeffrey CCH,Kevin TKW,Kenneth YWN,N/A,N/A
Corner,Sid Sackson,N/A,N/A,N/A,N/A
İnkılâp,Tunca Zeki Berkkurt,N/A,N/A,N/A,N/A
Paradisio,Niek Neuwahl,N/A,N/A,N/A,N/A
Beverage,Konomi Nikaido,N/A,N/A,N/A,N/A
Zero Hero,Klaus-Jürgen Wrede,Ralf zur Linde,N/A,N/A,N/A
Avanti mare!,Günter Burkhardt,N/A,N/A,N/A,N/A
Santander '37,Javier Romero,N/A,N/A,N/A,N/A
The Year of the 5 Emperors,L'équipe ludique,Roméo Hennion,Clément Leclercq,N/A,N/A
Daddy Cool,Heinz Meister,N/A,N/A,N/A,N/A
Battles in the East 2: Uman Pocket and Guderian's Final Blitzkrieg,Antony Birkett,N/A,N/A,N/A,N/A
Kartini: From Darkness to Light,Sherria Ayuandini,N/A,N/A,N/A,N/A
HONK!,Matthew West,N/A,N/A,N/A,N/A
Schloss Schlotterstein,Kai Haferkamp,Markus Nikisch,N/A,N/A,N/A
Kittens in a Blender,Brent Knudson,Brian Knudson,N/A,N/A,N/A
Principles of War: Napoleonic – Wars Between 1792 and 1815,Tom Penn,N/A,N/A,N/A,N/A
Jutland: Duel of the Dreadnoughts,Ben Knight,N/A,N/A,N/A,N/A
Hitster: Magyar kiadás,N/A,N/A,N/A,N/A,N/A
Judge Dredd: The Game of Crime-Fighting in Mega-City One,Ian Livingstone,N/A,N/A,N/A,N/A
Sea Lords on the Mekong Delta,Joseph Miranda,N/A,N/A,N/A,N/A
Burger ASAP!,ましう (Mashiu),N/A,N/A,N/A,N/A
Mumia: Wyścig w bandażach,Michael Kiesling,Wolfgang Kramer,N/A,N/A,N/A
Magic: The Gathering – Duel Decks: Zendikar vs. Eldrazi,Chris Millar,Sam Stoddard,N/A,N/A,N/A
Manekinecollection,Reiner Knizia,N/A,N/A,N/A,N/A
Benevolent,Yuri Zhuravljov,N/A,N/A,N/A,N/A
Dolina królików,Anna Sobich-Kamińska,N/A,N/A,N/A,N/A
"Yetisburg: Titanic Battles in History, Vol. 1",Joshua J. Frost,Mike Selinker,N/A,N/A,N/A
Los Dorem & Las runas Mágicas,Daniel Fernández González,N/A,N/A,N/A,N/A
Rising Sun Railroads,John Bohrer,N/A,N/A,N/A,N/A
Miscellaneous Game Magazine,N/A,N/A,N/A,N/A,N/A
Der letzte Panther,Doris Matthäus,Frank Nestel,N/A,N/A,N/A
Zooscape,Hisashi Hayashi,N/A,N/A,N/A,N/A
Reef Route,Arpad Fritsche,N/A,N/A,N/A,N/A
Squeaky,David Spada,N/A,N/A,N/A,N/A
Seeker Chronicles,Fulvio Flamini,Hendrik Poulsen Nautrup,Lea M. Trenkwalder,N/A,N/A
Word-Whiz,Hajo Bücken,N/A,N/A,N/A,N/A
Trivial Pursuit: Horror Ultimate Edition,N/A,N/A,N/A,N/A,N/A
Sail Away,Marc André,N/A,N/A,N/A,N/A
Rumpelstiltskin,Nate Heiss,N/A,N/A,N/A,N/A
Ghoulash,Mike Suchcicki,N/A,N/A,N/A,N/A
DOUC IN DANGER,Noël Campana,N/A,N/A,N/A,N/A
