Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Thieves!,Richard de Rijk,N/A,N/A,N/A,N/A
Barbarossa: The Russo-German War 1941-45,Jim Dunnigan,Bob Champer,N/A,N/A,N/A
Sakana Stack,Mike Petchey,N/A,N/A,N/A,N/A
Cleptómano,Julián Tunni,N/A,N/A,N/A,N/A
London After Midnight 2: Sherlock in Hell,Enrique Dueñas González,N/A,N/A,N/A,N/A
Everbloom,Nolan Lee,Ian Moss,N/A,N/A,N/A
"Winter's Victory: The Battle of Preussisch-Eylau, 7-8 February 1807",Mark Hinkle,N/A,N/A,N/A,N/A
Fullmetal Alchemist: Brotherhood – The Promised Day,Nao Shimamura (シマムラナオ),N/A,N/A,N/A,N/A
Signal,Jasper Beatrix,N/A,N/A,N/A,N/A
Hold the Line: The American Civil War,Grant Wylie,Mike Wylie,N/A,N/A,N/A
Flag Dash,Kirk Dennison,N/A,N/A,N/A,N/A
"Ariete: The Battle of Bir el Gubi, Libya November 1941",Mauro de Vita,Dean Essig,N/A,N/A,N/A
21 Hand Games,Don Eskridge,N/A,N/A,N/A,N/A
Space Battle Lunchtime Card Game,Daniel Solis,N/A,N/A,N/A,N/A
Cat Packs,Tobias Hall,N/A,N/A,N/A,N/A
Libraria,Marcello Bertocchi,N/A,N/A,N/A,N/A
For What Remains: Blood on the Rails,Paul Low,David Thompson (I),Ricardo Manuel Luis Tomas,N/A,N/A
Core Worlds: Empires,Christopher Guild,Andrew Parks,N/A,N/A,N/A
New Eden,Benjamin Schwer,N/A,N/A,N/A,N/A
The Legend of Zelda: Clockwork Realm,Chris J Davis,N/A,N/A,N/A,N/A
Pizza Chef: The Next Generation,Tyron de Windt,Vivienne de Windt,N/A,N/A,N/A
Sherco's Grand Slam Baseball Game,Steve LeShay,N/A,N/A,N/A,N/A
Assault on Gallipoli: The ANZAC Landing Campaign 1915,Kieran Oakley,N/A,N/A,N/A,N/A
Hexaquest: The Strategic Trivia Game,N/A,N/A,N/A,N/A,N/A
Untamed: Feral Factions – Spirit Strike edition,Jeremy Falger,Milan Lefferts,N/A,N/A,N/A
Mascotas,Raul Lopez Gamiz,Juan Carlos Ruiz,N/A,N/A,N/A
Overlords of Infamy,Christian Olsen,David Zuckman,N/A,N/A,N/A
"Winged Horse: Campaigns in Vietnam, 1965-66",Joseph Miranda,Joseph Miranda,N/A,N/A,N/A
Archers of Nand,Pablo Garaizar,N/A,N/A,N/A,N/A
Space Lion: Divide and Conquer,Chris Solis,N/A,N/A,N/A,N/A
Coerceo,Erik Görtzen,N/A,N/A,N/A,N/A
Smash Monster Rampage!,Mike Swindall,N/A,N/A,N/A,N/A
Shiftago,Frank Warneke,Robert Witter,N/A,N/A,N/A
Lucky Little Luxembourg,Matt Deuber,Ryan Heilman,Cody Sandifer,Dave Shaw (II),N/A
Kontour,Ignacio Sánchez Usera,N/A,N/A,N/A,N/A
Sergeants Miniatures Game: Red Devils,Jeff Billings,Mike Billings,N/A,N/A,N/A
Pico 2,Doris Matthäus,Frank Nestel,N/A,N/A,N/A
Storm Over Scandinavia,John Astell,A. E. Goodwin,Winston Hamilton,N/A,N/A
Veleno,Alex Randolph,N/A,N/A,N/A,N/A
Wings Over France,Terry Goodchild,N/A,N/A,N/A,N/A
The Murder at Cthulhu Manor,Ryo Kawakami,N/A,N/A,N/A,N/A
Warhammer Fantasy Battle (Third Edition),Jim Bambra,Rick Priestley,N/A,N/A,N/A
Crime Story: Vienna,Peter Prinz,N/A,N/A,N/A,N/A
Kitsune,Fernando Coria,N/A,N/A,N/A,N/A
Watchmen of Destiny,Lukas Litvaj,N/A,N/A,N/A,N/A
Balance Duels,Bum van Willigen,N/A,N/A,N/A,N/A
Expedition Altiplano,Christian Martinez,N/A,N/A,N/A,N/A
3 Kings,Thomas Mazzantini,Samuele Sai,N/A,N/A,N/A
Sapporo 1876,Takeo Yamada,N/A,N/A,N/A,N/A
Tenno,Michael Palm,Lukas Zach,N/A,N/A,N/A
Rowboat,John Montague,Cristina Ramos,David Schiller,N/A,N/A
LOT,Néstor Romeral Andrés,N/A,N/A,N/A,N/A
Bohnanza: Das Würfelspiel,Uwe Rosenberg,N/A,N/A,N/A,N/A
War & Peace,Grant Wylie,N/A,N/A,N/A,N/A
War Between The States 1861-1865 (Second Edition),Irad B. Hardy,N/A,N/A,N/A,N/A
Cave Paintings,Zintis May-Krumins,N/A,N/A,N/A,N/A
"Burma: The Forgotten War, 1943–1944",Mark Herman,N/A,N/A,N/A,N/A
Voll auf die 18,Marc-Uwe Kling,N/A,N/A,N/A,N/A
The Three Little Wolves,Poki Chen,Smoox Chen,N/A,N/A,N/A
Inklings,(Uncredited),N/A,N/A,N/A,N/A
Warhammer: The Game of Fantasy Battles (Fourth Edition),Andy Chambers,Bill King,Rick Priestley,Nigel Stillman,N/A
Trajan: Ancient Wars Series,Joseph Miranda,N/A,N/A,N/A,N/A
The Solo System,Chad Mestdagh,N/A,N/A,N/A,N/A
Spy Web,Bill Sabram,N/A,N/A,N/A,N/A
Ascension Tactics: Inferno,Gary Arant,Justin Gary,N/A,N/A,N/A
Monster Mash,(Uncredited),N/A,N/A,N/A,N/A
Chaostle,Mark Jacobs,N/A,N/A,N/A,N/A
Gekitai,Scott Brady,N/A,N/A,N/A,N/A
Escape Room: The Game – Puzzle Adventures: Mission Mayday,N/A,N/A,N/A,N/A,N/A
Kleine Helden,Malte aus dem Siepen,N/A,N/A,N/A,N/A
Budapest '45,John Desch,N/A,N/A,N/A,N/A
Sprocketforge,Ananda Guneratne,N/A,N/A,N/A,N/A
The Dwarves: The Duel,Michael Palm,Lukas Zach,N/A,N/A,N/A
Polaris,Simone Luciani,Andrea Mainini,N/A,N/A,N/A
24h,David Bernal,N/A,N/A,N/A,N/A
Wilderness Empires,Bill Molyneaux,N/A,N/A,N/A,N/A
MOD X,Joan Wilkinson,Mark Wilkinson (II),N/A,N/A,N/A
Dungeon Date,Michael Addison,N/A,N/A,N/A,N/A
Wild West Exodus,N/A,N/A,N/A,N/A,N/A
Patriots & Redcoats,Tom Butler,N/A,N/A,N/A,N/A
TaskForce: Naval Tactics and Operations in the 1980's,Joseph M. Balkoski,N/A,N/A,N/A,N/A
Chronology,N/A,N/A,N/A,N/A,N/A
Sanctuary,Mathias Wigge,N/A,N/A,N/A,N/A
Obcy,Artur Górski,N/A,N/A,N/A,N/A
Risk: Mass Effect – Galaxy at War Edition,Andrew Wolf,N/A,N/A,N/A,N/A
Boom Boom Balloon,Frans Rookmaaker,N/A,N/A,N/A,N/A
Nantucket,Nathaniel Levan,N/A,N/A,N/A,N/A
Mini Mastermind,Mordecai Meirowitz,N/A,N/A,N/A,N/A
Alpine Trails,Jake Jenne,Nathan Jenne,N/A,N/A,N/A
Boot Hill,Brian Blume,Gary Gygax,N/A,N/A,N/A
Klickado,Christian Sovis,N/A,N/A,N/A,N/A
Queen Bee,Mike Bruner,N/A,N/A,N/A,N/A
Vulcanus,Masato Uesugi,N/A,N/A,N/A,N/A
Unsolved Case Files: Jamie Banks,John Carroll,N/A,N/A,N/A,N/A
Potemkin Empire,Jonathan Woodard (II),N/A,N/A,N/A,N/A
Micro Space Empire,Robert Bartelli,N/A,N/A,N/A,N/A
Formula D,Laurent Lavaur,Eric Randall,N/A,N/A,N/A
Xactika,R. E. Falco,Marsha J. Falco,N/A,N/A,N/A
Garden Geckos,James Staley,N/A,N/A,N/A,N/A
Mole Hill,Reiner Knizia,N/A,N/A,N/A,N/A
