Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
On the Cards,Sebastian Bleasdale,N/A,N/A,N/A,N/A
Double Ditto,Christine Krogue,N/A,N/A,N/A,N/A
Regnum Angelica,Casey Willett,Aaron Yung,N/A,N/A,N/A
Tiny Mini Golf,Kamis Kamiński,N/A,N/A,N/A,N/A
Savage: A Game of Survival,N/A,N/A,N/A,N/A,N/A
Exceed: BlazBlue – Hazama Box,"D. Brad Talton, Jr.",Daniel Zeiger,N/A,N/A,N/A
Masters of Crime: Rapture,Lukas Setzke,Martin Student,Verena Wiechens,N/A,N/A
Sinoda,Scott R. Kelly,Bill Murphy,N/A,N/A,N/A
Monstrous,Kim Brebach,N/A,N/A,N/A,N/A
A Glorious Chance: The Naval Struggle for Lake Ontario in the War of 1812,Gina Willis,N/A,N/A,N/A,N/A
Jungle Speed Limited Bertone Edition,Thomas Vuarchex,Pierrick Yakovenko,N/A,N/A,N/A
Mississippi Fortress,Gary Selkirk,N/A,N/A,N/A,N/A
The Alamo,Eric Lee Smith,N/A,N/A,N/A,N/A
Sammu-ramat,Besime Uyanik,N/A,N/A,N/A,N/A
Drive on Kursk:  July 1943,Ty Bomba,Eric Goldberg,James F. Dunnigan,N/A,N/A
MonstroCity,Constantine Kevorque,N/A,N/A,N/A,N/A
Jotto,N/A,N/A,N/A,N/A,N/A
Final Fantasy XIV: Gold Saucer Cactpot Party,Yoshihiko Uto (宇藤慶彦),N/A,N/A,N/A,N/A
*Star,Ea Ea,N/A,N/A,N/A,N/A
ボブジテン (Bob Jiten),Kazuna*,N/A,N/A,N/A,N/A
Arabian Struggle,Nick Porter,Tim Uren,N/A,N/A,N/A
18NL,Helmut Ohley,N/A,N/A,N/A,N/A
Gullible,Rémy Wannerbroucq,N/A,N/A,N/A,N/A
100 Swords: The Gold King's Dungeon,Samuel Strick,N/A,N/A,N/A,N/A
Fortress Europa: Designer Signature Edition,John Edwards,John Edwards,N/A,N/A,N/A
Wagram 1809,Laurent Martin,N/A,N/A,N/A,N/A
Dôjima,Miguel Molleda,Julio Romacho,N/A,N/A,N/A
Escape Room: The Game – 2 Players,Bruno De Lat,N/A,N/A,N/A,N/A
When Lions Sailed,Joseph Miranda,N/A,N/A,N/A,N/A
Drizzit: il gioco di carte,Luigi Cecchi,Andrea Chiarvesio,N/A,N/A,N/A
Interplay,Philip Shoptaugh,N/A,N/A,N/A,N/A
"U.S.N.: The Game of War in the Pacific, 1941-43",Jim Dunnigan,N/A,N/A,N/A,N/A
Pressure Cooker,Kane Klenko,N/A,N/A,N/A,N/A
World War II: Barbarossa 1941,Konstantin Krivenko,N/A,N/A,N/A,N/A
Crits & Tricks,Pete Wissinger,N/A,N/A,N/A,N/A
Assyrian Wars,Udo Grebe,N/A,N/A,N/A,N/A
Hill of Doves: The First Anglo-Boer War,Godfrey Bailey,N/A,N/A,N/A,N/A
Epic Card Game: Guardians of Gowana,Robert Dougherty,CJ Moynihan,N/A,N/A,N/A
Warzone: Universe Under Siege,Thomas Talamini,N/A,N/A,N/A,N/A
Bid Euchre,(Uncredited),N/A,N/A,N/A,N/A
Start Frei,Klemens Franz,Hanno Girke,Dale Yu,N/A,N/A
Turtle Race Mini,Reiner Knizia,N/A,N/A,N/A,N/A
Excalibohn,Uwe Rosenberg,N/A,N/A,N/A,N/A
Warzoo,Fel Barros,N/A,N/A,N/A,N/A
Command Decision: Test of Battle,Frank Chadwick,Glenn E. Kidd,N/A,N/A,N/A
Battleground World War II,Bob Brodeur,Devin Cooley,Brad Sanders,N/A,N/A
Buurn,David Simiand,Pierre Voyé,N/A,N/A,N/A
Adventurous,Dustin Dobson,Milan Zivkovic,N/A,N/A,N/A
Too Many Cooks,Jarrah Bloomfield,N/A,N/A,N/A,N/A
Adlung Land,Silvano Sorrentino,N/A,N/A,N/A,N/A
Inner Compass,Asger Harding Granerud,Daniel Skjold Pedersen,N/A,N/A,N/A
Guam: Return to Glory,Ross Mortell,Adam Starkweather,N/A,N/A,N/A
Fast Shot,Jurgen Spreutels,N/A,N/A,N/A,N/A
Double or Nothing,Reiner Knizia,N/A,N/A,N/A,N/A
Soldier's Companion,Frank Chadwick,N/A,N/A,N/A,N/A
Kacper Ryx i Król Żebraków,Daniel Budacz,Piotr Krzystek,Łukasz Wrona,N/A,N/A
Sideshow: The Campaign for German East Africa 1914-1918,Richard H. Berg,N/A,N/A,N/A,N/A
Partners,Thomas Bisgaard,N/A,N/A,N/A,N/A
Operation Olympic: The Invasion of Japan 1 November 1945,Jim Dunnigan,N/A,N/A,N/A,N/A
Waving Hands,Richard A. Bartle,N/A,N/A,N/A,N/A
The Secret Flower,Daryl Chow,Daniel Lee Yingjie,N/A,N/A,N/A
Calçada,Vangelis Bagiartakis,Konstantinos Karagiannis,N/A,N/A,N/A
Parkies,JT Smith,N/A,N/A,N/A,N/A
2491 Planetship,Antonio Sousa Lara,N/A,N/A,N/A,N/A
Volterra,Julien Griffon,N/A,N/A,N/A,N/A
Saga: The Crescent and The Cross,Alexandre Buchel,N/A,N/A,N/A,N/A
Flying Carpet,Kurt Feyerabend,Elke Flogaus,N/A,N/A,N/A
TransAmerica & Japan,Franz-Benno Delonge,N/A,N/A,N/A,N/A
Raise,Peter Prinz,N/A,N/A,N/A,N/A
UNDO: Peak of No Return,Michael Palm,Lukas Zach,N/A,N/A,N/A
Trenches of Valor: Raids Across No Man's Land 1918,Pelle Nilsson (I),N/A,N/A,N/A,N/A
Five Nights at Freddy's: Survive 'Til 6AM,Funko Games,Dexter Stevens,N/A,N/A,N/A
Welcome To... Mini,Benoit Turpin,N/A,N/A,N/A,N/A
The Curious Elevator of Mr. Hincks,Ace Ellett,Anna Ellett,N/A,N/A,N/A
Visby,Stefan Risthaus,N/A,N/A,N/A,N/A
Soccer 17,Jack Darwid,N/A,N/A,N/A,N/A
Days of Decision,Harry Rowland,N/A,N/A,N/A,N/A
Warhammer Quest: Lost Relics,N/A,N/A,N/A,N/A,N/A
Persona 5 Print & Play Board Game,MingYang Lu,N/A,N/A,N/A,N/A
Highlander: The Board Game,Jack Caesar,Alessio Cavatore,N/A,N/A,N/A
Behind,Sebastian Jakob,Michael Palm,N/A,N/A,N/A
Micro Monsters,Marco Maggi,Francesco Nepitello,N/A,N/A,N/A
Ninja Sloths,Amanda Naqvi,N/A,N/A,N/A,N/A
Colorium,Leonsiya Litvinova,N/A,N/A,N/A,N/A
Reconquista,Marco Antonio del Campo,N/A,N/A,N/A,N/A
Provincia Romana,Pierluigi Frumusa,N/A,N/A,N/A,N/A
Energie Poker,Jürgen Herz,N/A,N/A,N/A,N/A
Bat Flip Dynasty,Scott Courlander,N/A,N/A,N/A,N/A
Havok & Hijinks,Adam Ferrel Trzonkowski,N/A,N/A,N/A,N/A
Mensch ärgere Dich nicht: Das Kartenspiel,Michael Kiesling,Wolfgang Kramer,N/A,N/A,N/A
Skora,Rory Muldoon,N/A,N/A,N/A,N/A
Ocean Limbo,Corné van Moorsel,N/A,N/A,N/A,N/A
Donkey Valley,Stefaan Henderickx,N/A,N/A,N/A,N/A
Deblockle,Joshua Sellers,N/A,N/A,N/A,N/A
ぽんこつファクトリー (Ponkotsu Factory),Yoshihiko Koriyama (郡山喜彦),Yoshiaki Tomioka,N/A,N/A,N/A
"Seas of Thunder: Global Naval Warfare, 1939-45",Neal Cebulskie,Jeff Horger,Chuck Maher,N/A,N/A
Reinforce the Right!,Joseph Miranda,N/A,N/A,N/A,N/A
Goblins vs Zombies,Jack Darwid,N/A,N/A,N/A,N/A
