Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Wednesday: The Card Game,N/A,N/A,N/A,N/A,N/A
Tryce,(Uncredited),N/A,N/A,N/A,N/A
End of Atlantis: Revised Edition,Marcin Wełnicki,N/A,N/A,N/A,N/A
Bookmaker,Giuseppe De Carolis,N/A,N/A,N/A,N/A
Star Trek Trivia Game,(Uncredited),N/A,N/A,N/A,N/A
Castle Blast,N/A,N/A,N/A,N/A,N/A
Children of Fire,Erich Wambach,N/A,N/A,N/A,N/A
Meteors,Marta Ciaccasassi,Dario Dordoni,N/A,N/A,N/A
Higher or Lower,The AIMS Group PTY Ltd,N/A,N/A,N/A,N/A
Step by Step,Nichola Marcinkiewicz,N/A,N/A,N/A,N/A
Flippi Flatter,Big Ideas Product Development Ltd.,N/A,N/A,N/A,N/A
Quartex,Tim W. K. Brown,N/A,N/A,N/A,N/A
Tricky Druids,Carlo A. Rossi,N/A,N/A,N/A,N/A
Sky Runner,Dan Glimne,Erik Karlsson,Joel Sevelin,N/A,N/A
Konzern,Valentin Herman,N/A,N/A,N/A,N/A
Austin Poker,Alan D. Ernstein,N/A,N/A,N/A,N/A
"Guardians of the Galaxy, Vol. 2: Gear Up and Rock Out! An Awesome Mix Card Game",N/A,N/A,N/A,N/A,N/A
