Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Lamarckian Poker,James Ernest,David Howell,N/A,N/A,N/A
Utopia,James Henchman-Price,N/A,N/A,N/A,N/A
Birth,Takashi Sakaue,N/A,N/A,N/A,N/A
Romance of the Nine Empires,Mark Wootton,N/A,N/A,N/A,N/A
Sherlock Holmes Detective Story Game,Steve Mackenzie,N/A,N/A,N/A,N/A
Down with the King,Glenn Rahman,Kenneth Rahman,Glenn Rahman,Mick Uhl,Glenn Rahman
House of Normandy,Amabel Holland,N/A,N/A,N/A,N/A
The Coding,Vatcharis Thanomsub,Threetases Thanomsub,N/A,N/A,N/A
PinPoint,Brett Sobol,Seth Van Orden,N/A,N/A,N/A
Animal Rescue,Daryl Chow,N/A,N/A,N/A,N/A
5 Alive,Eàmon Bloomfield,N/A,N/A,N/A,N/A
In their Quiet fields,Dean Essig,N/A,N/A,N/A,N/A
Rome At War III: Queen of the Celts,William Sariego,N/A,N/A,N/A,N/A
Pictionary: 20th Anniversary,(Uncredited),N/A,N/A,N/A,N/A
Cover Me,Bram Verbiest,N/A,N/A,N/A,N/A
Gangster's Dilemma,Adrian Adamescu,Daryl Andrews,N/A,N/A,N/A
Masquerade,Michael Bujtas,N/A,N/A,N/A,N/A
Run Run Run!,Bruno Cathala,Anthony Perone,N/A,N/A,N/A
Hoyle's Games,Edmond Hoyle,N/A,N/A,N/A,N/A
Les Apaches de Paris,Alain Ollier,Tony Rochon,N/A,N/A,N/A
"Saipan & Tinian: Island War Series, Volume I",Michael Taylor (I),N/A,N/A,N/A,N/A
Liberation 1944: The British Campaign in North West Europe – A Panzer Grenadier Game,Mike Perryman,N/A,N/A,N/A,N/A
Krynea Battlefield,Míchel González,Ramón González,N/A,N/A,N/A
Forgotten Pacific Battles,Eric R. Harvey,N/A,N/A,N/A,N/A
Casino Yahtzee,(Uncredited),N/A,N/A,N/A,N/A
"The Moscow Campaign: Strike and Counterstrike Russia, 1941",Jim Dunnigan,N/A,N/A,N/A,N/A
Hitler's Last Gamble,Danny S. Parker,N/A,N/A,N/A,N/A
Space Alone,Radosław Ignatów,N/A,N/A,N/A,N/A
California Gold,Patrick Stevens,N/A,N/A,N/A,N/A
Docteur Pilule,Guillaume Brunier,Jean-Philippe Caro,Jacques Exertier,Jacques Thénoz,N/A
IT Startup,Mateusz Kupilas,N/A,N/A,N/A,N/A
Baden-Württemberg Catan,Klaus Teuber,N/A,N/A,N/A,N/A
Goose Green,Carl Fung,N/A,N/A,N/A,N/A
"Bürger, Baumeister & Co.",Michael Schacht,N/A,N/A,N/A,N/A
Evil Upheaval,N/A,N/A,N/A,N/A,N/A
Deluxe Camping,Vincent Everaert,N/A,N/A,N/A,N/A
Fliip Football,David T Miller,N/A,N/A,N/A,N/A
UNO: Star Trek,Jim Keifer,N/A,N/A,N/A,N/A
"Warhammer 40,000: Know No Fear",N/A,N/A,N/A,N/A,N/A
Celtic,Dirk Hillebrecht,N/A,N/A,N/A,N/A
Carla Cat,Susanne Kummer,N/A,N/A,N/A,N/A
Zoom Zoom Vroom,Takashi Sakaue,N/A,N/A,N/A,N/A
Invasion 1066: Stamford Bridge,Norman Smith,N/A,N/A,N/A,N/A
Marbleous,Mads Fløe,Kåre Torndahl Kjær,N/A,N/A,N/A
Race Day,(Uncredited),N/A,N/A,N/A,N/A
The Damsel's Tale,Paul Nicholas,Josh Sommerfeld,Alex Wynnter,N/A,N/A
1777: The Year of the Hangman,Ed Wimble,N/A,N/A,N/A,N/A
Funkoverse Strategy Game: Space Jam A New Legacy 100,Prospero Hall,Chris Rowlands,N/A,N/A,N/A
Quietbell,Sergey Minevich,N/A,N/A,N/A,N/A
Kazaam,Małgorzata Majkowska,Tomasz Z. Majkowski,N/A,N/A,N/A
RAMbots,Kory Heath,N/A,N/A,N/A,N/A
RUSE,Guime,N/A,N/A,N/A,N/A
"Bitter End: A Relief of the Besieged City, 1945",Richard Spence,N/A,N/A,N/A,N/A
Colosseum,Masato Ikeda (池田正人),Ryo Sugiura (杉浦諒),N/A,N/A,N/A
Disney Eye Found It!: Hidden Picture Card Game,Forrest-Pruzan Creative,Rob Stoddard,N/A,N/A,N/A
Mazescape Kids: Hipnos,Pablo Céspedes,Víctor Hugo Cisternas,N/A,N/A,N/A
Wallamoppi,Garrett J. Donner,Michael S. Steer,N/A,N/A,N/A
Coral Islands,Rohan Dagard,Richard Maass,N/A,N/A,N/A
Die Händler vom Taubertal,Martin Bethäuser,Christoph Kraus,Fabian Schwab,N/A,N/A
Renegade Legion: Prefect,Karl Hiesterman,Sam Lewis,N/A,N/A,N/A
Unicorn Glitterluck: A Party for Rosalie,Kristin Mückel,N/A,N/A,N/A,N/A
The Last Victory: Von Manstein's Backhand Blow,John Schettler,N/A,N/A,N/A,N/A
Night of the Mummy,Peter C. Hayward,N/A,N/A,N/A,N/A
NMBR 9 ++,Peter Wichmann,N/A,N/A,N/A,N/A
Riot Quest: Single-Player Starter Set,Will Hungerford,N/A,N/A,N/A,N/A
Pass the Party Food,Phil Walker-Harding,N/A,N/A,N/A,N/A
Otter,Dylan Coyle,N/A,N/A,N/A,N/A
BIRDIE!: The Disc Golf Board Game,Todd Dodge,Steve Dodge,N/A,N/A,N/A
Castle Climbing Frog,Gunter Baars,Markus Nikisch,N/A,N/A,N/A
Ghost Blitz Junior,Jacques Zeimet,N/A,N/A,N/A,N/A
Magic: The Gathering – Duel Decks: Heroes vs. Monsters,Kelly Digges,Chris Millar,Sam Stoddard,N/A,N/A
Pink Godzilla Dev Kit,Christopher Rama Rao,N/A,N/A,N/A,N/A
Clash of Steel: A Tactical Card Game of Medieval Duels,Ben Dutter,N/A,N/A,N/A,N/A
The Path of the Adventurers,Elias Alonso Herranz,N/A,N/A,N/A,N/A
Time Bomb: Undercover,佐藤 雄介 (Yusuke Sato),Quentin Schoemacker,N/A,N/A,N/A
Anno Domini: Seefahrer & Flieger,Urs Hostettler,N/A,N/A,N/A,N/A
The Hearmees,Wolfgang Lehmann,N/A,N/A,N/A,N/A
Z3BRA,Dirk Hanneforth,Uwe Mölter,N/A,N/A,N/A
Paras,Gavin Birnbaum,N/A,N/A,N/A,N/A
Angus: Batalhas Medievais,Sérgio Halaban,André Zatz,N/A,N/A,N/A
Vittoria 20,Kim Meints,N/A,N/A,N/A,N/A
Endangered Rescue! #1: Galápagos Penguins,Ace Ellett,Anna Ellett,N/A,N/A,N/A
Midnight Legion: Operation Deep Sleep,C. Aaron Kreader,N/A,N/A,N/A,N/A
War & Sheep,Bruno Cathala,Bruno Cathala,N/A,N/A,N/A
Booo!,Christophe Gonthier,N/A,N/A,N/A,N/A
Football Fever,(Uncredited),N/A,N/A,N/A,N/A
"The Russo-Turkish War, 1877-78",Joseph Miranda,N/A,N/A,N/A,N/A
Mafia the Party Game,Matt D'Ambra,N/A,N/A,N/A,N/A
Pocket Paragons: Origins,Brian McKay,N/A,N/A,N/A,N/A
Dragondraft,Benjamin Schwer,N/A,N/A,N/A,N/A
Aurignac,Loïc Lamy,N/A,N/A,N/A,N/A
Knights,Michael Schacht,N/A,N/A,N/A,N/A
GemPacked Cards,Eduardo Baraf,N/A,N/A,N/A,N/A
RIP,Alexandre Droit,N/A,N/A,N/A,N/A
Mentalis,Adam Godfroy,N/A,N/A,N/A,N/A
Kampf gegen das Bünzlitum,Angela Vögtli,N/A,N/A,N/A,N/A
Red Carpet,Anna Lucini Canals,Pau Moré Gómez,Eloi Pujadas,N/A,N/A
Die Osterinsel,Leo Colovini,Alex Randolph,N/A,N/A,N/A
LACORSA Grand Prix Game,Mark Haskins,N/A,N/A,N/A,N/A
Onager,Néstor Romeral Andrés,N/A,N/A,N/A,N/A
