Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Rivet Wars: Eastern Front,Bill Podurgiel,Ted Terranova,N/A,N/A,N/A
Dog Lover,David Short,N/A,N/A,N/A,N/A
Pinochle,(Uncredited),N/A,N/A,N/A,N/A
Avalon: Big Box,Don Eskridge,N/A,N/A,N/A,N/A
PanzerBlitz,Jim Dunnigan,Jim Dunnigan,Redmond Simonsen,Tom Oleson,Randall C. Reed
Trias,Ralf Lehmkuhl,N/A,N/A,N/A,N/A
Strozzi,Reiner Knizia,N/A,N/A,N/A,N/A
Zombicide: Dark Side,Raphaël Guiton,Jean-Baptiste Lullien,Nicolas Raoult,N/A,N/A
Harvest,Trey Chambers,N/A,N/A,N/A,N/A
Pandemic: Hot Zone – Europe,Matt Leacock,Thomas Lehmann,N/A,N/A,N/A
Call to Adventure: The Stormlight Archive,Chris O'Neal,Johnny O'Neal,N/A,N/A,N/A
Unstable Unicorns,Ramy Badie,N/A,N/A,N/A,N/A
Kick-Ass: The Board Game,Hjalmar Hach,Roberto Pestrin,Maurizio Vergendo,N/A,N/A
Turncoats,Matilda Simonsson,N/A,N/A,N/A,N/A
Deep Dive,Molly Johnson,Robert Melvin,Shawn Stankewich,N/A,N/A
Stamp Swap,Paul Salomon,N/A,N/A,N/A,N/A
W1815,Hannu Uusitalo,N/A,N/A,N/A,N/A
Krazy Wordz,Dirk Baumann,Thomas Odenhoven,Matthias Schmitt,N/A,N/A
Resident Evil 2: The Board Game,Mat Hart,Richard Loxam,Sherwin Matthews,N/A,N/A
Before the Wind,Torsten Landsvogt,N/A,N/A,N/A,N/A
Godspeed,Clayton Hargrave,Adam Hill,N/A,N/A,N/A
Axis & Allies: WWI 1914,"Larry Harris, Jr.",N/A,N/A,N/A,N/A
Splito,Romaric Galonnier,Luc Rémond,N/A,N/A,N/A
Scape Goat,Jon Perry,N/A,N/A,N/A,N/A
Dungeons & Dragons: The Fantasy Adventure Board Game,Amanda Birkinshaw,Barry Yearsley,N/A,N/A,N/A
Hitster: Summer Party,Marcus Carleson,N/A,N/A,N/A,N/A
The Dwarves,Michael Palm,Lukas Zach,N/A,N/A,N/A
Iliad,Dominique Ehrhard,N/A,N/A,N/A,N/A
Legacy: Gears of Time,Ben Harkins,N/A,N/A,N/A,N/A
Electropolis,Chang Yu Di,Wang Liang,Ku Chun Wei,N/A,N/A
1st & Goal,Stephen Glenn,N/A,N/A,N/A,N/A
Cavum,Michael Kiesling,Wolfgang Kramer,N/A,N/A,N/A
Pelican Cove,Lauge Luchau,N/A,N/A,N/A,N/A
Lure,Satoru Nakamura (中村聡),N/A,N/A,N/A,N/A
Karmaka,Eddy Boxerman,Dave Burke,N/A,N/A,N/A
Chrononauts,Andrew Looney,N/A,N/A,N/A,N/A
A Tale of Pirates,Asger Harding Granerud,Daniel Skjold Pedersen,Daniele Tascini,N/A,N/A
Noria,Sophia Wagner,N/A,N/A,N/A,N/A
Quartermaster General WW2: 2nd Edition,Ian Brody,N/A,N/A,N/A,N/A
Cataclysm: A Second World War,Scott Muldoon,William Terdoslavich,N/A,N/A,N/A
Unlock!: Secret Adventures – Tombstone Express,Arch Stanton,N/A,N/A,N/A,N/A
Pax Romana,Richard H. Berg,N/A,N/A,N/A,N/A
Bayonets & Tomahawks,Marc Rodrigue (II),N/A,N/A,N/A,N/A
Bag of Chips,Mathieu Aubert,Théo Rivière,N/A,N/A,N/A
