Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Menu Masters,Zach Weisman,Jordan Weisman,N/A,N/A,N/A
Pirates!,Reiner Knizia,N/A,N/A,N/A,N/A
Helionox: Chronicles,Taran Lewis Kratz,N/A,N/A,N/A,N/A
Trail of the Fox,Douglas Niles,N/A,N/A,N/A,N/A
Turris,Nikita Chigladze,Jun Li,N/A,N/A,N/A
Super Dice Heroes,Joe Hout,N/A,N/A,N/A,N/A
Pictionary Mania,Janice Ritter,Brian Yu,N/A,N/A,N/A
Aeronautica Imperialis,Warwick Kinrade,N/A,N/A,N/A,N/A
The Scrambled States of America: Deluxe Edition,Mary Ellroy,N/A,N/A,N/A,N/A
LOOP: Life of Ordinary People,Cyril Lee,Kenneth YWN,N/A,N/A,N/A
Dredd: The Card Game,Robin Elliott,Simon Lucas,N/A,N/A,N/A
Dark Eden,Bryan Winter,N/A,N/A,N/A,N/A
Scott Pilgrim Miniatures The World,Erica Bouyouris,N/A,N/A,N/A,N/A
Junior Labyrinth,Max J. Kobbert,N/A,N/A,N/A,N/A
"Skyhawk: Rolling Thunder, 1966",Steve Dixon,N/A,N/A,N/A,N/A
Micro Bots: Duel,Simon Beal,N/A,N/A,N/A,N/A
¡Arre Unicornio!,Cere Venteo,N/A,N/A,N/A,N/A
Red Empire,Frank Chadwick,N/A,N/A,N/A,N/A
Hinkel & Stein,Klaus Zoch,N/A,N/A,N/A,N/A
Tori-Tori: Endangered Species,Laura Mena,N/A,N/A,N/A,N/A
Grant's Gamble: Wilderness Campaign of 1864,Matt Burchfield,Grant Wylie,Mike Wylie,N/A,N/A
Epées de France,Frédéric Bey,N/A,N/A,N/A,N/A
Dealer's Choice,(Uncredited),N/A,N/A,N/A,N/A
"The Battle of Blenheim, 1704",Stephen Pole,N/A,N/A,N/A,N/A
Makruk,(Uncredited),N/A,N/A,N/A,N/A
Dark Souls: The Board Game – Painted World of Ariamis,Mat Hart,Richard Loxam,Sherwin Matthews,N/A,N/A
Bobbidi Boom,Guido Albini,Martino Chiacchiera,N/A,N/A,N/A
"Growling Tigers: The Battle for Changde, 1943",Wei-Cheng Cheng,Olivier Revenu,N/A,N/A,N/A
Oracle,Stefan Dorra,N/A,N/A,N/A,N/A
Flußpiraten,Walter Müller,Klaus Zoch,N/A,N/A,N/A
Brix,Charles Chevallier,Thierry Denoual,N/A,N/A,N/A
"Banish All Their Fears: Bayonet & Musket Battles, Volume 1",David A. Fox,Ben Hull,N/A,N/A,N/A
Cowboys II: Cowboys & Indians Edition,Matt Burchfield,Mike Wylie,Grant Wylie,Kevin Wylie,N/A
Waggle Dance,Mike Nudd,N/A,N/A,N/A,N/A
"Agincourt: The Triumph of Archery over Armor, 1415",Jim Dunnigan,Jim Dunnigan,N/A,N/A,N/A
Magic: The Gathering – Duel Decks: Elves vs. Inventors,Andrew Brown,Matthew Danner,Melissa DeTora,Ian Duke,N/A
Wing It: The Game of Extreme Storytelling,Molly Zeff,Molly Michelle Zeff,N/A,N/A,N/A
All The King's Men,Perry Grant,Reuben Klamer,N/A,N/A,N/A
Twilight of the Ottomans: World War I in the Middle East,Joseph Miranda,Joseph Miranda,N/A,N/A,N/A
Qu'arz,Julian ''EWKONE'' Arzdorf,Maximilian Starke,N/A,N/A,N/A
Montebello 1800,Frédéric Bey,N/A,N/A,N/A,N/A
Crossbows & Catapults: Castle Battle,Stephen Baker,Noah Cohen,Rob Daviau,Justin D. Jacobson,Brian Neff
Bussaco 20,Lance McMillan,N/A,N/A,N/A,N/A
Attakube,Valéry Fourcade,N/A,N/A,N/A,N/A
Soldier Emperor: Napoleon's Wars 1803-1815,Robert G. Markham,N/A,N/A,N/A,N/A
USS Laffey: The Ship That Would Not Die,Mike Heiman,N/A,N/A,N/A,N/A
Spycraft: Collectible Card Game,Michael Mullins,Justin Walsh,Dave Williams (II),N/A,N/A
Leipzig 20,Lance McMillan,N/A,N/A,N/A,N/A
Murder Mystery Party: The Night Hunter Game,Jordan Goddard,Mandy Goddard,Ryan Schoon,N/A,N/A
Paradox Island,Stepan Opalev,N/A,N/A,N/A,N/A
Armada: Two Player Starter Set,Matt Gilbert,N/A,N/A,N/A,N/A
Race Pace,Caroline ten Hout,Paul ten Hout,N/A,N/A,N/A
Pablo,Marcos Mayora,N/A,N/A,N/A,N/A
Runaljod: The Sound of the Runes,Joaquin Gonzalez,N/A,N/A,N/A,N/A
Subbuteo Cricket,Peter Adolph,N/A,N/A,N/A,N/A
10 Dice,Yves Hirschfeld,Thierry Saeys,N/A,N/A,N/A
Phobos Rising! Insurgency on Mars,Joseph Miranda,N/A,N/A,N/A,N/A
SpongeBob SquarePants Fluxx,Andrew Looney,N/A,N/A,N/A,N/A
Stratego Fortress,Max van der Werff,N/A,N/A,N/A,N/A
The Oilman Game,(Uncredited),N/A,N/A,N/A,N/A
Storm Chasers: The Game,Dan Halstad,N/A,N/A,N/A,N/A
Clash of Decks: Resistance,Léandre Proust,N/A,N/A,N/A,N/A
Makara,Arif Nezih Savi,N/A,N/A,N/A,N/A
Sniper! Special Forces: Sniper! Companion Game #2,Rick Swan,N/A,N/A,N/A,N/A
TrisTristisTigris,Miguel Bustillo,N/A,N/A,N/A,N/A
Castle Merchants,Jerry Dziuba,N/A,N/A,N/A,N/A
Bulls-Eye Ball,Jeffrey Breslow,Robert Civettini,Zarko Stambolic,C. Unsicker,Terry Webb
Star Trek: Into The Unknown – Federation vs. Dominion Core Set,Max Brooke,Michael Gernes,N/A,N/A,N/A
Chang'an,Carlo Camarotto,Nestore Mangone,N/A,N/A,N/A
Star Breach,Elijah M. Kellogg,N/A,N/A,N/A,N/A
Papua,Thilo Hutzler,N/A,N/A,N/A,N/A
Love Letter: 2nd Edition,Seiji Kanai,N/A,N/A,N/A,N/A
Space Worm,Reiner Knizia,N/A,N/A,N/A,N/A
Didi Dotter,Ariel Laden,N/A,N/A,N/A,N/A
Simplicity,David Brain,N/A,N/A,N/A,N/A
Tomorrow the World,Ty Bomba,N/A,N/A,N/A,N/A
Pass the Bomb Junior,Sylvie Barc,Los Rodriguez,N/A,N/A,N/A
Tabletop Pathologic,"Fuad ""Funt"" Kuliev","Andrey ""Lenoran"" Salik",Liu Sukhinina,"Elena ""Joker"" Vishina",N/A
City Chase,Martino Chiacchiera,Gabriele Mari,N/A,N/A,N/A
Eagles in the Sky,Mike Lemick,N/A,N/A,N/A,N/A
Harpoon: Captain's Edition,Larry Bond,N/A,N/A,N/A,N/A
Chop! Chop!,Alexandre Droit,N/A,N/A,N/A,N/A
All Rise,Jimmy Chang,Jeff Lee (II),Garrett Lively,Thomas Yungerberg,N/A
Disney It's a Small World Game,Funko Games,N/A,N/A,N/A,N/A
Intendentes,Ariel Mennucci,Sebastián Real,N/A,N/A,N/A
DeathBot Derby,Zachary Connelly,N/A,N/A,N/A,N/A
Nobody is Perfect: Mini Edition,Bertram Kaes,N/A,N/A,N/A,N/A
Riverbed Hunt,Yan Theo,Christopher Vasileiou,N/A,N/A,N/A
Ayu,Luis Bolaños Mures,N/A,N/A,N/A,N/A
The Gothic Game,Nigel Andrews,Robert Wynne-Simmons,N/A,N/A,N/A
Airport Rush,Anderson Butilheiro,N/A,N/A,N/A,N/A
Cooks & Crooks,Luis Muñoz,Andrés Novelo,N/A,N/A,N/A
Jisogi: Anime Studio Tycoon,Rodrigo Esper,N/A,N/A,N/A,N/A
Dungeons & Dragons Dice Masters: Trouble in Waterdeep Campaign Box,Mike Elliott,Eric M. Lang,N/A,N/A,N/A
Invictus: A Team Deck Building Game,Steve Ririe,Matt Ririe,N/A,N/A,N/A
Waterloo 1815,Dariusz Góralski,N/A,N/A,N/A,N/A
Stack,Jeffrey L. Strunk,N/A,N/A,N/A,N/A
Expedition Luxor,Rüdiger Dorn,N/A,N/A,N/A,N/A
Line of Fire: Burnt Moon,Trevor Benjamin,David Thompson (I),N/A,N/A,N/A
Trois Batailles en Allemagne,Didier Rouy,N/A,N/A,N/A,N/A
