Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Kontor,Olivier Frot,Franz Vohwinkel,N/A,N/A,N/A
"Goblins Drool, Fairies Rule!",Mike Maihack,David Luis Sanhueza,N/A,N/A,N/A
Knapp Daneben!,N/A,N/A,N/A,N/A,N/A
Hunted: Kobayashi Tower,Drew Corkill,N/A,N/A,N/A,N/A
Colossus,Adrien Rives,N/A,N/A,N/A,N/A
Astro Knights: Eternity,Gong Studios,N/A,N/A,N/A,N/A
Mecanisburgo,Adrián López,Víctor Gómez Matínez,N/A,N/A,N/A
"Exceed: Red Horizon – Kaden, Eva, Miska, and Lily",N/A,N/A,N/A,N/A,N/A
Catan Dice Game,Volkan Baga,Tanja Donner,Michaela Kienle,Harald Lieske,N/A
Planet of the Apes,Jason Edmiston,Peter Wocken,N/A,N/A,N/A
The Lord of the Rings: Adventure to Mount Doom,N/A,N/A,N/A,N/A,N/A
Crazy Race,Michael Menzel,N/A,N/A,N/A,N/A
Stalingrad Pocket,N/A,N/A,N/A,N/A,N/A
Kodama 3D,Kwanchai Moriya,N/A,N/A,N/A,N/A
Garbage Day!,Jonathan Pitcher,N/A,N/A,N/A,N/A
Six Second Scribbles,N/A,N/A,N/A,N/A,N/A
Gumshoe,Helen Doward,Gary Grady,William Lamb,N/A,N/A
The Shared Dream,Leandro Furlanetto,Phillip Simpson,N/A,N/A,N/A
Race to the Treasure!,Kelly Murphy,N/A,N/A,N/A,N/A
For-Ex,Cole Wehrle,N/A,N/A,N/A,N/A
Spies!,Redmond A. Simonsen,N/A,N/A,N/A,N/A
Escape from the Asylum,Anastasia Durova,Victoria Kochkina,Pavel Korobkov,Dmitry Krasnov,N/A
COGZ,Wesley Lamont,N/A,N/A,N/A,N/A
Girl Genius: The Works,James Ernest,Phil Foglio,N/A,N/A,N/A
Mediterranean Empires,José Ramón Faura,N/A,N/A,N/A,N/A
Mexican Train,N/A,N/A,N/A,N/A,N/A
Combo Color,N/A,N/A,N/A,N/A,N/A
Time Arena,ann&seb,Shanshan Zhu,N/A,N/A,N/A
8Bit Box,Jean-Baptiste Reynaud,N/A,N/A,N/A,N/A
Victus: Barcelona 1714,David Parcerisa,Jordi Roca Parse,N/A,N/A,N/A
Sherlock Far West: La Mina Maldita,Amelia Sales,N/A,N/A,N/A,N/A
Jungle Speed: Rabbids,Thomas Vuarchex,N/A,N/A,N/A,N/A
House of Borgia,Ian Rosenthaler,Benjamin Shulman,N/A,N/A,N/A
Into the Blue,Alain Boyer,N/A,N/A,N/A,N/A
Der Pate,Franz Vohwinkel,N/A,N/A,N/A,N/A
Rollecate,Miša Jovanovic,Michiel de Wit,N/A,N/A,N/A
Arkham Investigator,N/A,N/A,N/A,N/A,N/A
NATO: The Cold War Goes Hot – Designer Signature Edition,Bruce Yearian,N/A,N/A,N/A,N/A
Panthalos,Matthias Catrein,N/A,N/A,N/A,N/A
"Kolin: Frederick's First Defeat – June 18, 1757",Rick Barber,Paul Dangel,N/A,N/A,N/A
La Bataille de la Moscowa,"Paul Richard ""Rich"" Banner",John Harshman,N/A,N/A,N/A
Choose Your Own Adventure: War with the Evil Power Master,Forrest-Pruzan Creative,N/A,N/A,N/A,N/A
Dead Man's Hand,N/A,N/A,N/A,N/A,N/A
Tofu Kingdom,Etienne Hebinger,N/A,N/A,N/A,N/A
Aelderman,Ryan Lowe,N/A,N/A,N/A,N/A
Magestorm,Fabio Maiorana,Kieran Yanner,N/A,N/A,N/A
Guelphs and Ghibellines,Nicola Contardi,N/A,N/A,N/A,N/A
Gateway: Uprising,"Sean Andrew ""Muttonhead"" Murray",N/A,N/A,N/A,N/A
Rick and Morty: The Pickle Rick Game,N/A,N/A,N/A,N/A,N/A
Austerity,Jake Staines,N/A,N/A,N/A,N/A
Miremarsh,Andres Martinez,N/A,N/A,N/A,N/A
Mini-Mutabo,Kathi Kappler,Johann Rüttinger,Rolf Vogt,N/A,N/A
Nouvelle-France,Jacques-Dominique Landry,N/A,N/A,N/A,N/A
Waterloo 200,Emanuele Santandrea,N/A,N/A,N/A,N/A
Goita,Kai Fujiwara,Yuya Hirano (ユウヤ ヒラノ),Noboru Sugiura,N/A,N/A
"The Siege of Alesia: Gaul, 52 B.C.",Mike Lemick,Rodger B. MacGowan,Mark Simonitch,N/A,N/A
Lunes,Julián Tunni,N/A,N/A,N/A,N/A
Truco,N/A,N/A,N/A,N/A,N/A
Kung Fu Panda: The Board Game,JJ Ariosa,Michal E. Cross,N/A,N/A,N/A
Relic Expedition,Nolan Lorch,Tyler Segel,N/A,N/A,N/A
Level 7 [Escape],N/A,N/A,N/A,N/A,N/A
WARIGIN,Anna Kersten,N/A,N/A,N/A,N/A
