Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Wings of War: Famous Aces,Vincenzo Auletta,Dario Calì,Fabio Maiorana,N/A,N/A
Cosmic Encounter: 42nd Anniversary Edition,Ryan Barger,Felicia Cano,Sabe Lewellyn,Henning Ludvigsen,N/A
KeyForge: Age of Ascension,Jessé Suursso,N/A,N/A,N/A,N/A
Warsaw: City of Ruins,Tytus Brzozowski,Grzegorz Molas,N/A,N/A,N/A
Scholars of the South Tigris,Mihajlo Dimitrievski,N/A,N/A,N/A,N/A
Walking in Burano,Maisherly,N/A,N/A,N/A,N/A
The Castles of Burgundy: The Dice Game,Julien Delval,Harald Lieske,N/A,N/A,N/A
Unearth,David Pietrandrea,Jesse Riggle,N/A,N/A,N/A
Fog of Love,Cecilie Fossheim,Mike Højgaard,Lotte M. Klixbüll Jaskov,Jens Wiese,N/A
Sheriff of Nottingham: 2nd Edition,Davide Tosello,N/A,N/A,N/A,N/A
Starship Catan,Tanja Donner,Franz Vohwinkel,N/A,N/A,N/A
Heroes of Normandie,Alexandre Bonvalot,N/A,N/A,N/A,N/A
Kahuna,Michaela Kienle,Anke Pohl,Thilo Rick,Claus Stephan,N/A
Sniper Elite: The Board Game,Jose David Lanza Cebrian,Edouard Grould,Ed Savage,N/A,N/A
Trekking the World,Csaba Bernáth,Marta Danecka,Sebastian Koziner,Aleksey Shirokikh,Alexey Shirokikh
Museum,Vincent Dutrait,N/A,N/A,N/A,N/A
La Cosa Nostra,Johannes Sich,N/A,N/A,N/A,N/A
Star Trek: Catan,Franz Vohwinkel,Imelda Vohwinkel,N/A,N/A,N/A
Eat Poop You Cat,N/A,N/A,N/A,N/A,N/A
The Little Prince: Make Me a Planet,Antoine de Saint-Exupéry,N/A,N/A,N/A,N/A
Keyper,Vicki Dalton,N/A,N/A,N/A,N/A
Titan,Mike Doyle (I),Kurt Miller,Kenn Nishiuye,David A. Trampier,Chris White (I)
Aftermath,Tregis,Jimmy Xia,N/A,N/A,N/A
Exit: The Game – The Mysterious Museum,Silvia Christoph,Michaela Kienle,Michael Menzel,N/A,N/A
Ticket to Ride: Germany,Cyrille Daujean,Julien Delval,N/A,N/A,N/A
Gloom of Kilforth: A Fantasy Quest Game,Ania Kryczkowska,N/A,N/A,N/A,N/A
Mystery Rummy: Jack the Ripper,Christine Conrad,Eugenia Nobati,Virginijus Poshkus,N/A,N/A
Kingdom Rush: Rift in Time,Mateusz Komada,Katarzyna Kosobucka,N/A,N/A,N/A
Kitchen Rush (Revised Edition),Natalia Kordowska,Bartłomiej Kordowski,N/A,N/A,N/A
Guillotine,Quinton Hoover,Mike Raabe,N/A,N/A,N/A
The Starfarers of Catan,Tanja Donner,N/A,N/A,N/A,N/A
Escape the Dark Castle,Alex Crispin,N/A,N/A,N/A,N/A
Manhattan,Jacqui Davis,Jaqui Davis,Ramon Mascarenas,Monika Mucha,Zeilbeck & Natzeck Design Company
Conflict of Heroes: Storms of Steel! – Kursk 1943,Steve Paschal,N/A,N/A,N/A,N/A
Room 25,Daniel Balage,Camille Durand-Kriegel,François Rouzé,N/A,N/A
Welcome to the Dungeon,Dimitri Chappuis,Bastien Grivet,Paul Mafayon,Igor Polouchine,Masato Uesugi
Machina Arcana (Second/Third Edition),Aleksandra Bilic,Richard Brownhill,Nele Diel,Sebastian Giacobino,N/A
Mykerinos,Arnaud Demaegd,N/A,N/A,N/A,N/A
Exit: The Game – The Forgotten Island,Silvia Christoph,Michaela Kienle,Sensit Communication GmbH,Franz Vohwinkel,N/A
Spot it!,(Uncredited),Denis Blanchot,René Goscinny,Mikmak Studio,N/A
The Quest for El Dorado: The Golden Temples,Franz Vohwinkel,N/A,N/A,N/A,N/A
Naga Raja,Vincent Dutrait,N/A,N/A,N/A,N/A
Villages of Valeria,Mihajlo Dimitrievski,N/A,N/A,N/A,N/A
Turn the Tide,Vanessa Gale Ambata,Oliver Freudenreich,Sandra Freudenreich,Franz Vohwinkel,N/A
Porta Nigra,Michael Menzel,N/A,N/A,N/A,N/A
Advanced Squad Leader: Starter Kit #2,Ken Dunn,Kurt Miller,N/A,N/A,N/A
Tournay,Alexandre Roche,N/A,N/A,N/A,N/A
Doom: The Boardgame,Scott Nicely,N/A,N/A,N/A,N/A
Pickomino,Doris Matthäus,N/A,N/A,N/A,N/A
Heroes of Terrinoth,Sebastian Koziner,N/A,N/A,N/A,N/A
Agricola: Family Edition,Klemens Franz,N/A,N/A,N/A,N/A
The Staufer Dynasty,Franz Vohwinkel,N/A,N/A,N/A,N/A
Murano,Klemens Franz,N/A,N/A,N/A,N/A
Cosmic Encounter,John Blanche,Chris Ferguson,Anders Jeppsson,Dean Morrissey,N/A
Asara,Franz Vohwinkel,N/A,N/A,N/A,N/A
Fireball Island: The Curse of Vul-Kar,Noah Adelman,Víctor Pérez Corbella,George Doutsiopoulos,David Kegg,N/A
Say Anything,Ali Douglass,N/A,N/A,N/A,N/A
Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,Arnaud Demaegd,Neriac,Pascal Quidault,N/A,N/A
TEN,Shawn Stankewich,N/A,N/A,N/A,N/A
