Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Twice as Clever!,Leon Schiffer,N/A,N/A,N/A,N/A
Sidereal Confluence,Kwanchai Moriya,Jesse Seidule,Nakarin Sukontakorn,N/A,N/A
Maria,Hans Baltzer,Richard Shako,Richard Stubenvoll,Andreas Töpfer,N/A
Smartphone Inc.,Viktor Miller Gausa,N/A,N/A,N/A,N/A
Schotten Totten,Dorien Boekhorst,Jean-Baptiste Reynaud,Bärbel Skarabelo,Piotr Sokołowski,N/A
The Godfather: Corleone's Empire,Nicolas Fructus,Karl Kopinski,Richard Wright,N/A,N/A
Saint Petersburg,Doris Matthäus,N/A,N/A,N/A,N/A
Die Macher,Bernd Brunnhofer,Marcus Gschwendtner,Harald Lieske,N/A,N/A
Downforce,Tavis Coburn,Michael Crampton,Jason Taylor,N/A,N/A
Endeavor,Josh Cappel,Klemens Franz,Hanno Girke,N/A,N/A
Unmatched: Robin Hood vs. Bigfoot,Oliver Barrett,Juan Esteban Rodriguez,N/A,N/A,N/A
Evolution: Climate,Ben Goldman,Catherine Hamilton,N/A,N/A,N/A
King of Tokyo,Gabriel Butik,Romain Gaschet,Paul Mafayon,Igor Polouchine,N/A
ISS Vanguard,Piotr Gacek,Patryk Jędraszek,Ewa Labak,Dominik Mayer,N/A
Ticket to Ride: Märklin,Cyrille Daujean,Julien Delval,N/A,N/A,N/A
In the Year of the Dragon,Harald Lieske,Michael Menzel,N/A,N/A,N/A
Here I Stand,Rodger B. MacGowan,Mark Simonitch,N/A,N/A,N/A
Arkham Horror,Anders Finér,Rafał Hrynkiewicz,Richard Launius,Henning Ludvigsen,N/A
Bruxelles 1893,Alexandre Roche,N/A,N/A,N/A,N/A
London (Second Edition),Mike Atkinson,Natalia Borek,Przemysław Sobiecki,N/A,N/A
Tiny Towns,Gong Studios,N/A,N/A,N/A,N/A
San Juan (Second Edition),Harald Lieske,Mia Steingräber,N/A,N/A,N/A
Wayfarers of the South Tigris,Mihajlo Dimitrievski,N/A,N/A,N/A,N/A
Azul: Stained Glass of Sintra,Chris Quilliams,N/A,N/A,N/A,N/A
Blitzkrieg!: World War Two in 20 Minutes,Alan D'Amico,Paolo Mori,Paul Sizer,N/A,N/A
Mindbug: First Contact,Denis Martynets,N/A,N/A,N/A,N/A
Dice Forge,Biboun,N/A,N/A,N/A,N/A
Civilization,Ed Dovey,Charles Kibler,Rodger B. MacGowan,Guillaume Rohmer,N/A
Codenames: Pictures,David Cochard,Jana Kilianová,Tomáš Kučerovský,Filip Neduk,Michal Suchánek
Skull,Rose Kipik,Thomas Vuarchex,N/A,N/A,N/A
Marvel United: X-Men,Édouard Guiton,N/A,N/A,N/A,N/A
