Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Pickpocket,Olivier Fagnère,N/A,N/A,N/A,N/A
Pass-Ackwords,N/A,N/A,N/A,N/A,N/A
Make 'n' Break CHALLENGE,Kinetic,Henry M. Linder,Walter Pepperle,N/A,N/A
Te Kuiti,N/A,N/A,N/A,N/A,N/A
Hérois & Monstros,Moy Shin Hung,Jason Juta,Kitt Lapena,Ramses Melendez,N/A
Gangs of Britannia,Jason L. Carr,Giorgio De Michele,Tautvydas Last,N/A,N/A
Classic BattleTech RPG,Tom Baxa,John Bridegroom,Doug Chaffee,Les Dorscheid,N/A
Kings of Chicago,Jacek Zabawa,N/A,N/A,N/A,N/A
Magistrar: Duel of the Mages,Marco Armbruster,N/A,N/A,N/A,N/A
Lucky Luau,Anastas Ermolina,N/A,N/A,N/A,N/A
Fences,Andrew Sallwasser,N/A,N/A,N/A,N/A
Happy Birthday!,N/A,N/A,N/A,N/A,N/A
H.I.D.E.: Hidden Identity Dice Espionage,Jun-Ho Na,N/A,N/A,N/A,N/A
Tricks & Deserts,Tutuyasu (筒安),N/A,N/A,N/A,N/A
Gizeh!,Alba Aragon,N/A,N/A,N/A,N/A
Fate Of Akalon: Tribes,N/A,N/A,N/A,N/A,N/A
Love Formula,Eveen Kwan,N/A,N/A,N/A,N/A
Necronomicon,François Launet,N/A,N/A,N/A,N/A
Five Ravens,JJ Ariosa,Fredrik Skarstedt,N/A,N/A,N/A
Ugah Ugah!,Marek Bláha,N/A,N/A,N/A,N/A
ギャラクシーねこのばし (Galaxy Cat Extension),N/A,N/A,N/A,N/A,N/A
Another Christmas Romance Movie,N/A,N/A,N/A,N/A,N/A
Quacksalbe,Volker Tietze,N/A,N/A,N/A,N/A
Hammer's Slammers,Paul Alexander,Jim Clouse,H. N. Voss,N/A,N/A
Serica: Plains of Dust,Todd Sanders,N/A,N/A,N/A,N/A
Engage,Joe Daniels,N/A,N/A,N/A,N/A
Rubik's Flip,N/A,N/A,N/A,N/A,N/A
"Okinawa: The Last Battle, April 1945",Redmond A. Simonsen,N/A,N/A,N/A,N/A
Tokami,N/A,N/A,N/A,N/A,N/A
Benevolent,Svetlana Pikul,N/A,N/A,N/A,N/A
CLACK!,Markus Wagner,N/A,N/A,N/A,N/A
Nuba,Franz Vohwinkel,N/A,N/A,N/A,N/A
Logan Stones,John Yianni,N/A,N/A,N/A,N/A
Katoiz,N/A,N/A,N/A,N/A,N/A
Kenta,Perepau Llistosella,N/A,N/A,N/A,N/A
European Union: The Board Game,N/A,N/A,N/A,N/A,N/A
Festival,Amelia Sales,N/A,N/A,N/A,N/A
Poison,Augustinas Raginskis,N/A,N/A,N/A,N/A
Spaceopoly,N/A,N/A,N/A,N/A,N/A
GobbleStones,Tina Bongorno,N/A,N/A,N/A,N/A
