Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Aventureros y el Medallón de Ra,Jó Rivadulla,N/A,N/A,N/A,N/A
Althing,Patrick Fontaine,N/A,N/A,N/A,N/A
Wink: Nest of Spies,Stivo,N/A,N/A,N/A,N/A
XYbrid,Gabe Shultz,N/A,N/A,N/A,N/A
Niwa,Regis Lejonc,N/A,N/A,N/A,N/A
Sake & Samurai,Jocularis,N/A,N/A,N/A,N/A
Beer Money,Andrew Yates,N/A,N/A,N/A,N/A
Lunaris 45,João Tereso,N/A,N/A,N/A,N/A
Strat-O-Matic Baseball Express,N/A,N/A,N/A,N/A,N/A
SpongeBob SquarePants Fluxx,Stephen Hillenburg,N/A,N/A,N/A,N/A
18EZ,Drew Dane,Martin Tyman,N/A,N/A,N/A
Star System,Paolo Vallerga,N/A,N/A,N/A,N/A
Rory's Story Cubes: Explore,Rory O'Connor,N/A,N/A,N/A,N/A
Monkey Lab,Llyn Hunter,N/A,N/A,N/A,N/A
Sonic the Hedgehog: Battle Racers,(Uncredited),N/A,N/A,N/A,N/A
Over the Top! Four Battles from World War One,Beth Queman,Joe Youst,N/A,N/A,N/A
Anomia Kids,Cezary Szulc,N/A,N/A,N/A,N/A
Red Sky Morning,N/A,N/A,N/A,N/A,N/A
Ascendants of Aetheros,N/A,N/A,N/A,N/A,N/A
Meuse Argonne: The Final Offensive,Eric R. Harvey,Larry Hoffman,Joe Youst,N/A,N/A
Ninja Squad,Elmer Damaso,Ein Lee,Alan H. Perry,N/A,N/A
Quandary,N/A,N/A,N/A,N/A,N/A
Show & Tile,Tania Walker,N/A,N/A,N/A,N/A
Seeker Chronicles,Roman Roland Kuteynikov,Alexander Rommel,Simon Seene,Janna Sophia,N/A
Spectrangle,Alain John Fraser-Dackers,Maxwell Graham Gordon,Lester Wynne Jordan,N/A,N/A
Terra-017,Valeria Rossi,N/A,N/A,N/A,N/A
Fly Down,Piergiorgio Cattivelli,Emanuele Widenhorn,N/A,N/A,N/A
Bushido Breaker,Zach White,N/A,N/A,N/A,N/A
Jumbo Grand Prix,N/A,N/A,N/A,N/A,N/A
Super Dice Heroes,N/A,N/A,N/A,N/A,N/A
Captains' War,Olivier Derouetteau,N/A,N/A,N/A,N/A
The Forgotten Road,Jon Merchant,Jorge M. Velez,N/A,N/A,N/A
Shadowlord!,N/A,N/A,N/A,N/A,N/A
Mixtape Massacre,Matt Corrado,N/A,N/A,N/A,N/A
Spell Saga,Lauren Rogers,N/A,N/A,N/A,N/A
Time's Up! Green Edition,N/A,N/A,N/A,N/A,N/A
Joystick Heroes,Dickie Chapin,James Churchill,N/A,N/A,N/A
Scotland Yard,N/A,N/A,N/A,N/A,N/A
Rory's Story Cubes: Looney Tunes,Rory O'Connor,N/A,N/A,N/A,N/A
Silk Road Maker,Aydagul Cubukcuoglu,N/A,N/A,N/A,N/A
Secrets of the Third Reich,David Ausloos,Andy Cooper,Keith Lowe,N/A,N/A
Drinks & Daggers,Bridgit Connell,N/A,N/A,N/A,N/A
Yellowstone,N/A,N/A,N/A,N/A,N/A
Arquimedes,Renato Faccini,N/A,N/A,N/A,N/A
Draconic Dice,N/A,N/A,N/A,N/A,N/A
El mundo de Águila Roja,Sergi Marcet,Jordi Roca Parse,Chema Román,Carlos Romanos,Pedro Soto
Doctor Who: Exterminate! The Miniatures Game,Anna Bereza,Ulisse Razzini,N/A,N/A,N/A
Escrete,N/A,N/A,N/A,N/A,N/A
My Favorite Carrera RS Trick Taking Game,N/A,N/A,N/A,N/A,N/A
Shadowgate: The Living Castle,Chris Cold,N/A,N/A,N/A,N/A
Credo!: the Game of Dueling Dogmas,Cyrille Daujean,Petra Pino,Sam Shirley,Gahan Wilson,N/A
Castlecards,Evelt Yanait,N/A,N/A,N/A,N/A
Cinephile,N/A,N/A,N/A,N/A,N/A
Killer Bunnies and the Conquest of the Magic Carrot,Matthew Holliday,Jonathan Young,N/A,N/A,N/A
Smug Owls,Kevin Ruelle,N/A,N/A,N/A,N/A
Saga,Erol Otus,Bill Willingham,N/A,N/A,N/A
The Campaigns of Frederick the Great,Antoine Pesne,N/A,N/A,N/A,N/A
Exploit Zero: Cyberpunk Espionage and Mayhem,Sander Goldman,N/A,N/A,N/A,N/A
HellRail: Second Perdition,Angelo Porazzi,N/A,N/A,N/A,N/A
Maatatahay,Kula,Ping Tseng,N/A,N/A,N/A
Dahschur: Die Rote Pyramide,Christian Opperer,N/A,N/A,N/A,N/A
Smugglers,Fiore GmbH,N/A,N/A,N/A,N/A
Counter Warfare: The Surprisingly Strategic Party Royale,N/A,N/A,N/A,N/A,N/A
Paleontologists: Snowman Edition,Joe Hout,N/A,N/A,N/A,N/A
Insula,Radim Jurda,N/A,N/A,N/A,N/A
Sinaí,(Uncredited),N/A,N/A,N/A,N/A
Botts and Balls,Ann Lesnik,N/A,N/A,N/A,N/A
Telestrations: Upside Drawn,N/A,N/A,N/A,N/A,N/A
Gods of Rome,Miguel Coimbra,N/A,N/A,N/A,N/A
The Market: A Pocket Game,Raphael Quek (@bananasboy_),N/A,N/A,N/A,N/A
Crime Story: Munich,Andrea Hofbeck,N/A,N/A,N/A,N/A
Aether Captains: Pirates and Traders,Todd Sanders,N/A,N/A,N/A,N/A
CLUE: The Big Bang Theory,N/A,N/A,N/A,N/A,N/A
Incantris,Dan Jack,Artur Jag,N/A,N/A,N/A
North Pole,Mark Campo,N/A,N/A,N/A,N/A
King Me!,N/A,N/A,N/A,N/A,N/A
Mein Panzer,N/A,N/A,N/A,N/A,N/A
The Lords of Underearth,Trace Hallowell,Pat Hidy,Denis Loubet,Norman Royal,N/A
SS Amerika,N/A,N/A,N/A,N/A,N/A
Dwarfest,N/A,N/A,N/A,N/A,N/A
Idle Hands,MATSUDA98,N/A,N/A,N/A,N/A
MacArthur's Return: Leyte 1944,N/A,N/A,N/A,N/A,N/A
Omertà: Clan ohne Plan,Bettina Bexte,Christiane Marwecki,N/A,N/A,N/A
About Time,N/A,N/A,N/A,N/A,N/A
蒼天之死 (Death of Heaven),N/A,N/A,N/A,N/A,N/A
Avalanche: The Salerno Landings,N/A,N/A,N/A,N/A,N/A
