Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
PUSH,Prospero Hall,N/A,N/A,N/A,N/A
"Warriors of God: The Wars of England & France, 1135-1453",Nicolás Eskubi,Jean-Auguste-Dominique Ingres,Mark Mahaffey,N/A,N/A
Whirling Witchcraft,Luis Francisco,Weberson Santiago,N/A,N/A,N/A
Wings of War: Watch Your Back!,Vincenzo Auletta,Dario Calì,Fabio Maiorana,N/A,N/A
Dice Throne: Santa v. Krampus,Manny Trembley,N/A,N/A,N/A,N/A
Hunt for the Ring,John Howe,Francesco Mattioli,N/A,N/A,N/A
Perikles,Peter Dennis,N/A,N/A,N/A,N/A
Stars of Akarios,N/A,N/A,N/A,N/A,N/A
Elasund: The First City,Tanja Donner,N/A,N/A,N/A,N/A
Jórvík,Marc Margielsky,N/A,N/A,N/A,N/A
Time's Up! Deluxe,N/A,N/A,N/A,N/A,N/A
Joraku,Nariko (ナリコ),Katie Welch,N/A,N/A,N/A
Claim 2,Mihajlo Dimitrievski,N/A,N/A,N/A,N/A
Cube Quest,Katharina Fuchs,Jonathan Kirtz,Paul Mafayon,Andreas Resch,N/A
Legendary: Buffy The Vampire Slayer,N/A,N/A,N/A,N/A,N/A
Quests of Valeria,Mihajlo Dimitrievski,N/A,N/A,N/A,N/A
Teenage Mutant Ninja Turtles: Shadows of the Past,Jose David Lanza Cebrian,Kevin Eastman,Tony Vargas,N/A,N/A
Inkognito,Peter Gifford,Studio Tapiro,N/A,N/A,N/A
The Flow of History,Desnet Amane,SY Li,Marcin Makowski,Adam P. McIver,N/A
Once Upon a Time: The Storytelling Card Game,Richard Lambert,Florence Magnin,Sophie Mounier,Omar Rayyan,N/A
Kariba,Felix Kindelan,N/A,N/A,N/A,N/A
1754: Conquest – The French and Indian War,Jarek Nocoń,Steve Paschal,N/A,N/A,N/A
Ticket to Ride: First Journey (Europe),Cyrille Daujean,Alan R. Moon,Jean-Baptiste Reynaud,Régis Torres,N/A
Medium,Sarah Kelly,N/A,N/A,N/A,N/A
Fighting Formations: Grossdeutschland Motorized Infantry Division,Lee Brimmicombe-Wood,Chad Jensen,Charles Kibler,Rodger B. MacGowan,N/A
Break the Code,Ryohei Kurahashi,N/A,N/A,N/A,N/A
DungeonQuest (Third Edition),Felicia Cano,Jesper Ejsing,Louis Frank,Jacob Glaser,N/A
FITS,Piotr Kania,KniffDesign,卢依娜 (LU Yina),N/A,N/A
Ragusa,Bartlomiej Roczniak,N/A,N/A,N/A,N/A
Sail to India,Banu Andaru,Juhani Jokinen,Ryo Nyamo,N/A,N/A
World War II: Barbarossa to Berlin,Rodger B. MacGowan,Mark Simonitch,N/A,N/A,N/A
Heart of Crown,Haniwa,Yuji Himukai,medilore,Chosuke O-ide,N/A
Shamans,Maud Chalmel,N/A,N/A,N/A,N/A
The Princes of Machu Picchu,Oliver Graute,N/A,N/A,N/A,N/A
Duel of Ages II,K. Andersen,Matthew Attard,Armands Auseklis,Kerem Beyit,N/A
Escape from Colditz,Antonio Catalán,Peter Dennis,N/A,N/A,N/A
Glüx,Claus Stephan,N/A,N/A,N/A,N/A
The Chameleon,Ben Drummond,Zoe Lee,Rikki Tahta,N/A,N/A
Sails of Glory,Dario Calì,Fabio Maiorana,Francesco Mattioli,Donald McLeod,N/A
The Builders: Middle Ages,Sabrina Miramon,N/A,N/A,N/A,N/A
Terra Nova,Loïc Billiau,Inga Keutmann,Lukas Siegmon,Christof Tisch,N/A
Agents of SMERSH,George Patsouras,Julia Semionova,N/A,N/A,N/A
LUNA Capital,Albert Monteys,N/A,N/A,N/A,N/A
Alea Iacta Est,Patrick Rennwanz,Claus Stephan,N/A,N/A,N/A
Bosk,Kwanchai Moriya,Peter Wocken,N/A,N/A,N/A
Custom Heroes,N/A,N/A,N/A,N/A,N/A
Ancient Knowledge,Pierre Ples,Adrien Rives,Emilien Rotival,N/A,N/A
American Rails,Tim Harrison,Alexandre Roche,N/A,N/A,N/A
Flatline,Sean Thurlow,N/A,N/A,N/A,N/A
Wealth of Nations,Gregor Benedetti,N/A,N/A,N/A,N/A
Rival Restaurants,Audrey Jung,N/A,N/A,N/A,N/A
Codenames: Deep Undercover,Stéphane Gantiez,Tomáš Kučerovský,N/A,N/A,N/A
Subbuteo,Gary Keane,N/A,N/A,N/A,N/A
Yunnan,DavidSchneiderArt,Dennis Lohausen,N/A,N/A,N/A
Machi Koro 2,Noboru Hotta,Elli Jäger,Masao Suganuma,N/A,N/A
"Mr. President: The American Presidency, 2001-2020",Donal Hegarty,N/A,N/A,N/A,N/A
Valletta,Klemens Franz,N/A,N/A,N/A,N/A
Master of Orion: The Board Game,Ekaterina Gorn,Igor Sklyuev,N/A,N/A,N/A
Dungeon Twister 2: Prison,Thierry Masson,Wayne Reynolds,N/A,N/A,N/A
Anomia: Party Edition,Andrew Innes,N/A,N/A,N/A,N/A
Tanto Cuore,Tohru Adumi,CARNELIAN,COMTA,Takahito Ekuchi,N/A
Timeline Challenge,Xavier Collette,Jérémie Fleury,N/A,N/A,N/A
1870: Railroading Across the Trans Mississippi from 1870,John Kamacher,Mike Russo,Chris Vande Voort,N/A,N/A
Life of the Amazonia,Sophia Kang,N/A,N/A,N/A,N/A
Zombie 15',Biboun,Igor Polouchine,Anthony Wolff,Alexey Yakovlev,N/A
3 Ring Circus,Edu Valls,N/A,N/A,N/A,N/A
Royal Visit,Taira Akitsu,Karl James Mountford,Claus Stephan,Mirko Suzuki,N/A
Circus Flohcati,Franz Vohwinkel,N/A,N/A,N/A,N/A
Origins: First Builders,Zbigniew Umgelter,Aleksander Zawada,N/A,N/A,N/A
Andor: The Family Fantasy Game,Michael Menzel,N/A,N/A,N/A,N/A
Take it Easy!,Peter Burley,Alexander Strohmaier,Steve Tolley,Franz Vohwinkel,Thomas Weiss
Space Cadets,Karim Chakroun,N/A,N/A,N/A,N/A
Heroscape Master Set:  Battle for the Underdark,N/A,N/A,N/A,N/A,N/A
Pastiche,Jean Frédéric Bazille,Sandro Botticelli,Mary Cassatt,Paul Cézanne,N/A
Isla Dorada,Georges Bouchelaghem,Xavier Gueniffey Durin,N/A,N/A,N/A
Great Plains,Klemens Franz,N/A,N/A,N/A,N/A
Dungeon Alliance,William Bricker,Víctor Pérez Corbella,Biagio D'Alessandro,Manolis Frangidis (Μανώλης Φραγγίδης),N/A
Telestrations After Dark,(Uncredited),N/A,N/A,N/A,N/A
Gloom,Michelle Nephew,J. Scott Reeves,Todd Remick,N/A,N/A
Urban Sprawl,Chad Jensen,Rodger B. MacGowan,Chechu Nieto,Eric Williams (I),N/A
Nuns on the Run,Jared Blando,Jacob Chabot,N/A,N/A,N/A
Mall of Horror,Aleksi Briclot,Ben Carre,N/A,N/A,N/A
Castaways,Siscu Bellido,N/A,N/A,N/A,N/A
Aliens: Another Glorious Day in the Corps,Jose David Lanza Cebrian,N/A,N/A,N/A,N/A
High Frontier (Third Edition),Phil Eklund,Antonio Pinar,Nick Stevens,N/A,N/A
Wreck Raiders,Apolline Etienne,N/A,N/A,N/A,N/A
Ecosystem,Lindsay Falsone,Martyna Szpil,N/A,N/A,N/A
Pathfinder Adventure Card Game: Core Set,Jay Epperson,N/A,N/A,N/A,N/A
Hermagor,Czarnè,N/A,N/A,N/A,N/A
Dimension,Sensit Communication GmbH,N/A,N/A,N/A,N/A
City of Iron: Second Edition,Ryan Laukat,N/A,N/A,N/A,N/A
Scrabble,C. Leslie Crandall,N/A,N/A,N/A,N/A
Drum Roll,Antonis Papantoniou,N/A,N/A,N/A,N/A
Alubari: A Nice Cup of Tea,Cécile Guinement,N/A,N/A,N/A,N/A
Oltre Mare,Roberto Bovo,Oliver Freudenreich,Raphael (I),Michael Schacht,N/A
Catan: Junior,Patricia Raubo,N/A,N/A,N/A,N/A
Time of Legends: Joan of Arc,David Demaret,Julien Fenoglio,Stéphane Gantiez,Nicolas Jamme,N/A
Bohnanza: 25th Anniversary Edition,Björn Pertoft,N/A,N/A,N/A,N/A
Good Cop Bad Cop,Dwayne Biddix,N/A,N/A,N/A,N/A
Victory in the Pacific,Jean Baer,Don Greenwood,Richard Hamblen,Robert Grant Smith,N/A
Florenza,Valeria Gobbi,Ivan Zoni,Daniele Zurla,N/A,N/A
Monster Lands,Enrique Fernández Peláez,N/A,N/A,N/A,N/A
Campaign Manager 2008,Josh Cappel,N/A,N/A,N/A,N/A
Monster Slaughter,Thomas Choux,Kim Ettinoff,Édouard Guiton,N/A,N/A
