Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Wizard Junior,Franz Vohwinkel,N/A,N/A,N/A,N/A
Bohnanza Fun & Easy,Björn Pertoft,N/A,N/A,N/A,N/A
Heroes & Kings,Pascal Da Silva,N/A,N/A,N/A,N/A
Kayak Chaos,Alvin Madden,N/A,N/A,N/A,N/A
Super Hero Squad Card Game,N/A,N/A,N/A,N/A,N/A
Town of Salem: The Card Game,Billy George,N/A,N/A,N/A,N/A
Shadows of Macao,Jonathan Aucomte,N/A,N/A,N/A,N/A
Battle Ravens,Peter Dennis,N/A,N/A,N/A,N/A
The Gothic Game,N/A,N/A,N/A,N/A,N/A
Blood on the Ohio: Washington's Indian War 1789-1794,Bill Morgal,N/A,N/A,N/A,N/A
Bunker,N/A,N/A,N/A,N/A,N/A
Patios,Javier González Cava,N/A,N/A,N/A,N/A
8th Air Force,N/A,N/A,N/A,N/A,N/A
Normandie 1944,Didier Bourgeois,Christophe Camilotte,Giuseppe Rava,N/A,N/A
Grave Business,Chuck Whelon,N/A,N/A,N/A,N/A
Buru,Enggar Adirasa,Dann May,N/A,N/A,N/A
You Suck,Ted Alspach,Dustin Evans,N/A,N/A,N/A
The Coding,Sutinee Premprach,N/A,N/A,N/A,N/A
Gempire: Zarmund's Demands,Paul Elpers,Wouter F. Goedkoop,N/A,N/A,N/A
Vanished!,N/A,N/A,N/A,N/A,N/A
Turf War,N/A,N/A,N/A,N/A,N/A
Clash of the Cards,N/A,N/A,N/A,N/A,N/A
Krypto,N/A,N/A,N/A,N/A,N/A
Crusoe's Planet,Candace Weber (II),N/A,N/A,N/A,N/A
Target: Iran,Joe Youst,N/A,N/A,N/A,N/A
Build A Cure,Paul Hinton,Jonny Jimison,N/A,N/A,N/A
4Mation,N/A,N/A,N/A,N/A,N/A
Gascony's Legacy,Steven Bellshaw,Josh Derksen,N/A,N/A,N/A
Battlegame Book 4: World War II,Andrew McNeil,N/A,N/A,N/A,N/A
The Martian Investigations,N/A,N/A,N/A,N/A,N/A
Heptalion,Néstor Romeral Andrés,N/A,N/A,N/A,N/A
King's Ransom,Stefan Kolmsperger,"Barry Pike, III",N/A,N/A,N/A
Heroes of the Soviet Union:  The Defense of Mother Russia 1942-43,N/A,N/A,N/A,N/A,N/A
Creatures and Cupcakes,Tyler Myatt,N/A,N/A,N/A,N/A
Tiny Mini Golf,Dixie Leota,N/A,N/A,N/A,N/A
