Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Through the Desert,John Gravato,Atha Kanaani,Damien Mammoliti,Scott Nicely,N/A
BattleCON: Devastation of Indines,Fábio Fontes,Danny Hirajeta,Victoria Parker,Eunice Abigael Tiu,N/A
Vinhos,Mariano Iannelli,N/A,N/A,N/A,N/A
Egizia,Franz Vohwinkel,N/A,N/A,N/A,N/A
Queendomino,Cyril Bouquet,N/A,N/A,N/A,N/A
DVONN,Kris Burm,lu'cifer,N/A,N/A,N/A
Baseball Highlights: 2045,William Bricker,Franz Vohwinkel,N/A,N/A,N/A
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,Noah Bradley,Vincent Dutrait,N/A,N/A,N/A
Colosseum,Cyrille Daujean,Jacqui Davis,Julien Delval,Mihajlo Dimitrievski,N/A
Pax Porfiriana,Phil Eklund,N/A,N/A,N/A,N/A
Unfathomable,Henning Ludvigsen,N/A,N/A,N/A,N/A
Nexus Ops,Christopher Burdett,Henning Ludvigsen,Scott Okumura,Anthony Waters,N/A
Dorfromantik: The Board Game,Paul Riebe,N/A,N/A,N/A,N/A
Ready Set Bet,Kirk W. Buckendorf,Athena Cagle,N/A,N/A,N/A
Broom Service,Vincent Dutrait,N/A,N/A,N/A,N/A
Carcassonne: Hunters and Gatherers,Marcel Gröber,Anne Pätzke,Chris Quilliams,Johann Rüttinger,N/A
Dune: Imperium – Uprising,Clay Brooks,Derek Herring,Raul Ramos,Nate Storm,N/A
Draftosaurus,Jiahui Eva Gao,Vipin Alex Jacob,Roman Kucharski,TANSAN Inc.,N/A
AquaSphere,Dennis Lohausen,N/A,N/A,N/A,N/A
The Colonists,Klemens Franz,N/A,N/A,N/A,N/A
Paperback,Ryan Goldsberry,N/A,N/A,N/A,N/A
Dice Throne: Season One,Manny Trembley,N/A,N/A,N/A,N/A
Star Trek: Ascendancy,Katie Dillon,Charles Woods,N/A,N/A,N/A
Triumph & Tragedy: European Balance of Power 1936-1945,Charles Kibler,Rodger B. MacGowan,N/A,N/A,N/A
Tobago,Victor Boden,N/A,N/A,N/A,N/A
Marrakesh,Patricia Limberger,Franz Vohwinkel,N/A,N/A,N/A
Unlock!: Heroic Adventures,Laurent Bazart,Arnaud Demaegd,Mahulda Jelly,N/A,N/A
Cooper Island,Javier González Cava,N/A,N/A,N/A,N/A
Dinosaur Island: Rawr 'n Write,Kwanchai Moriya,Andrew Thompson,N/A,N/A,N/A
Regicide,Sketchgoblin,N/A,N/A,N/A,N/A
Silver & Gold,Oliver Freudenreich,N/A,N/A,N/A,N/A
Aeon Trespass: Odyssey,Bartek Fedyczak,Piotr Gacek,Mateusz Lenart,N/A,N/A
Splendor: Marvel,Marc André,N/A,N/A,N/A,N/A
Coup,Behnam Balali,Luis Francisco,Andrew Higgins,Alex Jensen,N/A
Automobile,Mike Atkinson,Czarnè,Peter Dennis,Klemens Franz,N/A
Crusaders: Thy Will Be Done,Adam P. McIver,N/A,N/A,N/A,N/A
Evolution,JJ Ariosa,Giorgio De Michele,Catherine Hamilton,Kurt Miller,Jacoby O'Connor
Struggle of Empires,Peter Dennis,João Tereso,N/A,N/A,N/A
Francis Drake,Franz Vohwinkel,N/A,N/A,N/A,N/A
The Battle of Five Armies,Lucas Graciano,Jon Hodgson,Francesco Mattioli,Ben Wootten,N/A
Star Wars: Destiny,Lucas Durham,Vlad Ricean,N/A,N/A,N/A
Carson City,Alexandre Roche,N/A,N/A,N/A,N/A
Galaxy Trucker (Second Edition),Tomáš Kučerovský,N/A,N/A,N/A,N/A
Hammer of the Scots,Karim Chakroun,Mark Churms,Tom Dalgliesh,Jerry Taylor,N/A
Take 5,Timur Baskakov,Design Edge,Oliver Freudenreich,Bill Herrin,N/A
Cuba Libre,Xavier Carrascosa,Rodger B. MacGowan,Chechu Nieto,N/A,N/A
Conan,Georges Clarenko,Xavier Collette,Viktor Dragosani,Xavier Gueniffey Durin,N/A
A Game of Thrones,Jacques Bredy,Thomas Denmark,Jason Engle,C. Michael Erickson,N/A
Gears of War: The Board Game,Ben Zweifel,N/A,N/A,N/A,N/A
Zombicide,Miguel Coimbra,Nicolas Fructus,Édouard Guiton,Mathieu Harlaut,Eric Nouhaut
Shards of Infinity,Aaron Nakahara,N/A,N/A,N/A,N/A
Whitehall Mystery,Alan D'Amico,Gianluca Santopietro,N/A,N/A,N/A
HeroQuest,Gary Chalk,Nikki Dawes,Max Dunbar,Les Edwards,N/A
Thebes,Michael Menzel,N/A,N/A,N/A,N/A
Coloretto,Guido Favaro,Michael Schacht,Oksana Svistun,N/A,N/A
Quantum,Georges Bouchelaghem,Kieran Yanner,N/A,N/A,N/A
Bus,Herman Haverkort,Tamara Jannink,Daan van Paridon,Thijs van Paridon,Joris Wiersinga
Lacrimosa,Jared Blando,Enrique Corominas,N/A,N/A,N/A
Blood Bowl (2016 Edition),Wayne England,David Gallagher,Pete Knifton,Richard Wright,N/A
Zombicide: Green Horde,Nicolas Fructus,Mathieu Harlaut,Jérémy Masson,Thierry Masson,N/A
Trekking Through History,Eric Hibbeler,N/A,N/A,N/A,N/A
Photosynthesis,Sabrina Miramon,N/A,N/A,N/A,N/A
Creature Comforts,Shawna J.C. Tenney,N/A,N/A,N/A,N/A
Mare Nostrum: Empires,Jean-Marie Minguez,N/A,N/A,N/A,N/A
A Game of Thrones: The Card Game (Second Edition),N/A,N/A,N/A,N/A,N/A
Project: ELITE,Saeed Jalabi,Stef Kopinski,Henning Ludvigsen,Mike McVey,Edgar Skomorowski
Medici,David Cherry,Vincent Dutrait,Dominique Ehrhard,Jun Suemi,Franz Vohwinkel
Betrayal at House on the Hill,Dennis Crabapple McClain,Christopher Moeller,Peter Whitley,N/A,N/A
Formula D,Nicolas Caniaux,Stéphane Poinsot,Arnaud Simon-Laforet,N/A,N/A
Warp's Edge,Tyler Johnson,N/A,N/A,N/A,N/A
Detective: City of Angels,Vincent Dutrait,N/A,N/A,N/A,N/A
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,N/A,N/A,N/A,N/A,N/A
Weather Machine,Ian O'Toole,N/A,N/A,N/A,N/A
Taluva,Manuel Casasola Merkle,Xavier Gueniffey Durin,Julien Le Faucheur,Marcel-André Casasola Merkle,N/A
Time's Up!,John Vetter,N/A,N/A,N/A,N/A
Massive Darkness 2: Hellscape,Édouard Guiton,N/A,N/A,N/A,N/A
Forest Shuffle,Toni Llobet,N/A,N/A,N/A,N/A
The Downfall of Pompeii,Oliver Freudenreich,Guido Hoffmann,N/A,N/A,N/A
My Father's Work,Anh Le Art,Cold Castle Studios,Eric Hibbeler,Damien Mammoliti,Janos Orban
Azul: Queen's Garden,Chris Quilliams,N/A,N/A,N/A,N/A
"Unmatched: Battle of Legends, Volume Two",Zoë van Dijk,Garrett Kaida,N/A,N/A,N/A
Magic Maze,Gyom,N/A,N/A,N/A,N/A
Pax Renaissance,Phil Eklund,N/A,N/A,N/A,N/A
Snowdonia,Tony Boydell,Klemens Franz,Charlie Paull,N/A,N/A
One Night Ultimate Werewolf: Daybreak,Gus Batts,N/A,N/A,N/A,N/A
Disney Villainous: Wicked to the Core,N/A,N/A,N/A,N/A,N/A
The Republic of Rome,Dave Dobyski,Charles Kibler,Kurt Miller,"George I. Parrish, Jr.",N/A
