Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Brass: Birmingham,Gavan Brown,Lina Cossette,David Forest,Damien Mammoliti,Matt Tolman
Pandemic Legacy: Season 1,Chris Quilliams,N/A,N/A,N/A,N/A
Gloomhaven,Alexandr Elichev,Josh T. McDowell,Alvaro Nebot,N/A,N/A
Ark Nova,Steffen Bieker,Loïc Billiau,Dennis Lohausen,Christof Tisch,N/A
Twilight Imperium: Fourth Edition,Scott Schomburg,N/A,N/A,N/A,N/A
Terraforming Mars,Isaac Fryxelius,Daniel Fryxelius,N/A,N/A,N/A
Dune: Imperium,Clay Brooks,Brett Nienburg,Raul Ramos,Nate Storm,N/A
War of the Ring: Second Edition,John Howe,Fabio Maiorana,N/A,N/A,N/A
Gloomhaven: Jaws of the Lion,Francesca Baerald,David Demaret,Alexandr Elichev,N/A,N/A
Star Wars: Rebellion,Matt Allsopp,David Ardila,Balaskas,Tiziano Baracchi,N/A
Spirit Island,Jason Behnke,Loïc Berger,Loïc Billiau,Kat G Birmelin,N/A
Gaia Project,Dennis Lohausen,N/A,N/A,N/A,N/A
Twilight Struggle,Viktor Csete,Rodger B. MacGowan,Chechu Nieto,Guillaume Ries,Mark Simonitch
Through the Ages: A New Story of Civilization,Filip Murmak,Radim Pech,Jakub Politzer,Milan Vavroň,N/A
Great Western Trail,Andreas Resch,N/A,N/A,N/A,N/A
The Castles of Burgundy,Julien Delval,Harald Lieske,N/A,N/A,N/A
Scythe,Jakub Rozalski,N/A,N/A,N/A,N/A
7 Wonders Duel,Miguel Coimbra,N/A,N/A,N/A,N/A
Eclipse: Second Dawn for the Galaxy,Noah Adelman,Jere Kasanen,Jukka Rajaniemi,Sampo Sikiö,N/A
Brass: Lancashire,Gavan Brown,Lina Cossette,Peter Dennis,David Forest,N/A
Nemesis,Piotr Foksowicz,Patryk Jędraszek,Ewa Labak,Andrzej Półtoranos,N/A
Clank! Legacy: Acquisitions Incorporated,Clay Brooks,Anika Burrell,Derek Herring,Raul Ramos,N/A
Concordia,Marina Fahrenbach,Mac Gerdts,Dominik Mayer,N/A,N/A
A Feast for Odin,Dennis Lohausen,N/A,N/A,N/A,N/A
Wingspan,Ana Maria Martinez Jaramillo,Natalia Rojas,N/A,N/A,N/A
Terra Mystica,Dennis Lohausen,N/A,N/A,N/A,N/A
Arkham Horror: The Card Game,Christopher Hosch,Marcin Jakubowski,Ignacio Bazán Lazcano,Henning Ludvigsen,N/A
Lost Ruins of Arnak,Ondřej Hrdina,Jiří Kůs,Filip Murmak,Jakub Politzer,N/A
Great Western Trail: Second Edition,Chris Quilliams,N/A,N/A,N/A,N/A
Root,Kyle Ferrin,N/A,N/A,N/A,N/A
Orléans,Klemens Franz,N/A,N/A,N/A,N/A
Mage Knight Board Game,J. Lonnee,Chris Raimo,Milan Vavroň,N/A,N/A
Everdell,Andrew Bosley,Cody Jones,Dann May,N/A,N/A
Too Many Bones,Josh J. Carlson,Anthony LeTourneau,N/A,N/A,N/A
Barrage,Mauro Alocci,Antonio De Luca,Roman Roland Kuteynikov,N/A,N/A
The Crew: Mission Deep Sea,Marco Armbruster,N/A,N/A,N/A,N/A
