Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Unlock!: Escape Adventures – The Island of Doctor Goorse,Florian de Gesincourt,N/A,N/A,N/A,N/A
Boomtown,Kara,Maciej Szymanowicz,N/A,N/A,N/A
One Night Ultimate Vampire,Gus Batts,N/A,N/A,N/A,N/A
Wiz-War,Tom Jolly,Phil Morrissey,N/A,N/A,N/A
Schotten Totten 2,Jean-Baptiste Reynaud,Piotr Sokołowski,N/A,N/A,N/A
Harvest Dice,Danny Devine,Tyler Myatt,N/A,N/A,N/A
Bonaparte at Marengo,Denis Auguste Marie Raffet,N/A,N/A,N/A,N/A
Key Harvest,Juliet Breese,Mike Doyle (I),N/A,N/A,N/A
Muse,Ciruelo,Apolline Etienne,Andre Garcia,Daniela Giubellini,N/A
Second Chance,Justine Nortjé,Max Prentis,N/A,N/A,N/A
Sonora,Tom Goyon,Michael Parla,N/A,N/A,N/A
Guildhall: Job Faire,Michael Perry,N/A,N/A,N/A,N/A
Riverside,Gjermund Bohne,N/A,N/A,N/A,N/A
Skytear,Anca Albu,Bogdan Antoci,Rafael Dioli,Marko Fiedler,N/A
Power Grid: The Card Game,Harald Lieske,N/A,N/A,N/A,N/A
Daybreak,Mads Berg,N/A,N/A,N/A,N/A
Palazzo,Claus Stephan,N/A,N/A,N/A,N/A
Night of the Ninja,Ben Charman,N/A,N/A,N/A,N/A
Green Team Wins,Matt Paquette & Co.,N/A,N/A,N/A,N/A
Cave Troll,Ed Bourelle,Thomas Denmark,Henning Ludvigsen,Brian Schomburg,Patricio Soler
Xenon Profiteer,Daniel Solis,N/A,N/A,N/A,N/A
Lost Valley,Harald Lieske,Felix Scheinberger,N/A,N/A,N/A
SOS Titanic,Christian Bach,Sandra Fesquet,N/A,N/A,N/A
Inside Job,Marek Bláha,N/A,N/A,N/A,N/A
Nauticus,Alexander Jung,N/A,N/A,N/A,N/A
Funny Friends,"Lars-Arne ""Maura"" Kalusky",N/A,N/A,N/A,N/A
Fossilis,Apolline Etienne,N/A,N/A,N/A,N/A
Planet Apocalypse,Thierry Masson,Keith Thompson,N/A,N/A,N/A
Space Park,Brian Edward Miller,N/A,N/A,N/A,N/A
Joan of Arc: Orléans Draw & Write,Klemens Franz,N/A,N/A,N/A,N/A
Coldwater Crown,Ryan Coleman,Beth Sobel,N/A,N/A,N/A
First Contact,Viktor Eredel,Alexandr Kiselev,Alexandra Sharyapova,N/A,N/A
Ghost Blitz 2,Gabriela Silveira,N/A,N/A,N/A,N/A
Fire Tower,Kevin Ruelle,N/A,N/A,N/A,N/A
Oh Hell!,N/A,N/A,N/A,N/A,N/A
Deckscape: Heist in Venice,Alberto Bontempi,N/A,N/A,N/A,N/A
Tulip Bubble,ことり寧子 (Kotori Neiko),N/A,N/A,N/A,N/A
Big Boggle,N/A,N/A,N/A,N/A,N/A
Planetarium,Dann May,Greg May,N/A,N/A,N/A
Smash Up: Big in Japan,Jonny Hinkle (II),Alberto Tavira,Francisco Rico Torres,N/A,N/A
Isle of Trains,Daniel Guidera,Christopher Kirkman,N/A,N/A,N/A
Pack & Stack,Michael Menzel,Anke Pohl,Thilo Rick,N/A,N/A
HATE,Thierry Masson,Edgar Skomorowski,Adrian Smith,N/A,N/A
Four Gardens,Rachance,N/A,N/A,N/A,N/A
Dice Throne: Season One ReRolled – Treant v. Ninja,Gavan Brown,Manny Trembley,N/A,N/A,N/A
O Zoo le Mio,Czarnè,N/A,N/A,N/A,N/A
Dokmus,Markku Laine,Sami Saramäki,N/A,N/A,N/A
The Settlers of the Stone Age,Tanja Donner,Franz Vohwinkel,N/A,N/A,N/A
Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),Tony Ackland,David Andrews,John Blanche,Alex Boyd,N/A
Perry Rhodan: The Cosmic League,Swen Papenbrock,N/A,N/A,N/A,N/A
Hidden Games Crime Scene: The New Haven Case,N/A,N/A,N/A,N/A,N/A
King of the Dice,Gus Batts,N/A,N/A,N/A,N/A
Gunkimono,George Sellas,N/A,N/A,N/A,N/A
Exit: The Game – Advent Calendar: The Hunt for the Golden Book,N/A,N/A,N/A,N/A,N/A
EastFront: The War in Russia 1941-45 – Second Edition,David Pentland,N/A,N/A,N/A,N/A
City of the Living,Arnaud Demaegd,Neriac,Thomas Verguet,N/A,N/A
