Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Kuhhandel Master,Martin Knorpp,Mathieu Leyssenne,N/A,N/A,N/A
Harvest,Rob Lundy,Adam P. McIver,N/A,N/A,N/A
Bazaar,Pixel Productions Inc.,N/A,N/A,N/A,N/A
Vienna Connection,N/A,N/A,N/A,N/A,N/A
Field Commander: Alexander,Wan Chiu,N/A,N/A,N/A,N/A
Ticket to Ride: San Francisco,Julien Delval,N/A,N/A,N/A,N/A
DC Deck-Building Game: Rivals – Batman vs The Joker,N/A,N/A,N/A,N/A,N/A
Marvel Zombies: Heroes' Resistance,Marco Checchetto,N/A,N/A,N/A,N/A
Black Gold,Luke Radl,Adam Taubenheim,N/A,N/A,N/A
Lizard Wizard,Jacoby O'Connor,Annie Stegg,N/A,N/A,N/A
Dungeons & Dragons: Waterdeep – Dungeon of the Mad Mage Board Game,N/A,N/A,N/A,N/A,N/A
DreadBall: The Futuristic Sports Game,N/A,N/A,N/A,N/A,N/A
Camp Grizzly,Austin Madison,N/A,N/A,N/A,N/A
City of Remnants,JJ Ariosa,Peter Wocken,N/A,N/A,N/A
Trias,Doris Matthäus,Christophe Swal,N/A,N/A,N/A
Strozzi,Ryan Laukat,Franz Vohwinkel,N/A,N/A,N/A
Quodd Heroes,Ryan Iler,Kamila Szutenburg,N/A,N/A,N/A
Pax Emancipation,Karim Chakroun,Johanna Pettersson,N/A,N/A,N/A
Witchcraft!,Albert Monteys,N/A,N/A,N/A,N/A
Cupcake Empire,Amanda Duarte,David Prieto,N/A,N/A,N/A
Monikers: Serious Nonsense,Cécile Gariépy,N/A,N/A,N/A,N/A
Cavum,Mike Doyle (I),N/A,N/A,N/A,N/A
Assault on Doomrock,Tomasz Florkiewicz,Przemysław Geremek,Michał Grochalak,Adam Kabalak,N/A
Tortuga 2199,Andrew Mironov,N/A,N/A,N/A,N/A
Terrors of London,Ryan Pye,N/A,N/A,N/A,N/A
Mutant Chronicles: Siege of the Citadel,Paul Bonner,N/A,N/A,N/A,N/A
TEAM3 GREEN,Reinis Pētersons,N/A,N/A,N/A,N/A
"Red Winter: The Soviet Attack at Tolvajärvi, Finland – 8-12 December 1939",Lee Brimmicombe-Wood,Charles Kibler,Rodger B. MacGowan,Mark Mahaffey,N/A
My Island,Michael Menzel,N/A,N/A,N/A,N/A
Bumúntú,Michael Parla,N/A,N/A,N/A,N/A
Lincoln,Peter Dennis,N/A,N/A,N/A,N/A
W1815,Kim Paqvalin,N/A,N/A,N/A,N/A
Voll verplant,Olga Cress,N/A,N/A,N/A,N/A
Expedition,Jo Hartwig,Marc Margielsky,N/A,N/A,N/A
Karmaka,Eddy Boxerman,Lane Brown,Marco Bucci,Dave Burke,Scott Nicely
Nightfall: Martial Law,Conceptopolis,Andrew Hepworth,Jake Murray,Matthew Starbuck,N/A
Iliad,John McCambridge,N/A,N/A,N/A,N/A
Dark Ages: Holy Roman Empire,Joel Holtzman,Zbigniew Umgelter,Aleksander Zawada,N/A,N/A
Noria,Klemens Franz,Michael Menzel,N/A,N/A,N/A
Unlock!: Secret Adventures – Tombstone Express,Arnaud Demaegd,N/A,N/A,N/A,N/A
Welcome to Dino World,Sabrina Miramon,Beth Sobel,N/A,N/A,N/A
Get Bit!,Xavier Collette,Vincent Poulard,Gavin Schmitt,N/A,N/A
Exploding Kittens: NSFW Deck,Matthew Inman,Elan Lee,Shane Small,N/A,N/A
D.E.I.: Divide et Impera,Fernando Armentano,Simone de Paolis,Tommaso Incecchi,Giovanni Pirrotta,N/A
Shinkansen: Zero Kei,Loka Made Studio,N/A,N/A,N/A,N/A
Archer: Once You Go Blackmail...,N/A,N/A,N/A,N/A,N/A
A Tale of Pirates,Ruslan Audia,N/A,N/A,N/A,N/A
Yokai Septet,N/A,N/A,N/A,N/A,N/A
Lifeboat,Stephen K. Ratter,N/A,N/A,N/A,N/A
Tiwanaku,Raphaël Samakh,N/A,N/A,N/A,N/A
Wild Tiled West,Clay Brooks,Anika Burrell,Raul Ramos,Nate Storm,N/A
Summit: The Board Game,Jordan Danielsson,N/A,N/A,N/A,N/A
Cataclysm: A Second World War,Charles Kibler,Terry Leeds,Rodger B. MacGowan,N/A,N/A
Arborea,Javier González Cava,Nicolas Gendron,N/A,N/A,N/A
"Warhammer 40,000 (Third Edition)",John Blanche,N/A,N/A,N/A,N/A
Cosmoctopus,George Doutsiopoulos,N/A,N/A,N/A,N/A
Isle of Trains: All Aboard,Denis Martynets,N/A,N/A,N/A,N/A
Small City,Da-Fanny,Todd Sanders,Sampo Sikiö,Alban Viard,N/A
Monikers: The Shut Up & Sit Down Nonsense Box,N/A,N/A,N/A,N/A,N/A
Crash Octopus,Yoshiaki Tomioka,N/A,N/A,N/A,N/A
1st & Goal,Scott Fleenor,Matthan Heiselt,Jennifer Vargas,N/A,N/A
Monikers: More Monikers,Cécile Gariépy,Alex Hague,N/A,N/A,N/A
TOKYO METRO,Jordan Draper,N/A,N/A,N/A,N/A
Walk the Plank!,Felideus Bubastis,Mike Groves,N/A,N/A,N/A
King Up!,Daniele Barletta,David Cochard,N/A,N/A,N/A
