Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Centipede,N/A,N/A,N/A,N/A,N/A
Chelsea,Andreas Resch,N/A,N/A,N/A,N/A
Orbit War,Ross Carnes,Jeffrey D. George,Alan Gutierrez,N/A,N/A
Number Rings,N/A,N/A,N/A,N/A,N/A
Trip 1907: Interactive Escape the Book Game,J. Fadel,C. Morogianni,N/A,N/A,N/A
Officinalis,Pascal Boucher,N/A,N/A,N/A,N/A
Mighty Warriors,Chris Baker,N/A,N/A,N/A,N/A
Slide 5,N/A,N/A,N/A,N/A,N/A
Wer ist der Täter?,N/A,N/A,N/A,N/A,N/A
Pionjär,(Uncredited),N/A,N/A,N/A,N/A
Taktvoll,Uwe Adlung,Jürgen Martens,N/A,N/A,N/A
CorteXXX Confidential,Sébastien Lopez,N/A,N/A,N/A,N/A
Take a Gamble,N/A,N/A,N/A,N/A,N/A
Larceny,N/A,N/A,N/A,N/A,N/A
Professor Pugnacious,Andrea Renaisse,N/A,N/A,N/A,N/A
Big Pay Day,N/A,N/A,N/A,N/A,N/A
Icebergs,Harry Quinn,N/A,N/A,N/A,N/A
Split Decision,N/A,N/A,N/A,N/A,N/A
Hook!,Dennis Lohausen,N/A,N/A,N/A,N/A
Home Sweet Home (or Not),Álex Santaló,N/A,N/A,N/A,N/A
Day & Night,Fiore GmbH,N/A,N/A,N/A,N/A
Barbacan,N/A,N/A,N/A,N/A,N/A
Pipeline,N/A,N/A,N/A,N/A,N/A
UNO Hearts,N/A,N/A,N/A,N/A,N/A
Worker Placement,Steve Mills (II),N/A,N/A,N/A,N/A
Discover India,Martin Hoffmann,Claus Stephan,N/A,N/A,N/A
Elephant's Trunk,Gabie Hilgert,Xiao Xin,N/A,N/A,N/A
Planet Hollywood: The Game,N/A,N/A,N/A,N/A,N/A
Floppy Ears,Gabriela Silveira,N/A,N/A,N/A,N/A
Motto,N/A,N/A,N/A,N/A,N/A
TacDex: Pirates,N/A,N/A,N/A,N/A,N/A
Trivial Pursuit: Family Edition,(Uncredited),N/A,N/A,N/A,N/A
Sahwari,Miguel Coimbra,N/A,N/A,N/A,N/A
Sky Heist,Faya Khamidulina,N/A,N/A,N/A,N/A
1863,Joy Cohn,Rodger B. MacGowan,"Rick ""Butcher"" Pavek",Mark Simonitch,N/A
Scooby-Doo! Expandable Card Game,N/A,N/A,N/A,N/A,N/A
Mau Mau Extreme,Harnickell Design,N/A,N/A,N/A,N/A
Das verdrehte Labyrinth,Michael Feldkötter,Max J. Kobbert,Joachim Krause,N/A,N/A
Kaiten Sushi,N/A,N/A,N/A,N/A,N/A
Jet World,N/A,N/A,N/A,N/A,N/A
Act Too,Stéphane Gantiez,N/A,N/A,N/A,N/A
Combat,(Uncredited),N/A,N/A,N/A,N/A
Shadow Games,Mark Gibbons,N/A,N/A,N/A,N/A
Merlin Zinzin,Stan!,Leonid Vladimirsky,N/A,N/A,N/A
Samurai Jack: Back to the Past,N/A,N/A,N/A,N/A,N/A
Böse Buben,N/A,N/A,N/A,N/A,N/A
Quadtria,N/A,N/A,N/A,N/A,N/A
Trivial Pursuit: Genus Editie,N/A,N/A,N/A,N/A,N/A
Siege,N/A,N/A,N/A,N/A,N/A
Bastogne,Redmond A. Simonsen,N/A,N/A,N/A,N/A
Fever Chill,Marty Cobb,N/A,N/A,N/A,N/A
Space Invaders Dice!,N/A,N/A,N/A,N/A,N/A
Remember When ...,Eric Bridge,Matthew Moeller,N/A,N/A,N/A
Ascended,Andrea Alemanno,Joana Higino,N/A,N/A,N/A
Dr. Gomb,Feyér Ákos,N/A,N/A,N/A,N/A
Ciao!,Stéphane Escapa,N/A,N/A,N/A,N/A
Bump in the Night,Dave Aikins,Todd Breitenstein,Kurt Miller,N/A,N/A
Thieves Guild,N/A,N/A,N/A,N/A,N/A
Die kleine Hexe,Bluguy,Winnie Gebhardt-Gayler,N/A,N/A,N/A
The Way,N/A,N/A,N/A,N/A,N/A
Gang Up!,Robin Keijzer,N/A,N/A,N/A,N/A
Jolly Roger,Katja Braasch,N/A,N/A,N/A,N/A
Geared: Build Your Bike,Alex Solomon,N/A,N/A,N/A,N/A
Slammer,Jussi Wallenius,N/A,N/A,N/A,N/A
Chop Chop,N/A,N/A,N/A,N/A,N/A
This Big!,Michelle Barbera,N/A,N/A,N/A,N/A
Don't Say It,N/A,N/A,N/A,N/A,N/A
Werner: Volle Socke,Brösel,N/A,N/A,N/A,N/A
Pirate Plank,N/A,N/A,N/A,N/A,N/A
Little Dungeon: Turtle Rock,Pablo Cialoni,Michael Fong,N/A,N/A,N/A
I Think You Think I Think,N/A,N/A,N/A,N/A,N/A
Sahara,N/A,N/A,N/A,N/A,N/A
Od,Jean Baer,Jeff Lee (I),N/A,N/A,N/A
Titus Tentacle,N/A,N/A,N/A,N/A,N/A
Out of Sight,N/A,N/A,N/A,N/A,N/A
Versailles,Dominique Ehrhard,N/A,N/A,N/A,N/A
Rally Fally,Patricia Limberger,N/A,N/A,N/A,N/A
