Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Medieval Mastery,Roger Barnett,Miguel Coimbra,David Inker,Miles Ratcliffe,Gary Simpson
Cerberus: The Proxima Centauri Campaign,Alvin Belflower,Allen D. Eldridge,N/A,N/A,N/A
Planet Busters,Alvin Helms,Tom Wham,N/A,N/A,N/A
Warage: Extended Edition,N/A,N/A,N/A,N/A,N/A
Austerlitz: The Battle of the 3 Emperors,Enea Riboldi,N/A,N/A,N/A,N/A
Goldener Drache,Dewa Waworka,N/A,N/A,N/A,N/A
Battlegame Book 3: Galactic War,N/A,N/A,N/A,N/A,N/A
The Game of Life Express,N/A,N/A,N/A,N/A,N/A
Luxantis,Stephanie Böhm,N/A,N/A,N/A,N/A
"Sedan: The Decisive Battle for France, May 1940",Eric R. Harvey,Joe Youst,N/A,N/A,N/A
The King's Men,Jason Lewis (II),Manuel Martinez (II),N/A,N/A,N/A
Palio,Giorgio De Michele,Paolo Vallerga,N/A,N/A,N/A
"Por favor, não corte minha cabeça!",Vitor Cafaggi,N/A,N/A,N/A,N/A
Operation Master,Toiro (といろ),N/A,N/A,N/A,N/A
Nightmare House,Kristine L. Bartyzel,Jeff Easley,Kitty Thompson,N/A,N/A
Rok 1863,Judyta Sosna,N/A,N/A,N/A,N/A
Odd Shop,Nicholas Westgård,N/A,N/A,N/A,N/A
Jetsetters,David Lovejoy,N/A,N/A,N/A,N/A
Der Hobbit: Eine unerwartete Reise – Das Spiel zum Film,Andreas Schmidt,N/A,N/A,N/A,N/A
Yago Pool,N/A,N/A,N/A,N/A,N/A
Uisge,N/A,N/A,N/A,N/A,N/A
In 80 Karten um die Welt,N/A,N/A,N/A,N/A,N/A
Party Animals,François Bruel,N/A,N/A,N/A,N/A
Quadrago,N/A,N/A,N/A,N/A,N/A
Terra Shifter,N/A,N/A,N/A,N/A,N/A
Robot Royale,Liam Kirkman,N/A,N/A,N/A,N/A
Die rote Kralle,Ronny Libor,Gyula Pozsgay,N/A,N/A,N/A
Black Stories 7,Nicola Berger,Holger Bösch,Kirsten Küsters,Bernhard Skopnik,N/A
Neon Knights: 2086,N/A,N/A,N/A,N/A,N/A
Hamlet!,Laura Overman,Mike Young,N/A,N/A,N/A
Trivial Pursuit: Friends,N/A,N/A,N/A,N/A,N/A
Warships,Dominik Kasprzycki,N/A,N/A,N/A,N/A
The Belgian Beers Race Dice,Ammo,N/A,N/A,N/A,N/A
Magic School,Olivier Latyk,N/A,N/A,N/A,N/A
Pega o Pinguim!,Alexandre Matos,N/A,N/A,N/A,N/A
My Haunted Castle,Sally J. Smith,N/A,N/A,N/A,N/A
Bailén 1808,Jose Maria Casado del Alisal,Xavier P. Rotllán,N/A,N/A,N/A
Rogue Agent,David Ausloos,N/A,N/A,N/A,N/A
Battle of the Bands,N/A,N/A,N/A,N/A,N/A
Desert Bazaar,Judy Kinkade,Rich Lynes,Mark Rosenbulh,N/A,N/A
F28: War Always Changes,Johan Nilsson,Felicia Wassberg,N/A,N/A,N/A
Stock Market Guru,N/A,N/A,N/A,N/A,N/A
