Title,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5
Doodle City,Gjermund Bohne,N/A,N/A,N/A,N/A
The Russian Campaign: 4th edition,Art Lupinacci,N/A,N/A,N/A,N/A
Axio,Claus Stephan,N/A,N/A,N/A,N/A
Unlock!: Mystery Adventures – The Nautilus' Traps,Florian de Gesincourt,N/A,N/A,N/A,N/A
Siege of Valeria,Mihajlo Dimitrievski,N/A,N/A,N/A,N/A
Bolide,Lucia Valentini,N/A,N/A,N/A,N/A
Chicken Caesar,Bryan Fischer,N/A,N/A,N/A,N/A
Ancient Realm,Startraphell Talbot,N/A,N/A,N/A,N/A
Numbsters,Luke Flowers,N/A,N/A,N/A,N/A
The Great Battles of Alexander: Macedonian Art of War,N/A,N/A,N/A,N/A,N/A
Fire in the East,"Paul Richard ""Rich"" Banner",Rodger B. MacGowan,N/A,N/A,N/A
Han,Michael Schacht,N/A,N/A,N/A,N/A
The Emerald Flame,Liiga Klavina,Rita Orlov,N/A,N/A,N/A
Imperium Romanum II,Larry Catalano,Stephen Crane,David Martin (II),Kevin Wilkins,N/A
Vino,Franz Vohwinkel,N/A,N/A,N/A,N/A
Conquistador: The Age of Exploration,Kenn Nishiuye,Redmond A. Simonsen,N/A,N/A,N/A
Exploding Kittens: Recipes for Disaster,Matthew Inman,N/A,N/A,N/A,N/A
Moon Adventure,Jun Sasaki,N/A,N/A,N/A,N/A
1805: Sea of Glory,Rodger B. MacGowan,Mark Mahaffey,N/A,N/A,N/A
Lisbon Tram 28,André Fernandes Trindade,N/A,N/A,N/A,N/A
North American Railways,Harald Lieske,N/A,N/A,N/A,N/A
Wings of Glory: WW1 Duel Pack,Vincenzo Auletta,Dario Calì,N/A,N/A,N/A
Winds of Plunder,Knut Grünitz,Mike Lemick,Rodger B. MacGowan,Mark Simonitch,N/A
Downtown Farmers Market,N/A,N/A,N/A,N/A,N/A
Mining Colony,Marius Janusonis,N/A,N/A,N/A,N/A
Piranha Pedro,François Bruel,Wesly Gibs,Tomasz Larek,Marcel-André Casasola Merkle,N/A
Triplock,Josh J. Carlson,N/A,N/A,N/A,N/A
Vye: The Card Game of Capture and Control,Doug Woolsey,N/A,N/A,N/A,N/A
Parthenon: Rise of the Aegean,Jason Hawkins,Jessica Ney,Stephen Graham Walsh,N/A,N/A
Lunar Base,Ladislava Bohacova,N/A,N/A,N/A,N/A
Vadoran Gardens,Miguel Da Silva,Frank West,N/A,N/A,N/A
Monster Crunch! The Breakfast Battle Game,Andrew Kolb,N/A,N/A,N/A,N/A
Mush! Mush!: Snow Tails 2,Judith Lamont,N/A,N/A,N/A,N/A
Straw,N/A,N/A,N/A,N/A,N/A
なつめも (Natsumemo),Riyo,新月竜 (Shingetsuryu),TANSAN Inc.,N/A,N/A
Coconuts Duo,Vincent Kim,N/A,N/A,N/A,N/A
Icehouse,N/A,N/A,N/A,N/A,N/A
Reverse Charades,Ari Wong,N/A,N/A,N/A,N/A
Fractal: Beyond the Void,Tom Lopez,N/A,N/A,N/A,N/A
The Arrival,Robert Altbauer,JJ Ariosa,Rica Bünning,Kamila Szutenberg,N/A
On to Richmond!,Charles Kibler,Keith Rocco,N/A,N/A,N/A
Paku Paku,Agence Cactus,N/A,N/A,N/A,N/A
Risk (Revised Edition),N/A,N/A,N/A,N/A,N/A
Snorta!,Steve Gray,Per Leveaux,Michael Menzel,N/A,N/A
Basilica,Mariusz Gandzel,Łukasz M. Pogoda,N/A,N/A,N/A
Nightmare Cathedral,Zdzisław Beksiński,Franek Wolski,N/A,N/A,N/A
25 Words or Less,N/A,N/A,N/A,N/A,N/A
Crows,Patrick LaMontagne,N/A,N/A,N/A,N/A
Table Battles,Amabel Holland,N/A,N/A,N/A,N/A
Yu-Gi-Oh! Trading Card Game,Kazuki Takahashi,N/A,N/A,N/A,N/A
"The Blitzkrieg Legend: The Battle for France, 1940",Nicolás Eskubi,Dean Essig,N/A,N/A,N/A
Puzzle Strike 2,N/A,N/A,N/A,N/A,N/A
Birds of a Feather,Trevor Fristoe,N/A,N/A,N/A,N/A
Pacific Victory: War in the Pacific 1941-45,Eric Hotz,N/A,N/A,N/A,N/A
Era of Kingdoms,Jeff Porter,N/A,N/A,N/A,N/A
Die Fugger,Alexander Jung,N/A,N/A,N/A,N/A
Touria,Klemens Franz,N/A,N/A,N/A,N/A
BasketBoss,Christof Tisch,N/A,N/A,N/A,N/A
A Game of Thrones: B'Twixt,N/A,N/A,N/A,N/A,N/A
Horizon Zero Dawn: The Board Game,Guerrilla Miniature Games Art Deptartment,Thomas Lishman,Doug Telford,N/A,N/A
CapCom Street Fighter Deck-Building Game,N/A,N/A,N/A,N/A,N/A
Age of Thieves,Damian Bajowski,Bartek Fedyczak,Michał Lechowski,Michał Teliga,N/A
Import / Export: Definitive Edition,Jordan Draper,N/A,N/A,N/A,N/A
It Happens..,Michael Menzel,N/A,N/A,N/A,N/A
Solar Sphere,Igor Ershov,Elias Stern,N/A,N/A,N/A
Bremerhaven,Klemens Franz,N/A,N/A,N/A,N/A
Romi Rami,Fanny Saulnier,N/A,N/A,N/A,N/A
Heave Ho!,Franz Vohwinkel,N/A,N/A,N/A,N/A
Trek 12: Amazonia,Olivier Derouetteau,Maxime Morin,N/A,N/A,N/A
Krosmaster Arena 2.0,Édouard Guiton,N/A,N/A,N/A,N/A
Latice,N/A,N/A,N/A,N/A,N/A
The Spill,Kwanchai Moriya,N/A,N/A,N/A,N/A
Nothing Gained But Glory,Knut Grünitz,Rodger B. MacGowan,N/A,N/A,N/A
Sine Tempore,Fernando Armentano,Josè Alejandro Lupico Barca,Antonio De Luca,Simone de Paolis,N/A
