Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
A las Barricadas!,5.544,7.13,77,N/A,2006,2.69,2,2,120,120,12,Wargames,N/A
Traffic Jam,5.544,6.54,112,N/A,2019,1.4,3,8,10,20,8,N/A,N/A
Genji,5.544,5.81,415,N/A,2008,2.0,2,6,45,45,10,Strategy,Thematic
Hex Effects,5.544,7.13,77,N/A,2025,1.0,2,8,10,30,10,N/A,N/A
Wabbit Wampage,5.544,6.01,235,N/A,1985,2.05,2,4,120,120,12,Thematic,N/A
Verrix,5.544,7.54,71,N/A,2022,3.0,2,5,60,150,14,Strategy,N/A
Quashars,5.544,7.45,49,N/A,2025,0.0,3,4,40,40,7,N/A,N/A
Oh Really?,5.544,6.58,117,17.99,2019,1.0,2,8,30,30,16,N/A,N/A
Battlefields of the Napoleonic Wars,5.544,8.35,40,N/A,2025,2.5,1,2,45,180,14,N/A,N/A
Don't Look Back,5.544,8.83,45,N/A,2020,2.75,1,6,60,60,14,N/A,N/A
Strawberry Sunset,5.544,6.06,233,N/A,2020,1.56,2,4,10,20,7,N/A,N/A
Twin Stars: Adventure Series II,5.544,6.75,92,N/A,2019,2.5,1,1,15,30,8,N/A,N/A
Brokies,5.544,6.75,85,N/A,2023,2.0,2,6,20,30,8,N/A,N/A
Whitewater,5.544,5.94,251,N/A,2012,1.54,2,6,45,60,8,N/A,N/A
Atlantic Storm: Admiral's Edition,5.544,7.46,54,N/A,2018,2.0,1,6,60,90,10,Wargames,N/A
Clue,5.544,5.82,757,N/A,2013,1.36,2,6,45,45,8,N/A,N/A
Boochie,5.544,6.56,98,N/A,2008,1.0,2,4,15,15,8,Children's,Family
Hand and Foot,5.544,5.85,482,N/A,1982,1.86,2,6,120,120,12,Family,N/A
Marvel Dice Throne: X-Men – Iceman v. Psylocke v. Storm v. Wolverine,5.544,7.74,52,N/A,2025,0.0,2,4,20,40,8,N/A,N/A
The Three Days Of Gettysburg,5.543,7.18,66,N/A,1995,4.15,2,8,420,420,12,Wargames,N/A
Serbia the Defiant / Romania: Transylvanian Gambit,5.543,7.53,57,N/A,2000,3.4,2,2,360,360,12,Wargames,N/A
Maus au Chocolat,5.543,5.92,252,N/A,2009,1.3,2,6,30,30,8,Family,N/A
Last Days: Zombie Apocalypse,5.543,7.75,58,N/A,2018,2.0,2,N/A,N/A,N/A,N/A,N/A,N/A
Kahmaté,5.543,6.36,117,N/A,2008,1.91,2,2,30,30,10,N/A,N/A
Trick or Treat,5.543,6.83,86,N/A,2011,1.67,2,6,45,45,13,N/A,N/A
After the Holocaust: The Nuclear Devastation of America – Recovery and Reunification,5.543,6.09,177,N/A,1977,4.03,3,5,180,180,12,Strategy,Wargames
Cake Duel,5.543,6.64,115,N/A,2018,1.2,2,2,10,15,8,N/A,N/A
Forks,5.543,6.58,92,N/A,2019,1.33,2,4,10,30,8,N/A,N/A
Duel for Kharkov,5.543,7.14,69,N/A,1985,3.21,2,2,180,180,12,Wargames,N/A
Epées et Hallebardes 1315-1476,5.543,7.73,47,N/A,2008,2.42,2,2,180,180,N/A,Wargames,N/A
Recreo Arcano,5.543,7.63,51,N/A,2023,2.0,2,4,20,30,10,N/A,N/A
"Storm Over Madrid 1936: ""Miracle of November""",5.543,7.12,71,N/A,2020,2.86,2,2,60,240,N/A,Wargames,N/A
Magic Fold,5.543,6.33,141,N/A,2018,1.5,2,4,20,30,7,N/A,N/A
"Patton's Vanguard: The Battle of Arracourt, 1944",5.543,6.97,68,N/A,2017,2.64,1,2,120,240,N/A,Wargames,N/A
The Grass Crown,5.543,8.06,37,N/A,2021,2.67,2,2,60,60,N/A,Wargames,N/A
The Aztec Market,5.543,7.1,62,N/A,2009,2.0,2,4,45,45,10,Abstract,N/A
Zaubertrank der vier Elemente,5.543,7.37,51,N/A,2016,2.0,2,4,40,40,10,Abstract,N/A
Clue: Robbery at the Museum,5.543,6.91,102,N/A,2022,1.67,1,6,90,90,10,N/A,N/A
Zimby Mojo,5.543,6.52,178,N/A,2016,2.89,1,8,20,150,14,N/A,N/A
The Stars Align,5.543,6.97,71,N/A,2018,1.0,2,2,15,30,6,Abstract,N/A
Death Over The Kingdom,5.543,6.7,102,N/A,2017,2.17,3,16,15,45,10,N/A,N/A
Mirror Mansion,5.543,5.97,210,N/A,2009,1.36,2,4,20,20,6,Children's,Family
Cadaver,5.543,6.24,164,N/A,2016,1.29,2,6,20,30,10,N/A,N/A
"A Frozen Hell: The Battle of Tolvajärvi, Russo-Finnish War, 1939",5.543,6.73,94,N/A,2000,3.73,2,2,240,240,12,Wargames,N/A
Hoppe Reiter,5.543,6.09,188,N/A,2011,1.0,2,4,10,10,3,Children's,N/A
History of the Ancient Seas I: HELLAS,5.543,7.93,51,N/A,2024,1.8,1,2,120,360,14,N/A,N/A
MEOW,5.543,6.09,190,N/A,2020,1.09,2,6,20,20,8,Family,N/A
Eylau 1807,5.543,7.53,61,N/A,2007,2.9,2,2,240,240,N/A,Wargames,N/A
