Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Dead Drop,5.682,6.32,639,N/A,2015,1.63,2,4,10,10,13,Family,N/A
Waffle Time,5.682,6.71,412,30.3,2023,2.1,1,4,25,30,10,N/A,N/A
Euphrates & Tigris: Contest of Kings,5.682,6.04,1288,30.0,2005,2.74,2,4,45,45,12,Strategy,N/A
Plantopia: The Card Game,5.682,6.7,478,16.87,2020,1.83,1,5,20,30,10,N/A,N/A
Tutankhamun,5.682,6.54,502,14.99,2021,1.67,2,6,30,30,8,Family,N/A
Die Säulen der Erde: das Kartenspiel,5.682,6.21,846,N/A,2010,2.11,3,4,60,60,10,Family,N/A
Car Wars (Sixth Edition),5.682,8.03,241,N/A,2021,2.38,2,4,60,180,10,Thematic,Wargames
Città-Stato,5.682,6.97,321,N/A,2022,3.48,1,4,60,90,15,Strategy,N/A
"The Dark Sands: War in North Africa, 1940-42",5.682,7.52,257,N/A,2018,2.93,1,2,90,1500,14,Wargames,N/A
Turbo Taxi,5.682,6.07,1134,N/A,2000,1.47,2,4,30,30,8,Family,N/A
The Belgian Beers Race,5.682,7.13,312,N/A,2021,2.71,2,4,60,150,14,N/A,N/A
Six Making,5.682,7.51,273,N/A,2013,1.79,2,2,25,25,12,Abstract,N/A
Roll & Raid,5.682,7.43,271,N/A,2020,2.56,1,6,30,60,8,Strategy,N/A
China Rails,5.682,7.05,311,N/A,2007,2.73,2,6,180,240,10,Strategy,N/A
Jiangnan: Life of Gentry,5.682,7.43,236,N/A,2022,3.52,1,5,60,90,13,N/A,N/A
Colourbrain,5.682,6.29,798,25.99,2017,1.0,2,12,30,30,8,Party,N/A
Tetris,5.682,6.45,591,N/A,2021,1.5,2,4,20,30,8,N/A,N/A
Duell,5.682,6.3,634,N/A,2004,1.33,2,2,30,30,9,Family,Strategy
Ducks in Tow,5.682,7.02,342,39.0,2020,2.11,1,4,30,60,10,N/A,N/A
Medioevo Universale,5.682,7.69,323,N/A,2018,3.32,3,6,120,300,14,Strategy,Wargames
Gates of Delirium,5.681,7.04,322,N/A,2019,1.88,2,4,30,45,14,Strategy,N/A
Password,5.681,6.13,1043,25.0,1962,1.51,3,4,30,30,10,Family,N/A
Yeti,5.681,6.3,715,N/A,2016,1.6,2,5,20,40,8,Family,N/A
Star Trek: The Next Generation Fluxx,5.681,6.81,404,N/A,2018,1.5,2,6,5,30,8,N/A,N/A
Meduris: Der Ruf der Götter,5.681,6.52,494,N/A,2016,2.33,2,4,75,75,10,Family,N/A
Mafiozoo,5.681,6.71,430,N/A,2017,2.43,2,4,60,60,12,Strategy,N/A
Spotlight,5.681,7.02,314,24.02,2024,1.0,1,5,15,15,6,N/A,N/A
The Stifling Dark,5.681,7.46,257,57.16,2024,3.14,2,5,60,120,14,Strategy,N/A
Shadows of Brimstone: Swamps of Death (Revised Edition),5.681,8.61,169,99.71,2020,3.67,1,4,90,180,12,N/A,N/A
Escape from Stalingrad Z,5.681,8.17,260,N/A,2023,3.37,1,3,20,40,14,Thematic,Wargames
Camel Up: Off Season,5.681,6.85,383,N/A,2021,2.0,3,5,45,45,8,N/A,N/A
Kosmonauts,5.681,6.63,443,N/A,2012,2.17,2,4,60,60,8,Family,N/A
On the Rocks,5.681,6.99,374,N/A,2021,1.67,1,4,45,90,14,N/A,N/A
Knight Fall,5.681,6.85,387,44.12,2022,2.2,1,6,45,60,13,N/A,N/A
Dungeon Rush,5.681,6.26,745,N/A,2016,1.18,2,5,13,19,8,N/A,N/A
Make 'n' Break,5.681,6.02,1335,N/A,2004,1.25,2,4,30,30,8,Family,Party
