Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Versailles,5.776,6.48,894,59.0,2014,2.75,2,5,90,90,12,Strategy,N/A
Winter,5.776,6.95,603,N/A,2022,1.39,2,2,10,10,8,Abstract,Family
Infinite City,5.776,6.16,1813,N/A,2009,1.89,2,6,45,45,10,Strategy,N/A
Fealty,5.776,6.65,708,30.42,2011,2.44,2,4,15,30,14,Abstract,Strategy
Wacky Races: The Board Game,5.776,6.58,987,N/A,2019,1.21,2,6,20,20,14,Family,N/A
Lupus in Tabula,5.776,6.49,1000,23.06,2001,1.22,8,24,20,40,8,Party,N/A
Gloria Picktoria,5.776,6.34,1128,N/A,1996,1.4,2,5,45,45,10,Family,N/A
Big Monster,5.776,6.78,665,N/A,2018,1.94,2,6,20,30,10,Family,N/A
Timeline: Classic,5.775,6.76,616,N/A,2018,1.13,2,6,15,15,8,N/A,N/A
Okko: Era of the Asagiri,5.775,6.69,795,92.0,2008,2.24,2,2,40,40,12,Thematic,N/A
Monster Chase,5.775,6.31,1263,N/A,2009,1.02,1,6,10,10,4,Children's,N/A
Five Parsecs From Home: Solo Adventure Wargaming,5.775,8.52,270,N/A,2021,2.86,1,1,90,90,N/A,Thematic,Wargames
Key Market (Second Edition),5.775,7.36,388,N/A,2019,3.36,2,4,90,90,12,N/A,N/A
Battle For Souls,5.775,6.85,674,N/A,2013,2.37,1,4,60,60,14,Thematic,N/A
Barbarossa,5.775,6.78,665,N/A,2010,2.58,2,5,60,60,18,Thematic,N/A
King's Breakfast,5.775,6.17,1591,N/A,2003,1.18,3,5,15,15,7,Family,N/A
The Wizard Always Wins,5.775,6.63,809,N/A,2017,1.68,2,5,30,30,10,Family,N/A
Catan: Traveler – Compact Edition,5.775,7.15,531,N/A,2015,2.2,2,4,75,75,10,N/A,N/A
The King's Abbey,5.775,6.87,648,56.0,2016,3.27,1,5,90,180,14,Strategy,N/A
"Fort Sumter: The Secession Crisis, 1860-61",5.775,6.46,933,38.49,2018,1.81,2,2,20,40,14,Wargames,N/A
Stonewall in the Valley,5.774,7.74,348,N/A,1995,3.39,2,2,60,840,12,Wargames,N/A
Star Trek: Missions,5.774,6.75,640,23.34,2022,2.0,2,6,20,20,14,N/A,N/A
BONK,5.774,6.59,746,N/A,2017,1.0,2,4,10,10,8,Party,N/A
Rory's Story Cubes: Actions,5.774,6.36,1131,N/A,2007,1.19,1,12,20,20,6,Family,N/A
Unlock!: Short Adventures – Doo-Arann's Dungeon,5.774,6.57,758,N/A,2022,2.0,2,6,30,30,10,Thematic,N/A
Luthier,5.774,8.2,283,N/A,2025,3.71,1,4,90,150,14,Strategy,N/A
Jäger und Sammler,5.774,6.73,647,N/A,2010,1.96,2,4,45,45,10,Family,N/A
The Stars Are Right,5.774,6.29,1421,N/A,2008,2.43,2,4,60,60,13,Strategy,N/A
Dragons Down,5.774,8.22,301,N/A,2024,3.71,1,4,120,120,14,N/A,N/A
Inheritors,5.774,7.07,492,N/A,2022,2.0,2,4,30,45,10,Family,Strategy
Panda Panda,5.774,6.71,679,N/A,2023,1.08,2,4,15,15,6,N/A,N/A
Suspend,5.774,6.23,1550,18.39,2012,1.0,1,4,15,15,8,Family,Party
1920 Wall Street,5.773,6.74,706,N/A,2017,2.26,2,5,45,60,12,Strategy,N/A
Ramen Fury,5.773,6.24,1865,6.99,2019,1.18,2,5,30,30,8,Family,N/A
Attribute,5.773,6.34,1118,N/A,2002,1.18,3,8,30,30,8,Party,N/A
Across 5 Aprils,5.773,7.03,497,N/A,1992,2.34,2,2,60,360,12,Wargames,N/A
Master Thieves,5.773,6.56,789,N/A,2004,2.34,2,8,60,60,10,Party,N/A
Krakel Orakel,5.773,7.3,412,N/A,2024,1.15,2,8,30,30,10,N/A,N/A
Gambit 7,5.773,6.74,647,N/A,2008,1.06,3,21,15,15,7,Party,N/A
Little Factory,5.773,6.43,1058,14.77,2020,1.85,1,4,20,40,12,Family,N/A
Gorus Maximus,5.773,6.37,1145,N/A,2018,1.4,1,8,20,45,13,Family,N/A
Successors: The Battles for Alexander's Empire (First/Second Edition),5.773,7.04,517,N/A,1997,3.23,3,4,60,240,12,Wargames,N/A
