Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
The Incredibles: Save the Day Game,5.542,6.69,84,N/A,2018,1.0,1,4,30,30,6,N/A,N/A
Boss Monster: 10th Anniversary Edition,5.542,7.15,85,N/A,2023,2.0,2,4,30,30,13,N/A,N/A
Argoat,5.542,6.57,107,N/A,2017,1.83,3,5,45,60,10,N/A,N/A
Tony & Tino,5.542,5.87,271,N/A,2002,1.7,2,2,30,30,10,Family,N/A
Warsaw 1920: Lenin's Failed Conquest of Europe,5.542,7.74,49,N/A,2020,2.67,2,2,120,180,12,Wargames,N/A
The Lost Valley: The Siege of Diên Biên Phù,5.542,7.87,49,N/A,2020,2.83,1,1,90,120,14,Wargames,N/A
Capital City,5.542,6.16,158,N/A,2017,2.0,3,6,30,50,8,N/A,N/A
Phase 10 Masters Edition,5.542,5.82,526,N/A,2001,1.41,2,6,120,120,8,Family,N/A
China: The Middle Kingdom,5.542,6.8,88,N/A,2008,2.93,N/A,4,N/A,N/A,12,Strategy,Wargames
Lumeria: War of the Gods,5.542,7.11,113,N/A,2021,2.29,2,2,20,40,8,Wargames,N/A
Quibbles,5.542,6.03,329,N/A,2023,1.27,1,6,10,25,8,N/A,N/A
Expedition Sumatra,5.542,6.19,146,N/A,2010,2.43,2,4,45,45,8,N/A,N/A
Dangerous Space: Core Set,5.541,7.25,58,N/A,2024,2.33,1,1,20,30,8,N/A,N/A
Shinobi: War of Clans,5.541,5.98,232,N/A,2012,1.44,3,5,20,20,12,Abstract,N/A
Knights of the Air,5.541,6.16,247,N/A,1987,3.48,1,6,30,150,12,Wargames,N/A
Bananagrams Duel!,5.541,6.16,157,13.25,2019,1.0,2,2,10,10,7,N/A,N/A
WordARound,5.541,6.04,192,N/A,2012,1.0,2,6,30,30,10,N/A,N/A
Colour Square,5.541,6.59,104,N/A,2023,1.43,1,6,20,30,8,N/A,N/A
LOK,5.541,8.77,30,N/A,2022,2.0,1,1,5,240,8,N/A,N/A
Booty Dice,5.541,6.79,92,N/A,2023,0.0,2,6,15,30,8,N/A,N/A
Dungeon Brawler,5.541,6.49,100,N/A,2019,1.8,1,4,30,45,13,N/A,N/A
Madoshi,5.541,7.25,58,N/A,2021,1.5,1,2,15,30,13,N/A,N/A
Linkto Travel,5.541,6.17,183,4.99,2018,1.0,1,10,30,45,10,N/A,N/A
Devil Boats: PT Boats in the Solomons,5.541,6.97,118,N/A,2021,2.67,1,1,15,60,14,Wargames,N/A
The Campaigns of Robert E. Lee,5.541,6.63,100,N/A,1988,3.84,2,2,240,240,N/A,Wargames,N/A
Chocolates,5.541,7.24,62,N/A,2024,1.0,2,4,15,20,10,N/A,N/A
Birth of a Legend: Lee and the Seven Days,5.541,6.82,81,N/A,2011,2.87,2,2,180,180,N/A,Wargames,N/A
XOK,5.541,7.52,57,N/A,2024,1.0,2,2,15,15,8,Abstract,N/A
Venezia 2099,5.541,5.99,193,N/A,2014,1.5,2,5,60,60,8,N/A,N/A
