Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Heroes of Stalingrad,5.656,8.07,207,N/A,2019,3.0,2,2,30,120,14,Wargames,N/A
Lofoten,5.656,6.57,424,25.35,2022,2.29,2,2,40,45,12,N/A,N/A
Iron Forest,5.656,7.89,161,N/A,2024,1.86,1,4,30,30,14,Family,N/A
Tsuro: Phoenix Rising,5.656,6.33,596,N/A,2019,2.33,2,8,20,50,8,Family,N/A
Disney Villainous: Introduction to Evil,5.656,7.08,284,N/A,2023,2.5,2,4,50,50,10,N/A,N/A
Sternenhimmel,5.656,6.56,377,N/A,1995,2.08,3,5,30,30,10,Strategy,N/A
Democracy under Siege,5.656,7.43,208,N/A,2011,3.68,2,3,150,240,12,Strategy,Wargames
Orlog: Assassin's Creed Valhalla Dice Game,5.656,6.5,532,130.0,2021,1.3,2,2,10,30,8,N/A,N/A
RoadZters,5.656,6.71,330,N/A,2010,1.26,1,4,20,20,5,N/A,N/A
On the Underground: Paris / New York,5.656,7.47,191,40.88,2024,2.5,2,5,45,60,14,N/A,N/A
Journey: Wrath of Demons,5.656,6.75,378,29.99,2015,2.67,1,4,30,75,14,Strategy,Thematic
Flip Over Frog,5.656,6.67,368,N/A,2018,1.11,2,4,15,15,6,Abstract,Family
Florence,5.656,6.93,277,N/A,2022,3.05,1,5,40,80,14,Strategy,N/A
Omega Centauri,5.656,6.97,290,N/A,2014,3.08,2,4,60,60,12,Strategy,N/A
Dorn,5.656,6.93,330,N/A,2006,2.87,2,6,90,90,10,Strategy,Thematic
Airlines,5.656,6.57,384,N/A,1990,2.42,2,6,90,90,12,Strategy,N/A
BANG!: The Walking Dead,5.656,6.35,649,N/A,2014,1.75,4,7,30,30,13,Party,N/A
Dune: The Dice Game,5.655,6.8,310,N/A,2015,2.92,3,8,30,120,8,Thematic,N/A
USPS: The Great American Mail Race,5.655,6.61,446,16.25,2022,1.89,2,4,45,45,10,N/A,N/A
Arkham Noir: Case #3 – Infinite Gulfs of Darkness,5.655,7.17,274,N/A,2021,3.1,1,1,30,30,14,N/A,N/A
Tarock,5.655,7.41,225,N/A,1425,3.55,2,5,30,30,N/A,Strategy,N/A
Armadillo,5.655,6.67,388,N/A,2022,1.0,2,6,20,20,8,N/A,N/A
50 Clues: The Fate of Leopold,5.655,6.45,468,N/A,2019,1.92,1,5,90,90,16,Thematic,N/A
Mortum: Medieval Detective – The Shelter,5.655,8.11,153,19.99,2022,1.5,1,6,180,240,16,N/A,N/A
Shinjuku,5.655,7.4,205,N/A,2024,2.64,2,4,60,60,10,N/A,N/A
Funkoverse Strategy Game: Golden Girls 100,5.655,7.0,288,N/A,2019,2.0,2,2,20,60,10,N/A,N/A
Mouse Guard: Swords & Strongholds,5.655,7.01,300,N/A,2015,1.38,2,2,15,30,8,Abstract,N/A
Cosmic Run: Rapid Fire,5.655,6.77,307,N/A,2017,2.0,1,2,20,30,14,N/A,N/A
Friesematenten,5.655,6.28,624,N/A,2010,2.02,2,4,45,45,12,Family,N/A
Free Ride USA,5.655,7.35,204,N/A,2024,2.25,1,5,50,90,10,N/A,N/A
Pampas Railroads,5.655,7.08,246,N/A,2001,3.32,3,6,120,120,12,Strategy,N/A
Chase,5.655,6.84,327,N/A,1985,2.66,2,2,45,45,10,Abstract,N/A
Legendary: A Marvel Deck Building Game – Marvel Studios' What If...?,5.655,8.33,143,55.48,2023,3.0,1,5,30,60,N/A,N/A,N/A
AFFLICTION: Salem 1692,5.655,7.24,250,N/A,2017,2.75,2,4,30,60,12,N/A,N/A
Pick a Pen: Gardens,5.655,6.74,318,N/A,2023,1.7,2,4,30,30,8,Family,N/A
Napoleon Saga: Waterloo,5.655,8.14,201,N/A,2019,2.67,2,2,45,90,14,Wargames,N/A
Master of the Galaxy,5.655,6.6,439,26.0,2018,2.62,2,4,45,120,10,N/A,N/A
Victory Roads: From Bagration to the Fall of Berlin 1944-1945,5.655,8.05,165,N/A,2015,3.53,2,2,120,1440,12,Wargames,N/A
Hack Trick,5.655,6.34,610,35.66,2015,1.43,2,4,15,25,10,Abstract,Family
Tales from the Loop: The Board Game,5.655,6.79,375,63.99,2022,3.35,1,5,90,180,14,Thematic,N/A
Serpents of the Seas,5.655,7.73,184,N/A,2010,3.08,1,4,150,150,N/A,Wargames,N/A
Persian Gulf: Battle for the Middle East,5.655,7.38,224,N/A,1986,3.48,2,2,180,300,12,Wargames,N/A
Zombie Plague,5.655,6.68,462,N/A,2001,1.81,2,6,60,60,10,Thematic,N/A
