Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
The Seeker in the Forest of Wyr,5.515,6.42,37,N/A,2014,1.33,1,1,20,20,12,N/A,N/A
Invazions,5.515,6.53,35,N/A,2014,3.0,2,4,45,45,14,N/A,N/A
Expedition Sumatra: Dadu Dadu,5.515,6.56,35,N/A,2011,2.0,2,4,20,20,8,N/A,N/A
Spy or Die Trying,5.515,6.4,58,N/A,2013,2.86,2,4,60,60,12,Strategy,Thematic
Apagos,5.515,6.46,35,N/A,2010,1.0,2,2,5,5,7,Abstract,N/A
Etariya: Septachroma,5.515,6.5,37,N/A,2022,1.5,2,2,10,20,8,N/A,N/A
Fifty,5.515,6.01,90,N/A,2019,1.13,3,7,10,15,8,N/A,N/A
Heisse Ware: Krimi-Kartenspiel,5.515,6.37,44,N/A,2019,1.5,3,8,30,60,12,Party,N/A
To Glory!,5.515,6.2,95,N/A,2023,1.25,2,4,20,40,7,N/A,N/A
Giro D'Italia Card Game,5.515,5.86,118,N/A,2009,1.43,2,6,30,30,14,Family,Strategy
Tortuga,5.515,5.69,381,N/A,2014,1.9,2,4,35,35,8,Family,N/A
Fight for the Sky,5.515,6.23,63,N/A,1982,2.18,2,2,120,180,12,Wargames,N/A
The Powerpuff Girls: Mojo Jojo Attacks Townsville Game,5.515,6.34,46,N/A,2000,1.0,2,2,30,30,8,Children's,N/A
Stworze: Odrodzenie,5.515,6.89,49,N/A,2021,3.0,2,6,90,180,12,N/A,N/A
CINECITTA 1937,5.515,6.4,39,N/A,2015,2.0,3,5,20,40,12,N/A,N/A
YET,5.515,6.28,55,N/A,2024,2.0,2,3,20,30,10,N/A,N/A
MONSTRYS,5.515,6.43,44,N/A,2021,1.0,2,5,10,15,6,N/A,N/A
Laurel Crown,5.515,6.01,63,N/A,2017,1.5,2,4,15,30,14,N/A,N/A
Galaktico,5.515,6.3,49,N/A,2009,2.93,2,3,40,40,10,Abstract,Wargames
Baaaaa!,5.515,6.6,35,N/A,2015,1.0,1,6,20,20,5,N/A,N/A
Piratissimo,5.515,5.78,201,N/A,2005,1.23,2,4,20,30,6,Children's,N/A
Chute,5.515,7.91,30,N/A,2019,2.0,2,2,25,35,10,N/A,N/A
Zahltag,5.515,5.77,138,N/A,2002,1.47,2,4,30,45,10,N/A,N/A
Little Tokyo,5.515,6.44,36,N/A,2020,1.0,2,6,10,30,6,N/A,N/A
ORE-SOME,5.515,6.01,106,N/A,2017,2.0,2,4,40,60,8,N/A,N/A
Legends of Empires,5.515,6.16,58,N/A,2016,3.33,1,4,75,120,14,N/A,N/A
Apocalypse in the East: The Rise of the First Caliphate 646-656 A.D.,5.515,6.66,30,N/A,2018,3.0,2,2,180,300,N/A,Wargames,N/A
Dream Catcher,5.515,6.39,46,N/A,2024,1.0,2,6,30,30,8,N/A,N/A
Lil' Guys,5.515,7.86,35,N/A,2023,1.75,2,4,25,45,8,N/A,N/A
New World Colony,5.515,6.3,45,N/A,2011,1.6,1,1,10,10,8,N/A,N/A
Rommel's Panzers,5.515,5.96,82,N/A,1980,2.0,2,2,60,60,12,Wargames,N/A
Pool Position,5.515,5.77,140,N/A,1999,1.73,2,5,30,30,10,Family,N/A
Night Class,5.515,6.4,37,N/A,2019,2.0,1,1,20,30,10,N/A,N/A
Woods & Water,5.515,6.26,63,N/A,1995,1.2,2,4,60,60,N/A,N/A,N/A
Paleo,5.515,6.91,30,N/A,2008,1.0,2,4,30,30,N/A,N/A,N/A
Regista,5.515,6.3,47,N/A,2002,2.22,2,2,60,60,N/A,N/A,N/A
Sink N' Sand,5.515,5.92,104,N/A,2022,1.0,2,4,15,15,4,N/A,N/A
"Run Silent, Run Deep",5.515,6.49,41,N/A,1993,2.71,2,6,180,180,12,Wargames,N/A
Jarmo,5.515,6.48,45,N/A,1227,2.75,2,2,N/A,N/A,N/A,N/A,N/A
sQuizz,5.515,6.16,56,N/A,2013,0.0,2,8,20,20,12,N/A,N/A
Ultimate Tic-Tac-Toe,5.515,5.77,179,N/A,2008,2.0,2,4,5,15,6,Abstract,N/A
Ni fu ni fa,5.515,6.58,35,N/A,2022,1.0,5,99,1,3,12,N/A,N/A
Total Soccer,5.515,6.62,36,N/A,2008,1.4,2,2,15,15,6,N/A,N/A
Imperial Crusade Armada,5.515,6.74,30,N/A,2011,2.33,2,2,60,60,N/A,Wargames,N/A
Party Animals,5.515,5.72,164,N/A,2004,1.18,3,5,45,45,10,N/A,N/A
Glyph,5.515,6.31,51,N/A,2018,2.8,2,6,90,120,12,N/A,N/A
Somnicum,5.515,6.39,47,N/A,2017,1.33,2,4,20,60,10,N/A,N/A
ImmunoWars: The Most Infectious Boardgame,5.515,7.03,57,N/A,2022,2.5,2,6,30,120,12,N/A,N/A
The Belgian Beers Race Dice,5.515,6.68,56,N/A,2023,1.0,1,4,30,60,10,N/A,N/A
Float: From the Deep,5.515,6.63,35,N/A,2022,2.0,2,5,30,60,14,N/A,N/A
"Monstrosity, The Card Game",5.515,7.29,33,N/A,2022,1.0,2,5,30,45,14,N/A,N/A
