Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Chronicles of Crime: 2400,6.239,7.64,1485,29.99,2021,2.14,1,4,60,90,12,Thematic,N/A
Key Flow,6.239,7.3,1526,69.79,2018,2.89,2,6,45,75,14,Strategy,N/A
1860: Railways on the Isle of Wight,6.239,7.85,1015,N/A,2004,4.12,2,4,180,240,14,Strategy,N/A
Wars of the Roses: Lancaster vs. York,6.239,7.35,1530,N/A,2010,3.19,2,4,180,180,13,Strategy,N/A
Steampunk Rally Fusion,6.239,7.34,1546,203.69,2021,2.8,2,8,45,60,14,Strategy,N/A
Nautilion,6.238,7.21,1790,N/A,2016,1.87,1,2,30,30,10,Strategy,N/A
Power Struggle,6.238,6.96,2339,96.48,2009,3.37,3,5,105,105,12,Strategy,N/A
LYNGK,6.238,7.58,1271,29.5,2017,2.76,2,2,30,60,13,Abstract,N/A
Savannah Park,6.238,7.05,2091,34.04,2021,1.75,1,4,20,40,8,Family,N/A
Tiny Epic Pirates,6.238,7.02,2464,N/A,2021,2.86,1,4,30,60,14,Strategy,N/A
"Artifacts, Inc.",6.237,6.74,3378,N/A,2014,2.15,2,4,60,60,13,Strategy,N/A
Carrom,6.237,7.1,1963,N/A,N/A,1.46,2,4,60,60,6,Family,N/A
Joraku,6.236,7.17,1778,30.0,2015,2.15,3,4,30,60,12,Strategy,N/A
Ostia,6.235,7.93,989,N/A,2022,3.03,1,4,100,120,14,Strategy,N/A
The King Is Dead,6.235,7.1,1940,24.95,2015,2.45,2,4,30,50,12,Strategy,N/A
Fast Sloths,6.235,7.12,1840,N/A,2019,2.16,2,5,45,45,8,Family,N/A
Rush M.D.,6.234,7.42,1474,29.99,2020,2.37,1,4,30,45,14,Family,N/A
Gulo Gulo,6.234,6.83,2840,N/A,2003,1.08,2,6,15,20,5,Children's,N/A
The Red Dragon Inn,6.234,6.54,9078,33.78,2007,1.66,2,4,45,45,13,Party,Thematic
On the Underground,6.234,6.89,2544,N/A,2006,2.44,2,5,60,60,7,Strategy,N/A
Switch & Signal,6.234,7.12,1889,49.97,2020,2.1,2,4,45,45,10,Family,Strategy
Dice Throne: Season One ReRolled – Barbarian v. Moon Elf,6.233,7.57,1302,20.99,2021,1.94,2,2,20,40,8,Family,N/A
Unlock! Kids: Detective Stories,6.233,7.7,1109,N/A,2021,1.47,1,4,20,60,6,Children's,N/A
Dorfromantik: Sakura,6.233,8.1,937,N/A,2024,1.96,1,6,30,90,10,N/A,N/A
51st State,6.233,6.79,3067,9.95,2010,3.1,2,4,40,90,10,Strategy,N/A
Wooden Ships & Iron Men,6.233,7.08,2145,N/A,1974,3.09,2,2,60,300,12,Wargames,N/A
Adventure Tactics: Domianne's Tower,6.233,7.77,1164,N/A,2021,2.56,1,5,45,90,10,Family,N/A
Unlock!: Mystery Adventures – The House on the Hill,6.233,6.97,2194,25.99,2017,1.76,1,6,60,60,10,Family,Thematic
Labyrinth,6.232,6.41,15114,28.0,1986,1.34,2,4,20,20,8,Family,N/A
Niagara,6.232,6.46,8943,N/A,2004,1.84,3,5,30,45,8,Family,N/A
Mordheim: City of the Damned,6.232,7.35,1734,N/A,1999,3.09,2,6,60,60,10,Thematic,Wargames
Treasure Hunter,6.232,6.76,3299,N/A,2015,1.89,2,6,40,40,8,Family,N/A
Time Bomb,6.232,7.15,2010,N/A,2016,1.08,4,8,1,30,10,Party,N/A
Capital Lux,6.232,6.97,2293,N/A,2016,1.97,2,4,30,30,10,Family,N/A
Talisman: Revised 4th Edition,6.231,6.5,15944,N/A,2007,2.17,2,6,90,90,13,Thematic,N/A
Trailblazers,6.23,7.04,2094,54.0,2023,1.79,1,8,30,30,8,Family,N/A
Samurai Spirit,6.23,6.59,5010,N/A,2014,2.13,1,7,20,45,10,Strategy,N/A
The Expanse Board Game,6.23,7.16,1799,228.99,2017,2.81,2,4,60,60,14,Strategy,N/A
Last Aurora,6.23,7.28,1831,47.73,2020,2.81,1,4,60,90,14,Thematic,N/A
Pandemic: Hot Zone – North America,6.229,6.96,2442,7.99,2020,1.85,2,4,30,30,8,Family,N/A
Babel,6.229,6.64,4140,N/A,2000,2.41,2,2,45,60,12,Strategy,N/A
Tinners' Trail (second edition),6.229,7.1,1913,N/A,2021,2.85,1,5,60,90,14,Strategy,N/A
Nyet!,6.228,6.78,2903,N/A,1997,1.9,2,5,60,60,10,Strategy,N/A
Belratti,6.228,7.04,2006,11.03,2018,1.06,3,7,25,25,8,Party,N/A
Felicity: The Cat in the Sack,6.228,6.57,5102,N/A,2007,1.4,3,5,20,20,8,Family,N/A
Reykholt,6.227,6.69,3840,39.99,2018,2.16,1,4,30,60,12,Strategy,N/A
Battle Cry: 150th Civil War Anniversary Edition,6.227,7.65,1270,N/A,2010,2.07,2,2,45,45,12,Wargames,N/A
My First Carcassonne,6.227,6.65,4658,32.19,2009,1.13,2,4,10,20,4,Children's,N/A
Petrichor,6.227,6.89,2627,48.77,2018,3.03,1,4,20,80,14,Strategy,N/A
Ganymede,6.227,7.12,1984,34.95,2018,2.24,2,4,20,40,14,Strategy,N/A
Puzzle Strike: Third Edition,6.226,7.17,1876,126.0,2012,2.72,2,4,20,20,10,Strategy,N/A
Duplik,6.226,6.97,2356,N/A,2005,1.21,3,10,45,45,12,Party,N/A
Corinth,6.226,6.74,3367,33.99,2019,1.68,2,4,20,30,8,Family,N/A
Rise of Empires,6.226,7.01,2100,55.95,2009,3.54,2,5,150,150,12,Strategy,N/A
Legendary Encounters: A Firefly Deck Building Game,6.226,7.08,2020,N/A,2016,2.55,1,5,45,90,14,Thematic,N/A
"Colonial Twilight: The French-Algerian War, 1954-62",6.226,7.64,1214,79.95,2017,3.89,1,2,90,300,12,Wargames,N/A
Village Rails,6.225,7.25,1603,N/A,2022,2.17,2,4,45,45,14,Family,Strategy
Smash Up: The Obligatory Cthulhu Set,6.225,6.74,3636,N/A,2013,2.17,2,2,30,45,12,Strategy,N/A
Time's Up! Edición Azul,6.225,7.37,1404,N/A,2006,1.22,4,12,45,45,12,Party,N/A
Fjords,6.225,6.75,3232,N/A,2005,1.72,1,2,30,30,8,Family,N/A
Kronologic: Paris 1920,6.225,7.53,1308,27.99,2024,2.13,1,4,30,30,10,Strategy,N/A
Favor of the Pharaoh,6.225,6.78,3070,83.86,2015,2.01,2,4,45,45,13,Family,N/A
Bamboo,6.224,7.12,1945,27.97,2023,2.9,2,4,90,110,14,Strategy,N/A
Dice Throne: Season Two – Tactician v. Huntress,6.223,7.75,1158,28.46,2018,2.4,2,2,20,40,8,Family,N/A
PUSH,6.223,6.81,2867,N/A,2018,1.05,2,6,20,25,8,Family,Party
Chakra,6.223,6.86,2910,N/A,2019,1.74,1,4,30,30,8,Family,N/A
Leonardo da Vinci,6.222,6.72,3457,40.0,2006,3.18,2,5,90,90,12,Strategy,N/A
Strat-O-Matic Baseball,6.222,7.86,1239,73.99,1962,2.39,1,2,45,45,11,Strategy,Thematic
Timeline: Music & Cinema,6.222,6.72,3555,N/A,2013,1.09,2,8,15,15,8,Family,Party
Successors: The Battles for Alexander's Empire,6.221,7.55,1262,N/A,2008,3.3,3,4,60,300,12,Wargames,N/A
The Ancient World,6.221,6.96,2265,69.95,2014,2.72,2,4,90,90,13,Strategy,N/A
Explorers,6.22,7.14,1803,17.54,2021,1.87,1,4,20,20,8,Family,N/A
Nova Roma,6.22,7.71,1110,N/A,2024,3.25,1,4,60,120,14,N/A,N/A
Horrified: Greek Monsters,6.22,7.5,1377,18.89,2023,2.16,1,5,60,60,10,Family,Thematic
Hamster Roll,6.22,6.84,2590,39.99,2000,1.07,2,4,30,40,7,Family,N/A
Conservas,6.22,7.57,1295,N/A,2024,2.07,1,1,25,40,10,Family,N/A
Unconditional Surrender! World War 2 in Europe,6.22,8.0,1045,129.95,2014,3.79,2,4,60,3000,14,Wargames,N/A
Pax Transhumanity,6.22,7.5,1266,N/A,2019,4.43,1,4,60,150,12,Strategy,N/A
Euchre,6.219,6.85,2857,11.76,1848,1.69,2,7,45,45,8,Family,N/A
Unmatched: Brains and Brawn,6.219,8.29,860,N/A,2023,2.18,2,3,20,40,14,Strategy,N/A
The Great Heartland Hauling Co.,6.219,6.85,2626,N/A,2013,1.83,2,4,30,30,10,Family,Strategy
Abalone,6.219,6.48,8083,N/A,1987,2.16,2,2,30,30,7,Abstract,N/A
Dixit: Disney Edition,6.219,7.4,1496,39.99,2023,1.12,3,6,30,30,8,N/A,N/A
Machi Koro Legacy,6.218,6.88,2535,N/A,2019,1.87,2,4,30,45,10,Family,N/A
Undaunted: Battle of Britain,6.218,7.89,1039,37.68,2023,2.76,2,2,45,60,14,Wargames,N/A
Eleven: Football Manager Board Game,6.218,7.2,1781,33.75,2022,3.35,1,4,60,120,14,Thematic,N/A
The U.S. Civil War,6.218,8.32,902,N/A,2015,3.86,2,2,150,360,N/A,Wargames,N/A
Aliens: Another Glorious Day in the Corps,6.217,7.43,1768,60.0,2020,2.85,1,6,60,120,14,Thematic,N/A
Tsuro of the Seas,6.217,6.51,6858,39.99,2012,1.41,2,8,20,40,8,Family,N/A
A House Divided: War Between the States 1861-65,6.217,7.06,2043,N/A,1981,2.6,2,2,240,240,12,Wargames,N/A
Evo (Second Edition),6.217,6.94,2304,N/A,2011,2.36,2,5,60,60,14,Family,Strategy
Dice Throne: Season Two – Seraph v. Vampire Lord,6.217,7.79,1112,29.99,2018,2.22,2,2,20,40,8,Family,N/A
Flatiron,6.216,7.58,1207,29.99,2024,2.62,1,2,45,45,12,Strategy,N/A
Helvetia,6.216,6.98,2099,N/A,2011,3.05,2,4,90,90,12,Strategy,N/A
Funfair,6.216,7.38,1449,29.99,2021,2.13,2,4,30,60,14,Family,N/A
Trambahn,6.215,6.94,2272,N/A,2015,1.8,2,2,30,45,8,Family,N/A
The Russian Campaign,6.215,7.34,1612,N/A,1974,2.84,2,2,360,360,12,Wargames,N/A
Smash Up: Cease and Desist,6.215,7.43,1448,22.64,2016,2.29,2,2,45,45,12,Strategy,N/A
Bananagrams,6.215,6.41,12838,14.95,2006,1.29,1,8,15,15,7,Family,N/A
Picture Perfect,6.215,6.98,2149,31.49,2020,1.84,2,4,50,90,10,Family,N/A
