Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
HUTAN: Life in the Rainforest,5.81,6.98,609,N/A,2025,1.95,1,4,30,45,8,Family,N/A
India Rails,5.81,7.08,583,N/A,1998,2.61,2,6,180,180,12,Strategy,N/A
North Wind,5.81,6.44,1157,N/A,2014,1.95,2,4,60,60,10,Family,N/A
Panda Royale,5.809,7.35,475,N/A,2024,1.17,2,10,20,30,8,N/A,N/A
Cthulhu Fluxx,5.809,6.1,3589,19.95,2012,1.44,2,6,10,40,13,Party,N/A
Advanced Third Reich,5.809,6.91,791,N/A,1992,4.51,1,6,180,1200,18,Wargames,N/A
Asia Engulfed,5.809,7.53,437,N/A,2007,3.8,2,2,480,480,12,Wargames,N/A
Ur,5.809,6.48,1033,N/A,2006,3.05,3,4,45,45,10,Abstract,Strategy
Techno Bowl: Arcade Football Unplugged,5.809,8.48,313,N/A,2017,2.8,2,2,45,90,14,N/A,N/A
Sheep & Thief,5.809,6.61,874,N/A,2014,1.67,2,4,30,30,10,Family,N/A
Munchkin Apocalypse,5.809,6.4,1695,N/A,2012,2.09,3,6,90,90,10,Party,N/A
Godtear,5.809,7.91,446,N/A,2019,2.82,2,8,60,120,14,Strategy,Wargames
The Faceless,5.808,6.67,1060,N/A,2018,2.29,2,4,30,45,14,N/A,N/A
Hex,5.808,6.73,904,N/A,1942,3.05,2,2,20,20,8,Abstract,N/A
Hearts and Minds: Vietnam 1965-1975 (Third Edition),5.808,7.99,339,N/A,2019,2.96,1,2,45,360,15,Wargames,N/A
Origami,5.808,6.59,927,N/A,2017,1.72,2,4,15,30,8,N/A,N/A
Catherine: The Cities of the Tsarina,5.808,6.59,839,29.98,2022,2.22,2,4,30,45,8,Strategy,N/A
Friese's Landlord,5.808,6.48,1108,N/A,2013,1.79,2,6,40,40,12,Family,Thematic
Kodachi,5.808,7.31,487,N/A,2019,1.81,2,4,45,45,14,Family,N/A
Crescent Moon,5.808,7.11,569,N/A,2022,3.74,4,5,150,180,14,Strategy,Wargames
Push It,5.808,7.13,512,N/A,2015,1.06,2,4,10,10,7,Family,Party
Mechanica,5.808,6.7,898,37.98,2020,2.33,1,4,45,75,12,Family,N/A
