Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Les Aigles,5.514,6.53,33,N/A,1990,3.5,2,6,180,360,12,Wargames,N/A
Quint-X,5.514,6.48,32,N/A,2007,1.25,2,2,15,15,8,Abstract,N/A
Villageo,5.514,6.63,35,N/A,2020,1.0,1,1,N/A,N/A,8,N/A,N/A
Rattenkrieg: Assault on the Tracktor Factory,5.514,5.89,117,N/A,2010,1.29,1,1,20,20,13,Wargames,N/A
Tractics,5.514,6.52,48,N/A,1971,4.09,2,2,90,90,12,Wargames,N/A
Italian Checkers,5.514,6.09,74,N/A,1400,1.71,2,2,30,30,5,Abstract,N/A
The Cat,5.514,5.98,93,N/A,2018,1.0,2,4,20,20,8,N/A,N/A
Bluff,5.514,6.41,37,N/A,1963,0.0,3,N/A,N/A,N/A,N/A,N/A,N/A
Nowheresville: Bandit Paradise,5.514,6.26,60,N/A,2013,2.0,2,5,60,60,10,N/A,N/A
Orbital Conflict,5.514,6.9,47,N/A,2019,3.0,2,4,30,60,12,N/A,N/A
Schnapp den Sack,5.514,5.9,91,N/A,2016,1.0,2,5,15,15,8,N/A,N/A
Dungeon Digger,5.514,6.41,58,N/A,2017,2.0,2,6,40,60,12,N/A,N/A
Hecht im Karpfenteich,5.514,6.14,55,N/A,1990,2.0,2,6,60,60,12,N/A,N/A
We Come in Peace,5.514,6.08,85,N/A,2016,1.0,2,6,15,25,8,N/A,N/A
The Muddles,5.514,6.45,43,N/A,2020,1.0,2,4,20,25,6,N/A,N/A
Tipsy,5.514,6.36,52,N/A,2019,1.2,2,2,N/A,N/A,8,N/A,N/A
Mastergoal,5.514,6.8,35,N/A,1992,2.75,2,2,30,30,9,N/A,N/A
2nd Best!,5.514,6.56,33,N/A,2019,1.5,2,2,3,15,5,N/A,N/A
Gladiatoris,5.514,9.25,32,N/A,N/A,2.8,1,6,30,180,12,Strategy,Wargames
Ask Anything,5.514,6.72,38,N/A,2013,1.0,2,10,20,20,8,N/A,N/A
Epic Trading Card Game,5.514,6.24,47,N/A,2009,3.0,2,6,20,20,13,Customizable,N/A
Petróleo S.A.,5.514,6.36,40,N/A,2010,2.0,2,4,60,60,7,N/A,N/A
Dungeons & Dragons: Builders of Baldur's Gate,5.514,6.65,31,N/A,2025,2.5,2,4,90,90,14,N/A,N/A
Frigate: Sea War in the Age of Sail,5.514,5.96,118,N/A,1974,3.0,2,2,120,120,12,Wargames,N/A
Flizz & Miez,5.514,5.84,97,N/A,2014,1.0,2,4,15,15,5,Children's,N/A
Goal!,5.514,5.68,237,N/A,1960,1.07,2,4,30,30,7,N/A,N/A
Star Cruiser,5.514,6.27,52,N/A,1987,2.75,2,2,120,120,12,Wargames,N/A
Fladderadatsch,5.514,6.62,34,N/A,2008,1.0,2,5,20,20,5,N/A,N/A
Bushwhackin' Varmints out of Sergio's Butte,5.514,5.86,90,N/A,2007,1.33,2,6,20,20,13,Thematic,N/A
Politiko (2nd Ed),5.514,6.66,35,N/A,2013,0.0,3,6,45,45,14,N/A,N/A
Memory: The Board Game,5.514,6.3,39,N/A,2016,1.0,2,4,30,50,7,Family,N/A
Darwinci,5.514,5.77,125,N/A,2009,2.38,3,5,60,60,9,N/A,N/A
Explosiv,5.514,5.92,74,N/A,1999,1.75,2,4,20,20,12,N/A,N/A
The Official Dealer McDope Dealing Game,5.514,7.23,52,N/A,1971,2.0,2,5,90,90,N/A,N/A,N/A
Silver Coin: Age of Monster Hunters,5.514,8.14,38,N/A,2026,4.0,1,5,60,240,14,N/A,N/A
