Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Age of Gods,5.668,6.28,753,N/A,2004,2.3,3,5,90,90,12,Strategy,Thematic
STAR TREK: Star Realms Core Set,5.668,7.38,238,29.98,2024,1.75,2,4,20,20,14,N/A,N/A
New Haven,5.668,6.47,483,19.55,2013,2.06,2,4,60,60,12,Family,Strategy
1825 Unit 1,5.668,6.83,309,N/A,1995,3.56,2,5,180,180,14,Strategy,N/A
Ace of Aces: Flying Machines,5.668,6.97,310,N/A,1983,1.72,2,2,20,20,12,Wargames,N/A
Rebel Princess: 2nd Edition,5.668,7.54,213,N/A,2024,1.75,3,6,45,45,10,N/A,N/A
Имаджинариум (Imaginarium),5.668,6.39,816,N/A,2011,1.07,4,7,30,30,16,Party,N/A
Bunny Bunny Moose Moose,5.668,6.04,1061,N/A,2009,1.53,3,6,20,20,9,Party,N/A
Guardians,5.668,7.15,304,12.0,2018,2.1,2,4,30,45,13,Thematic,N/A
The Battle of the Bulge,5.668,6.63,424,N/A,1981,2.88,2,2,120,120,12,Wargames,N/A
"Barbarossa: Army Group North, 1941",5.668,7.97,178,N/A,2000,4.15,1,4,300,300,12,Wargames,N/A
Bowling Solitaire,5.668,6.68,377,N/A,1969,1.55,1,1,30,30,8,Abstract,Family
Kathmandu,5.668,7.16,268,N/A,2024,2.3,2,4,60,75,12,N/A,N/A
Hemloch,5.668,6.78,337,N/A,2011,2.0,2,2,30,30,N/A,Strategy,Thematic
Walking in Provence,5.667,6.86,343,N/A,2019,1.8,2,5,20,30,8,N/A,N/A
A Touch of Evil: Dark Gothic – Colonial Horror,5.667,7.43,226,N/A,2015,2.0,2,3,60,60,12,N/A,N/A
Ladder 29,5.667,6.72,348,N/A,2017,1.4,2,5,30,45,10,N/A,N/A
Jurassic Parts,5.667,6.56,433,N/A,2020,2.0,2,5,20,45,14,N/A,N/A
Ur: 1830 BC,5.667,6.85,308,N/A,2001,3.86,3,6,180,180,14,Strategy,N/A
How to Save a World,5.667,7.71,205,49.0,2025,3.25,1,4,60,90,14,N/A,N/A
Monkeys on the Moon,5.667,6.18,761,N/A,2002,2.12,2,4,60,60,10,Family,N/A
No Retreat! Italian Front: 1943-45,5.667,7.38,237,N/A,2015,3.88,2,3,180,780,14,Wargames,N/A
Kami-sama,5.667,6.67,432,49.05,2018,2.68,2,4,60,90,14,Family,N/A
Aliens: This Time It's War,5.667,7.51,213,N/A,2010,1.84,2,2,45,45,18,Thematic,N/A
Princess Jing,5.667,6.33,647,22.13,2018,1.13,2,2,15,30,8,N/A,N/A
Château Aventure,5.667,7.18,252,N/A,2018,1.0,2,10,30,30,10,N/A,N/A
Pentaquark,5.667,6.51,490,N/A,2016,2.33,1,1,15,30,12,N/A,N/A
Dicetopia,5.667,6.48,530,N/A,2018,1.86,2,4,20,30,14,Strategy,N/A
Visitor in Blackwood Grove,5.667,6.15,826,N/A,2018,1.44,3,6,5,15,8,N/A,N/A
Dice Conquest,5.667,6.93,336,22.1,2022,1.42,1,4,30,30,10,N/A,N/A
Mechwarrior: Dark Age,5.667,6.31,759,N/A,2002,2.71,2,10,60,60,10,Customizable,N/A
Wrath of Dragons,5.667,6.94,325,N/A,2015,2.8,2,6,60,90,13,Strategy,Thematic
