Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Blacksmiths of Steinnheimr,5.53,7.81,51,N/A,2023,2.0,2,4,30,60,14,N/A,N/A
HOPE,5.53,6.05,223,N/A,2018,2.71,2,4,45,60,12,N/A,N/A
Etherium,5.53,8.7,48,N/A,2025,2.67,2,4,45,60,13,N/A,N/A
Topp die Torte!,5.53,7.09,51,N/A,2024,1.33,2,4,20,20,6,N/A,N/A
Bermuda Triangle,5.53,5.66,920,N/A,1975,1.22,2,4,30,30,8,Children's,Family
UNO Rummy-Up,5.53,6.0,162,N/A,1993,1.39,2,4,60,60,7,Family,N/A
Neopets Battledome Trading Card Game,5.53,8.68,50,N/A,2024,2.25,2,2,15,45,6,N/A,N/A
Snooker Solitaire,5.53,7.31,43,N/A,2016,1.67,1,1,15,60,8,N/A,N/A
Tunisie 1943,5.53,7.04,46,N/A,1995,2.5,2,2,180,300,12,Wargames,N/A
Seismic,5.53,5.8,274,N/A,2006,1.6,2,4,45,45,10,Family,Strategy
Carla Caramel,5.53,6.46,95,N/A,2022,1.0,1,6,10,25,4,N/A,N/A
Clash of Decks: Elusive,5.53,7.54,39,N/A,2022,2.0,1,2,30,8,15,N/A,N/A
Blokus Shuffle: UNO Edition,5.53,6.48,86,N/A,2021,1.0,2,4,30,45,7,N/A,N/A
Mäuse-Rallye,5.53,6.66,66,N/A,2001,1.0,2,4,20,20,5,Children's,N/A
Ecologies: Hidden Habitats,5.53,7.55,42,N/A,2021,2.0,1,6,60,90,8,N/A,N/A
Carrier Battlegroup: Solitaire,5.53,6.9,52,N/A,2014,2.33,1,1,90,180,N/A,Wargames,N/A
Rommel in North Africa: The War in the Desert 1941-42,5.53,6.77,61,N/A,1986,3.3,2,2,90,720,12,Wargames,N/A
Wömmeln,5.53,6.44,81,N/A,2023,1.2,1,8,20,20,10,N/A,N/A
Midgard: The Card Game,5.53,7.06,62,N/A,2013,2.57,2,6,90,90,8,N/A,N/A
Taurus,5.53,7.69,32,N/A,2008,2.5,2,4,45,45,N/A,Abstract,N/A
Baruka,5.53,7.59,39,N/A,2023,2.0,2,4,45,90,8,N/A,N/A
Universal Fighting System: Street Fighter,5.53,6.35,109,N/A,2006,2.61,2,6,30,30,10,Customizable,N/A
Dungeon Duel,5.53,7.36,46,N/A,2018,2.33,2,2,20,40,10,N/A,N/A
iKNOW: Amazing Earth,5.53,6.89,51,N/A,2014,0.0,2,4,30,30,15,N/A,N/A
Mazescape XP: Cryo-C,5.53,6.54,87,N/A,2022,2.0,1,1,15,15,8,N/A,N/A
Tchin Tchin,5.53,5.93,192,N/A,2006,1.27,4,8,15,15,12,Party,N/A
"No Prisoners: The Campaigns of Lawrence of Arabia, 1915-1918",5.53,6.89,59,N/A,2006,2.75,2,2,180,180,N/A,Wargames,N/A
Polyssimo Challenge,5.53,6.89,62,N/A,2018,1.0,2,4,10,30,7,Abstract,N/A
Pet Evil,5.53,7.63,56,N/A,2020,2.0,2,6,30,30,8,N/A,N/A
Target: Iran,5.53,6.9,54,N/A,2014,2.4,1,1,N/A,N/A,N/A,Wargames,N/A
Blurble,5.53,6.03,157,N/A,2013,1.25,2,12,30,30,6,N/A,N/A
Pin Pon!,5.53,7.33,36,N/A,2021,1.0,2,4,15,15,3,N/A,N/A
Tolomeo,5.53,6.93,60,N/A,2017,2.0,2,5,30,60,8,N/A,N/A
Poland '39: The Nightmare Begins,5.53,6.54,79,N/A,1992,2.5,2,2,360,360,12,Wargames,N/A
Tacticum,5.53,7.44,42,N/A,2020,2.0,2,2,20,20,8,Abstract,N/A
Basic Impetus,5.53,7.05,51,N/A,2006,2.2,2,2,60,60,N/A,Wargames,N/A
Vs System 2PCG: Monsters Unleashed!,5.53,7.84,36,N/A,2017,2.0,2,4,20,60,12,N/A,N/A
Veggie Garden,5.53,5.71,639,N/A,2017,1.23,2,4,20,30,12,N/A,N/A
Ram Speed: Naval Warfare in the Bronze Age,5.53,6.06,113,N/A,1980,1.94,2,2,90,90,11,Wargames,N/A
Stir Fry Eighteen,5.53,6.04,332,N/A,2015,1.21,2,5,5,12,6,N/A,N/A
Bharata 600 BC,5.53,7.62,84,N/A,2020,2.6,2,8,30,90,14,N/A,N/A
Ricochet Poker,5.53,6.92,49,N/A,2018,1.5,2,8,10,10,12,N/A,N/A
Jazz: The Singing Card Game,5.53,6.26,108,N/A,2013,1.0,1,10,10,10,8,N/A,N/A
The Lost World Jurassic Park Game,5.53,6.01,227,N/A,1996,1.56,2,4,90,90,8,N/A,N/A
CribbGolf,5.53,6.23,111,N/A,1988,1.63,2,6,60,60,12,N/A,N/A
The American Revolution 1775-1783,5.53,6.3,85,N/A,1972,2.36,2,2,180,180,12,Wargames,N/A
Kilim,5.53,6.9,66,N/A,2021,1.8,2,5,30,30,8,N/A,N/A
The Battle of the Alma,5.53,6.38,83,N/A,1978,2.27,2,2,120,120,12,Wargames,N/A
Stadt Land Vollpfosten: Classic Edition,5.53,5.81,224,N/A,2016,1.27,2,10,N/A,N/A,12,N/A,N/A
Wordsmith,5.53,6.23,119,N/A,2019,1.0,1,4,20,30,10,N/A,N/A
Tinker Tailor,5.53,6.35,110,N/A,2015,2.0,2,6,45,60,8,N/A,N/A
A game about Cute Comical Creatures and trying to identify them after someone makes noises.,5.53,7.64,33,N/A,2022,1.0,4,8,5,15,6,N/A,N/A
Mike Force,5.53,7.3,40,N/A,2018,2.5,1,1,N/A,N/A,N/A,Wargames,N/A
Potions Class,5.53,6.1,126,N/A,2018,1.0,2,2,10,15,6,N/A,N/A
Belladone Bluff,5.53,6.4,97,N/A,2023,1.0,2,4,15,30,8,N/A,N/A
Blitzkrieg General,5.53,6.27,106,N/A,1999,2.47,1,8,120,720,10,Wargames,N/A
Capybara Cookie Club,5.53,6.51,84,N/A,2024,1.33,2,5,30,30,8,N/A,N/A
Zarcana,5.53,6.69,52,N/A,1996,2.82,2,4,45,45,12,Abstract,N/A
Liebrary,5.53,6.23,129,N/A,2005,1.43,3,6,60,60,12,N/A,N/A
Tournament of Towers,5.53,6.82,71,N/A,2018,1.5,2,4,20,20,5,N/A,N/A
Operation Squad: World War Two,5.53,7.94,31,N/A,2011,2.17,2,2,90,90,12,Wargames,N/A
Wembley,5.53,6.13,134,N/A,1952,1.25,3,8,60,60,12,N/A,N/A
Shako: Rules and Army Lists for Napoleonic Wargaming,5.53,7.16,49,N/A,1995,3.17,2,8,180,240,12,Wargames,N/A
Warumono 2,5.53,6.29,98,N/A,2005,1.46,3,4,30,30,12,N/A,N/A
Dwarf King's Hold: Green Menace,5.53,6.96,50,N/A,2011,2.0,2,2,45,45,10,N/A,N/A
Der Schatz von Castellina,5.53,6.31,79,N/A,2013,1.0,2,4,15,15,5,N/A,N/A
Kingless,5.53,7.39,60,N/A,2020,2.0,2,6,10,30,14,N/A,N/A
Grand Fleet,5.53,7.13,54,N/A,2010,2.38,2,2,120,240,12,Wargames,N/A
Jours de gloire Campagne III: Les Campagnes de France 1792/1814,5.53,7.23,46,N/A,2003,2.62,1,2,120,120,12,Wargames,N/A
Geek Out!,5.53,5.66,1005,30.49,2013,1.22,2,99,30,30,10,Party,N/A
7: The Sins,5.53,6.29,116,N/A,2019,1.86,2,5,10,15,14,N/A,N/A
Chain Reaction 3.0,5.53,7.58,36,N/A,2009,3.0,1,4,120,120,12,Wargames,N/A
Goodwill,5.53,6.86,64,N/A,2017,3.25,2,6,45,90,12,N/A,N/A
I'm the Boss!: The Card Game,5.53,5.89,196,N/A,2012,1.75,3,6,45,45,9,N/A,N/A
Task Force: Carrier Battles in the Pacific,5.53,7.45,37,N/A,1982,2.09,2,2,360,360,12,Wargames,N/A
"Bastogne: The Desperate Defense, December 1944",5.53,6.41,87,N/A,1976,2.13,2,2,120,120,12,Wargames,N/A
Africa Orientale,5.53,6.37,108,N/A,1989,3.18,2,2,120,120,12,Wargames,N/A
Labyrinx,5.53,7.45,45,N/A,2017,1.25,2,6,20,60,12,N/A,N/A
Penk!,5.53,5.97,152,N/A,2018,1.0,2,4,15,20,8,N/A,N/A
Fabula,5.53,5.76,354,N/A,2010,1.48,3,8,30,30,8,Party,N/A
Marvel Battlegrounds,5.53,7.58,36,N/A,2020,2.25,2,5,90,150,14,N/A,N/A
Outlaws: Last Man Standing,5.53,5.9,276,N/A,2018,1.89,2,2,15,20,10,N/A,N/A
Dwarves Inc.,5.53,6.89,56,N/A,2015,2.0,3,6,60,60,8,N/A,N/A
"Yeoman: Tactical Warfare in the Renaissance Age, 1250-1550",5.53,6.52,77,N/A,1975,2.14,2,2,90,90,12,Wargames,N/A
Zicke Zacke: Finde die Verstecke hinter Zaun und Hecke,5.53,6.39,134,N/A,2011,1.08,2,5,15,15,4,Children's,N/A
Go Go Eskimo,5.53,6.22,96,N/A,2018,1.0,2,6,40,40,7,Children's,N/A
Waterloo: Quelle Affaire!,5.53,7.52,43,N/A,2015,2.0,2,2,30,120,12,Wargames,N/A
A Sheer Butchery: Solferino 1859,5.53,7.31,40,N/A,2019,2.88,2,2,180,300,N/A,Wargames,N/A
Gingham,5.53,7.54,31,N/A,2025,2.0,2,4,20,40,12,N/A,N/A
The Pacific War: From Pearl Harbor to the Philippines,5.53,7.35,43,N/A,2016,3.25,2,2,90,120,12,Wargames,N/A
Tribe,5.53,6.31,98,N/A,2017,1.5,2,5,30,60,8,N/A,N/A
