Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
1840: Vienna Tramways,5.66,7.38,211,N/A,2020,3.67,2,6,180,240,12,Strategy,N/A
Fire!,5.66,6.4,496,N/A,2019,1.73,1,2,25,25,10,Family,N/A
BOG,5.66,7.56,191,N/A,2024,1.7,2,2,15,25,10,N/A,N/A
Hiroba,5.66,6.89,323,N/A,2022,1.86,2,4,15,25,10,Abstract,N/A
Exceed: Street Fighter – M. Bison Box,5.66,8.23,143,N/A,2019,2.33,2,2,15,25,10,N/A,N/A
Lucky's Misadventures: Episode 42 – Lost in Oddtopia,5.66,7.1,262,N/A,2018,2.5,2,4,45,60,10,Family,N/A
Brandywine,5.66,7.35,229,N/A,2000,2.67,2,2,240,240,12,Wargames,N/A
The Next War: Modern Conflict in Europe,5.66,7.41,232,N/A,1978,4.17,2,2,360,360,14,Wargames,N/A
Nyctophobia,5.66,6.04,1016,N/A,2018,1.75,3,5,30,45,9,Family,N/A
Lifeform,5.66,7.17,281,N/A,2019,3.07,2,4,60,60,10,Thematic,N/A
Canvas Eagles: War in the Skies 1914 - 1918,5.66,7.77,197,N/A,1999,2.44,2,20,45,45,12,Wargames,N/A
Brigade Fire and Fury: Wargaming the Civil War with Miniatures,5.66,7.66,189,N/A,1990,3.08,2,12,180,180,12,Wargames,N/A
Dystopian Wars: Core Rulebook,5.659,7.27,234,N/A,2010,3.16,2,4,120,240,12,Wargames,N/A
Sherlock,5.659,6.24,650,N/A,1999,1.09,2,5,20,20,5,Children's,Family
Le Donjon de Naheulbeuk,5.659,6.67,397,N/A,2010,1.75,3,6,60,60,10,Party,Thematic
Super Scrabble,5.659,6.38,620,106.0,2004,2.1,2,4,60,60,8,Family,N/A
Ace of Spades,5.659,7.11,332,N/A,2025,2.17,1,2,40,45,14,N/A,N/A
Astra Titanus: Starfleets vs. Planetbusters!,5.659,7.17,250,N/A,2010,2.11,1,1,45,45,13,Wargames,N/A
Rummikub Twist,5.659,7.33,248,N/A,2016,2.11,2,4,20,45,8,Family,N/A
