Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Conquest of Planet Earth: The Space Alien Game,6.074,6.86,1728,64.99,2010,2.23,1,4,30,90,12,Thematic,N/A
"Gandhi: The Decolonization of British India, 1917 – 1947",6.073,7.91,744,129.95,2019,4.2,1,4,90,240,14,Wargames,N/A
Books of Time,6.073,7.15,1204,48.12,2023,2.58,1,4,45,60,14,Strategy,N/A
Flying Colors,6.072,7.6,947,N/A,2003,3.03,1,4,240,240,12,Wargames,N/A
Wonder Book,6.072,7.61,920,60.87,2021,2.05,1,4,60,90,10,Family,N/A
Risk: The Lord of the Rings Trilogy Edition,6.072,6.56,4029,103.79,2003,2.36,2,4,180,180,9,Thematic,Wargames
Oh Hell!,6.072,6.89,1639,N/A,1930,1.73,3,7,30,30,10,Family,N/A
Skytear Horde,6.072,7.44,1052,N/A,2023,2.6,1,3,30,30,10,N/A,N/A
Scattergories,6.071,6.29,11100,27.58,1988,1.36,2,6,30,30,12,Party,N/A
Legendary Encounters: The X-Files Deck Building Game,6.071,7.66,876,54.57,2018,2.79,1,5,45,60,14,Thematic,N/A
Funkenschlag,6.071,7.55,921,N/A,2001,3.56,2,6,180,180,12,Strategy,N/A
SOS Titanic,6.071,6.75,1922,N/A,2013,1.66,1,5,30,30,8,Family,N/A
Safranito,6.071,6.9,1576,N/A,2010,1.73,2,4,30,45,10,Family,N/A
Krazy Wordz: Nicht 100% jugendfrei,6.071,7.28,1087,N/A,2016,1.07,3,7,45,45,16,Party,N/A
Asante,6.071,6.82,1719,N/A,2013,2.0,2,2,40,40,10,Family,Strategy
Durian,6.071,6.93,1599,22.99,2020,1.12,2,7,20,20,7,Party,N/A
Victorian Masterminds,6.071,6.84,1835,49.99,2019,2.13,2,4,45,60,14,Family,Strategy
My Gold Mine,6.071,6.95,1513,N/A,2021,1.09,2,6,25,25,7,Family,N/A
Assyria,6.07,6.8,1828,50.0,2009,2.99,2,4,45,90,12,Strategy,N/A
Overbooked,6.07,7.0,1488,N/A,2018,1.97,1,4,20,40,8,Family,N/A
New Amsterdam,6.07,7.02,1365,N/A,2012,3.22,2,5,90,90,12,Strategy,N/A
Thunderstone Advance: Worlds Collide,6.07,7.7,821,N/A,2014,2.8,1,5,60,60,12,Strategy,Thematic
Mindbug: Beyond Eternity,6.069,8.08,657,N/A,2023,2.22,2,2,15,25,8,Strategy,N/A
The Napoleonic Wars (Second Edition),6.069,7.46,979,N/A,2008,3.38,1,5,240,240,N/A,Wargames,N/A
First Contact,6.069,6.94,1515,29.99,2018,2.0,2,7,15,40,12,Party,N/A
Alien Artifacts,6.068,6.54,2902,16.17,2017,2.89,2,5,60,60,10,Strategy,N/A
Colt Super Express,6.068,6.79,1862,N/A,2020,1.09,3,7,15,20,7,Family,N/A
R-Eco,6.068,6.62,2327,N/A,2003,1.48,2,5,30,30,10,Family,N/A
Tulip Bubble,6.067,7.08,1349,32.0,2015,2.44,3,5,50,70,15,Strategy,N/A
