Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Activity professional!,5.499,5.47,50,N/A,1992,1.33,3,16,45,45,12,N/A,N/A
Chutes Away!!!!!,5.499,5.53,49,N/A,1977,1.2,2,4,20,20,4,Children's,N/A
Battle Penguins,5.499,5.5,39,N/A,2018,1.0,2,6,15,15,8,N/A,N/A
Spy Code: Break Free,5.499,5.46,36,N/A,2017,1.0,2,4,15,15,6,N/A,N/A
Kérdezz ! Felelek,5.499,5.53,38,N/A,1992,2.5,3,6,90,90,12,N/A,N/A
Puls,5.499,5.33,35,N/A,1999,1.0,3,6,20,20,10,N/A,N/A
"Bastogne ...and the Battle of the Ardennes December, 1944",5.499,5.7,35,N/A,1969,2.6,2,2,N/A,N/A,12,Wargames,N/A
Dice Stack,5.499,5.67,32,N/A,2017,1.0,2,6,15,15,7,N/A,N/A
Letres,5.499,5.41,32,N/A,1998,1.33,1,4,20,20,7,N/A,N/A
KIX football card game,5.499,5.55,30,N/A,2016,1.0,2,2,10,15,8,N/A,N/A
Woods of Tarnaris: Path to Luslaria,5.499,6.03,31,N/A,2019,1.0,2,4,10,20,4,N/A,N/A
Rivals: Masters of the Deep,5.499,5.47,34,N/A,2015,2.0,2,4,60,120,8,N/A,N/A
Cowpoker,5.499,5.5,276,N/A,2006,1.52,2,4,30,30,10,N/A,N/A
Launch Pad,5.499,5.57,187,N/A,2010,1.38,2,4,30,60,10,N/A,N/A
Candidate,5.499,5.57,189,N/A,1991,1.94,2,6,90,90,10,Strategy,Thematic
Apocalypse Universe: Galactic Arena,5.499,6.19,57,N/A,2014,1.29,2,6,30,30,10,N/A,N/A
SET Mini Round,5.499,5.47,42,N/A,2014,2.0,1,8,20,20,8,N/A,N/A
The Lord of the Rings: Quest to Mount Doom,5.499,5.57,41,N/A,2018,2.0,2,5,30,45,8,N/A,N/A
Totally Dingbats,5.499,5.5,37,N/A,1990,1.67,2,6,N/A,N/A,10,N/A,N/A
Cloud Mine,5.499,5.56,33,N/A,2018,1.0,3,8,30,30,8,N/A,N/A
War with a Vengeance!: The V-1 Campaign June and July 1944,5.499,5.6,30,N/A,2011,2.14,1,1,60,60,N/A,Wargames,N/A
Mäuse Würfeln,5.499,5.51,49,N/A,2000,1.0,2,4,30,30,5,Children's,N/A
Frankenstein,5.499,5.6,52,N/A,2005,1.0,2,2,15,15,10,N/A,N/A
Kurz vor Knapp,5.499,5.6,44,N/A,2020,1.33,2,4,30,30,8,N/A,N/A
Lankhmar,5.499,5.53,43,N/A,1976,2.0,2,4,240,240,12,Wargames,N/A
Bounce-Off Rock 'N' Rollz!,5.499,5.52,64,N/A,2014,1.0,2,4,N/A,N/A,7,N/A,N/A
Party Scrabble,5.499,5.65,55,N/A,2004,2.0,2,4,N/A,N/A,8,N/A,N/A
Burger Slam,5.499,5.46,48,19.03,2024,1.0,2,5,20,20,8,N/A,N/A
Prime Wars,5.499,5.57,47,N/A,2013,1.11,2,4,20,20,N/A,N/A,N/A
Kakuro Challenge,5.499,5.51,54,N/A,2006,2.0,2,4,30,30,7,Abstract,N/A
Raise the Titanic,5.499,5.11,30,N/A,1987,1.0,2,4,30,30,8,N/A,N/A
Pigeons,5.499,5.68,30,N/A,2019,0.0,2,6,10,30,8,N/A,N/A
Intime Conviction n°2: L'Affaire du Passeur,5.499,5.38,39,N/A,2019,1.0,2,12,30,60,15,N/A,N/A
Politics as Usual,5.499,5.75,69,N/A,2005,1.64,2,6,60,60,12,N/A,N/A
Dumb Ways to Die,5.499,5.81,322,9.99,2023,1.14,2,5,10,30,12,N/A,N/A
Lokus,5.499,5.51,83,N/A,2012,1.67,3,5,30,30,10,N/A,N/A
Marble Bobsleigh,5.499,5.57,73,N/A,2018,1.0,2,4,10,20,6,N/A,N/A
Tortuga,5.499,5.5,68,N/A,2003,1.29,2,2,30,30,12,N/A,N/A
Blank White Dice,5.499,5.89,72,N/A,2016,1.5,2,4,30,30,14,N/A,N/A
Spingo,5.499,5.54,64,N/A,1980,1.33,2,8,20,20,8,N/A,N/A
Wurf & Weg,5.499,5.53,54,N/A,2019,1.0,2,6,10,10,8,N/A,N/A
Top Gun: Plot Twist Party Game,5.499,5.48,40,N/A,2017,1.0,3,5,30,30,14,N/A,N/A
Scooby-Doo! Mystery Mine,5.499,5.62,30,N/A,2013,1.5,2,5,20,20,5,N/A,N/A
Annapurna,5.499,6.05,59,N/A,2021,1.6,1,4,30,60,12,N/A,N/A
Taboo Quick Draw,5.499,5.58,43,N/A,2002,1.29,4,8,60,60,8,N/A,N/A
Movies Trivia Game,5.499,5.49,57,N/A,2013,1.0,2,99,30,120,12,N/A,N/A
Lost Explorers,5.499,5.58,403,25.56,2021,1.78,2,4,40,40,10,Family,Strategy
Clontarf,5.499,5.54,82,N/A,1993,2.0,2,2,180,180,12,Wargames,N/A
Nomadi,5.499,5.49,60,N/A,1995,1.5,2,5,60,60,10,N/A,N/A
Trailz,5.499,5.7,63,N/A,2019,1.33,2,2,N/A,N/A,7,N/A,N/A
Khrysos Hunters,5.499,5.72,49,N/A,2014,1.8,2,4,25,25,10,N/A,N/A
Wer ist der Täter?,5.499,5.67,41,N/A,1989,1.2,2,12,20,20,10,N/A,N/A
Musketeers,5.499,5.54,41,N/A,1985,1.75,1,3,60,60,12,N/A,N/A
Star Trek: Lower Decks – Buffer Time: The Card Game,5.499,5.74,44,N/A,2024,1.5,2,6,20,40,14,N/A,N/A
100% Beef Showdown,5.499,5.46,40,N/A,2018,1.0,2,4,20,30,14,N/A,N/A
