Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Chemical Overload,5.584,6.89,178,N/A,2025,2.4,1,4,45,75,13,N/A,N/A
Stinker,5.584,6.92,152,N/A,2015,1.33,3,6,15,15,8,N/A,N/A
"Warhammer 40,000: Codex",5.584,7.04,135,N/A,1994,3.4,2,2,120,120,10,Wargames,N/A
Guderian's Blitzkrieg: The Drive on Moscow,5.584,7.05,153,N/A,1992,3.87,2,2,360,360,12,Wargames,N/A
Stuka Leader,5.584,8.2,99,N/A,2023,3.25,1,1,45,120,N/A,Wargames,N/A
Trötofant,5.584,6.84,151,N/A,2005,1.0,2,4,10,10,5,Children's,Family
18West,5.584,7.23,116,N/A,2007,4.0,2,6,360,360,14,Strategy,N/A
Yikerz!,5.584,6.16,400,N/A,2009,1.24,1,4,15,15,14,Family,N/A
Der Fliegende Holländer,5.584,6.09,361,N/A,1992,2.48,3,6,60,60,12,Family,Strategy
Hissy Fit,5.584,7.15,136,N/A,2024,1.8,1,4,20,20,8,N/A,N/A
Malhya: Lands of Legends,5.584,8.99,170,N/A,2025,3.25,1,5,60,180,14,Thematic,N/A
The Stuff of Legend,5.584,7.01,160,N/A,2023,3.0,3,6,60,120,12,N/A,N/A
RuneScape Kingdoms: Shadow of Elvarg,5.584,7.45,147,N/A,2024,2.23,1,5,60,90,14,N/A,N/A
Gato Leader,5.584,7.27,137,N/A,2016,2.67,1,1,60,60,12,Wargames,N/A
Dice Age: The Hunt,5.584,6.83,163,N/A,2017,1.63,2,4,30,30,8,N/A,N/A
Zargo's Lords: Magic Duels for World Power,5.584,6.73,212,N/A,1979,2.85,2,4,120,120,12,Wargames,N/A
Blank,5.584,6.14,361,N/A,2017,1.18,2,6,10,15,6,Party,N/A
The Mob,5.584,6.48,227,N/A,1993,1.88,3,6,60,60,12,N/A,N/A
North American Rails,5.584,6.74,178,N/A,1992,2.59,2,6,120,120,12,Strategy,N/A
DreadBall Xtreme,5.584,7.27,135,N/A,2015,3.0,2,2,45,45,N/A,Strategy,N/A
JOYRIDE DUEL: Next Gen,5.584,7.8,91,32.89,2025,0.0,2,2,20,40,14,N/A,N/A
Bleeding Kansas,5.584,7.65,100,N/A,2019,2.27,2,2,60,180,14,Wargames,N/A
Aeronautica Imperialis: Wings of Vengeance,5.584,7.63,110,N/A,2019,2.0,2,2,45,90,14,Wargames,N/A
The Mysteries of Peking,5.584,5.81,1437,N/A,1987,1.32,2,6,30,30,8,Children's,N/A
Star Clicker,5.584,6.94,155,N/A,2021,1.75,2,4,40,40,8,N/A,N/A
Survival of the Fattest,5.583,7.3,129,N/A,2024,2.75,1,4,45,90,10,N/A,N/A
Battue: Storm of the Horse Lords,5.583,5.93,616,N/A,2007,2.05,2,4,60,60,12,Family,Wargames
Hippo,5.583,6.1,445,N/A,2017,1.0,2,4,15,20,6,Family,N/A
Gunrunners,5.583,6.38,266,15.23,2013,1.18,2,4,30,30,10,N/A,N/A
