Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
Cutthroat Caverns,6.161,6.5,5106,N/A,2007,2.08,3,6,90,90,12,Thematic,N/A
Mafia de Cuba,6.16,6.52,4526,N/A,2015,1.47,6,12,10,20,10,Party,N/A
Um Reifenbreite,6.159,6.77,2460,N/A,1979,1.96,2,4,60,90,8,Family,Strategy
Aeon's End: Legacy of Gravehold,6.159,8.05,820,64.99,2021,3.4,1,4,60,60,14,Customizable,Strategy
Ascension: 10 Year Anniversary Edition,6.159,7.79,988,N/A,2022,1.81,1,4,30,30,13,Customizable,Strategy
Nine Tiles Panic,6.159,6.92,1971,N/A,2019,1.31,2,5,20,20,7,Family,N/A
Mantis Falls,6.159,7.18,1649,34.99,2021,2.71,2,3,60,90,14,Thematic,N/A
Kepler-3042,6.159,7.28,1399,N/A,2016,3.39,1,4,60,120,14,Strategy,Thematic
Castellion,6.158,6.88,2192,N/A,2015,2.1,1,2,30,30,10,Strategy,N/A
Theseus: The Dark Orbit,6.158,6.99,1861,N/A,2013,2.88,2,4,45,90,8,Strategy,N/A
Hues and Cues,6.158,6.5,5781,24.97,2020,1.07,3,10,30,30,8,Family,Party
Catan Histories: Settlers of America – Trails to Rails,6.157,6.79,2574,69.99,2010,2.69,3,4,120,120,12,Strategy,N/A
On the Underground: London / Berlin,6.157,7.21,1404,46.03,2019,2.28,2,5,45,60,14,Strategy,N/A
Dice Throne: Season One ReRolled – Pyromancer v. Shadow Thief,6.157,7.76,998,20.99,2021,1.87,2,2,20,40,8,Family,N/A
Dragonkeepers,6.157,7.11,1580,20.67,2023,1.95,2,4,20,20,8,Family,N/A
Show Manager,6.157,6.97,1847,N/A,1996,2.09,2,6,60,60,10,Family,Strategy
Serenissima,6.157,6.85,2340,N/A,1996,3.04,2,4,120,120,12,Strategy,N/A
Sorcerer,6.157,7.52,1652,49.99,2019,2.91,2,4,30,90,14,Customizable,Strategy
The Hanging Gardens,6.156,6.78,2360,N/A,2008,1.94,2,4,45,45,8,Family,N/A
Hamlet: The Village Building Game,6.156,6.85,2516,N/A,2022,2.97,1,4,25,100,14,Strategy,N/A
The Elder Scrolls V: Skyrim – The Adventure Game,6.156,7.67,1272,98.95,2022,3.23,1,4,60,120,14,Thematic,N/A
1754: Conquest – The French and Indian War,6.156,7.73,966,N/A,2017,2.33,2,4,60,120,10,Wargames,N/A
Beyond Baker Street,6.155,6.8,2266,23.0,2016,2.17,2,4,30,30,10,Family,N/A
Night of the Ninja,6.155,7.17,1580,21.99,2021,1.94,4,11,15,30,12,Party,N/A
DungeonQuest,6.155,6.78,2908,N/A,1985,1.92,1,4,20,60,10,Thematic,N/A
Thunderstone Advance: Numenera,6.155,7.25,1391,149.99,2013,2.75,1,5,60,90,12,Strategy,Thematic
Aqualin,6.155,6.96,1920,N/A,2020,1.53,2,2,20,20,10,Abstract,N/A
