Title,Geek rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Min age,Type 1,Type 2
BattleLust: Mediaeval Battle System,5.519,7.05,30,N/A,1992,2.71,2,8,90,90,12,N/A,N/A
Disastles,5.519,6.81,107,N/A,2018,2.67,2,5,20,50,10,N/A,N/A
Volcano Island Countdown,5.519,6.14,92,N/A,2012,1.25,2,4,30,30,8,N/A,N/A
Fighting Sail: Fleet Actions 1775–1815,5.519,6.87,31,N/A,2015,1.33,2,N/A,N/A,N/A,N/A,Wargames,N/A
15,5.519,5.88,116,N/A,2011,1.25,2,6,20,20,7,N/A,N/A
Frosty the Snowman: Follow the Leader,5.519,6.57,46,12.55,2020,1.0,2,4,15,15,4,N/A,N/A
Sly,5.519,6.49,44,N/A,1975,2.5,1,4,20,20,8,Abstract,N/A
Line or Colour,5.519,7.08,34,N/A,2014,1.5,2,2,10,10,8,Abstract,N/A
Witness: On the Trail of the Chameleon,5.519,6.84,31,N/A,2024,0.0,4,4,10,25,10,N/A,N/A
UNDO: Long Live the King,5.519,6.39,45,N/A,2021,1.0,2,6,45,90,10,N/A,N/A
Normandy: The Invasion of Europe 1944,5.519,6.01,116,N/A,1971,2.16,2,2,150,150,12,Wargames,N/A
Oh Crud,5.519,6.64,41,N/A,2021,2.5,2,9,30,30,8,N/A,N/A
Straszydła,5.519,6.88,44,N/A,2019,3.5,2,4,45,120,13,N/A,N/A
Cat Horror Festival,5.519,6.65,57,N/A,2023,1.0,2,4,20,30,8,N/A,N/A
Atoll,5.519,6.55,53,N/A,2024,2.0,1,4,60,90,12,N/A,N/A
Project Z: The Zombie Miniatures Game,5.519,7.54,65,N/A,2016,2.0,1,3,30,90,12,Wargames,N/A
Complicated Board Game the Card Game,5.519,6.46,55,N/A,2017,1.33,3,6,10,20,13,N/A,N/A
Get Nuts,5.519,5.77,228,N/A,2011,1.67,3,6,30,45,8,N/A,N/A
Yuan: l'Art de la guerre – Mongolie,5.519,8.17,30,N/A,2023,3.0,2,4,60,60,12,N/A,N/A
Warring Kingdom,5.519,7.43,31,N/A,2014,3.0,2,4,45,45,13,N/A,N/A
Mouse Match,5.519,6.11,83,N/A,2007,1.0,2,6,15,15,4,Children's,N/A
G.I. Joe Commando Attack,5.519,6.29,74,N/A,1985,1.4,2,4,30,30,8,Family,N/A
Im Märchenwald,5.519,5.82,146,N/A,2000,1.2,1,8,30,30,5,Children's,N/A
Royalists & Roundheads III,5.519,6.21,59,N/A,1993,2.5,2,2,60,60,12,Wargames,N/A
Dragon vs Bear: China vs Russia in the 21st Century,5.519,6.6,39,N/A,2014,3.2,1,3,N/A,N/A,N/A,Wargames,N/A
"Curse You, Robin Hood!",5.519,6.71,36,N/A,2016,1.5,1,6,15,20,14,N/A,N/A
Invasions: Volume 1 – 350-650 AD,5.519,6.3,72,N/A,2020,4.33,2,4,240,1200,13,Wargames,N/A
Ludus Gladiatorius,5.519,6.11,81,N/A,2005,1.67,2,5,20,20,10,N/A,N/A
Prisma Arena,5.519,6.32,53,N/A,2020,2.0,2,4,30,60,8,N/A,N/A
Munchkin Warhammer: Age of Sigmar,5.519,6.32,54,31.45,2019,1.6,3,6,60,90,12,N/A,N/A
Operation Cartwheel,5.519,6.88,35,N/A,2008,2.89,2,2,120,900,N/A,Wargames,N/A
Ranking Top,5.519,6.94,35,N/A,2024,1.0,3,5,15,25,8,N/A,N/A
Crappy Birthday,5.519,5.63,473,N/A,2011,1.05,4,8,20,20,12,Party,N/A
Fry Thief,5.519,6.78,55,N/A,2019,1.0,2,2,5,15,12,N/A,N/A
Rotterdam,5.519,5.88,259,N/A,2007,2.04,2,4,60,60,8,Family,N/A
Burger Balance,5.519,6.36,63,N/A,2021,1.0,2,6,15,15,6,N/A,N/A
Element,5.519,6.66,44,N/A,2008,2.0,2,2,30,30,9,Abstract,N/A
Lucky Luau,5.519,6.71,39,17.98,2020,1.0,2,6,10,20,7,N/A,N/A
My Very First Games: Rhino Hero Junior,5.519,6.03,87,N/A,2020,1.0,1,4,10,20,2,N/A,N/A
"Bloodiest Day: The Battle of Antietam September 17, 1862",5.519,6.84,44,N/A,1995,2.33,2,2,120,120,N/A,Wargames,N/A
Chronology: Disney Edition,5.519,6.26,54,14.99,2023,1.0,2,8,20,20,14,N/A,N/A
"25 Words or Less: People, Places and Things Edition",5.519,6.82,35,N/A,2006,2.0,4,99,30,30,8,N/A,N/A
Finger Ball,5.519,6.13,67,N/A,2007,1.17,2,2,5,5,N/A,N/A,N/A
Out Of This World,5.519,6.5,62,N/A,2020,1.33,3,5,45,60,8,N/A,N/A
Conquest of Speros,5.519,5.72,240,N/A,2015,2.0,2,4,30,30,10,N/A,N/A
The Sandcastles of Burgundy,5.519,6.88,31,39.4,2025,1.0,2,4,20,20,5,N/A,N/A
Quacksalbe,5.519,6.37,47,N/A,1998,2.5,3,5,30,30,14,N/A,N/A
Keep Cool,5.519,6.38,57,N/A,2004,2.2,3,6,N/A,N/A,9,N/A,N/A
Masters of Crime: Incognito,5.519,6.76,34,N/A,2022,1.0,1,6,150,210,14,N/A,N/A
Hero Master: An Epic Game of Epic Fails,5.519,6.48,94,N/A,2020,2.5,2,5,60,60,14,N/A,N/A
Myriades,5.519,6.51,49,N/A,2023,1.5,1,5,20,20,7,N/A,N/A
Rory's Story Cubes: Primal,5.519,6.59,45,N/A,2019,0.0,1,12,20,20,6,Family,N/A
Monster Voices,5.519,8.84,34,N/A,2023,1.0,2,10,20,30,6,N/A,N/A
Sceptre 1027 A.D.,5.519,6.52,54,N/A,1986,2.33,2,4,120,120,N/A,Abstract,N/A
Gathering Storm,5.519,6.19,85,N/A,2015,4.0,2,5,360,480,12,Wargames,N/A
