Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
KAPOW! Volume 1,Larry Bogucki,Robert Dougherty,Douglas Hettrick,Carl Van Ostrand,N/A
Nature Fluxx,Alison Frane,Andrew Looney,N/A,N/A,N/A
Black Box +,Eric Solomon,N/A,N/A,N/A,N/A
Art Gallery,Francesco Frittelli,N/A,N/A,N/A,N/A
Bongo!,Bruno Faidutti,N/A,N/A,N/A,N/A
Level 7 [Invasion],Will Schoonover,N/A,N/A,N/A,N/A
Search for the Emperor's Treasure,Tom Wham,N/A,N/A,N/A,N/A
Neodreams,Ivan Lashin,N/A,N/A,N/A,N/A
Hockey Blast Pro Hockey Game,Keith Avallone,N/A,N/A,N/A,N/A
Campeones: Oliver y Benji – El juego de cartas,Pablo M. Peón,N/A,N/A,N/A,N/A
Pebble Rock Delivery Service,Tristam Rossin,N/A,N/A,N/A,N/A
1980 Sixtina,José Antonio Abascal Acebo,N/A,N/A,N/A,N/A
Squint,Deborah Boss,N/A,N/A,N/A,N/A
Naruto Shippuden Deck-Building Game,Matt Hyra,N/A,N/A,N/A,N/A
Taco Hat Cake Gift Pizza,Dave Campbell (II),N/A,N/A,N/A,N/A
Dungeon Heroes,Michael Coe,N/A,N/A,N/A,N/A
Star Wars: Battle of Hoth,Richard Borg,Adrien Martinot,N/A,N/A,N/A
Birdscaping,Joe Klipfel,N/A,N/A,N/A,N/A
Prague: The Empty Triumph,Paul Dangel,Mathew Hinkle,N/A,N/A,N/A
1918: Storm in the West,Ted Raicer,N/A,N/A,N/A,N/A
Sator Arepo Tenet Opera Rotas: Malleus Maleficarum,Enrico Pesce,Federica Rinaldi,N/A,N/A,N/A
Gatefall: Chapter One,Jack Dire,N/A,N/A,N/A,N/A
"The Siege of Alesia: Gaul, 52 B.C.",Richard H. Berg,Mark Herman,N/A,N/A,N/A
Itchy Feet: The Travel Game,Malachi Ray Rempen,Maxime Rioux,N/A,N/A,N/A
Oilfield,Paco Yanez,N/A,N/A,N/A,N/A
Dark Venture: Battle of the Ancients,Rob Lemon,N/A,N/A,N/A,N/A
Bismarck,Charles S. Roberts,Thomas N. Shaw,Lindsley Schutz,Charles Roberts,Tom Shaw
The Vandermist Dossier,Ruud Kool,N/A,N/A,N/A,N/A
Ferox,Ryan Sheffield,N/A,N/A,N/A,N/A
EONS,David Villegas,Christopher Witt,Krista Witt,N/A,N/A
Funkoverse Strategy Game: Tim Burton's The Nightmare Before Christmas 100,Prospero Hall,Chris Rowlands,N/A,N/A,N/A
"Exceed: Red Horizon – Satoshi, Mei Lien, Morathi, and Baelkhor","D. Brad Talton, Jr.",N/A,N/A,N/A,N/A
What's It to Ya?,Mike Petty,N/A,N/A,N/A,N/A
Der wahre Walter,Urs Hostettler,N/A,N/A,N/A,N/A
Pot de Vin,Fel Barros,Warny Marçano,N/A,N/A,N/A
Maharaja,Rex A. Martin,Craig Sandercock,Rex A. Martin,N/A,N/A
Deutschland: Finden Sie Minden,Günter Burkhardt,N/A,N/A,N/A,N/A
Deadzone (Third Edition),N/A,N/A,N/A,N/A,N/A
What Next?,Ed Naujokas,N/A,N/A,N/A,N/A
Cantaloop: Book 2 – A Hack of a Plan,Friedemann Findeisen,Grzegorz Kobiela,N/A,N/A,N/A
