Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Animalcatraz,Alain Matte,N/A,N/A,N/A,N/A
Bezzerwizzer Familie,N/A,N/A,N/A,N/A,N/A
Solus:Lost,N/A,N/A,N/A,N/A,N/A
Kids of London,Antonin Boccara,N/A,N/A,N/A,N/A
1066: End of the Dark Ages,Joseph Miranda,Joseph Miranda,N/A,N/A,N/A
Dwarfest,Marco Belati,Cristiano Gennari,Jean Louis Soscia,N/A,N/A
Matanga!,Gerardo Cuevas,N/A,N/A,N/A,N/A
Chroma Cubes,Chip Beauvais,N/A,N/A,N/A,N/A
Riiing!,Josep M. Allué,Dani Gómez,N/A,N/A,N/A
Catch Don Falconi,Vasco Estermann,Stephan Mosele,N/A,N/A,N/A
Opaque War: Ukraine 2014,Javier Romero,N/A,N/A,N/A,N/A
Tongues Out!,Thierry Denoual,N/A,N/A,N/A,N/A
Braveheart Solitaire,Sean Cooke,Mike Wylie,Grant Wylie,N/A,N/A
Undead,Steve Jackson (I),N/A,N/A,N/A,N/A
Heroes & Treasure,Jason Davis (II),N/A,N/A,N/A,N/A
Good Little Tricks,Matthew Dunstan,Brett J. Gilbert,N/A,N/A,N/A
Mausgeflippt,Chislaine van den Bulk,N/A,N/A,N/A,N/A
Weavlings in the Wilds,Jonathan Flike,N/A,N/A,N/A,N/A
Nobody is Perfect: Extra Edition,Bertram Kaes,N/A,N/A,N/A,N/A
Crossword Pyramids,Jeff Widderich,N/A,N/A,N/A,N/A
Fortune Fame & Glory,Joseph Mills,N/A,N/A,N/A,N/A
Run Run Run! (2nd Edition),Bruno Cathala,Anthony Perone,N/A,N/A,N/A
The Brotherhood,Frank Chadwick,John Harshman,John Hill (I),N/A,N/A
Seimi in the Super Crazy World,Reiner Knizia,N/A,N/A,N/A,N/A
Nemo Rising: Robur the Conqueror,Natalie Cattron,Andrew Parks,N/A,N/A,N/A
This That & Everything,K. Allegra Vernon,N/A,N/A,N/A,N/A
Showdown Tactics,Paul JH Bang,N/A,N/A,N/A,N/A
1672: The Lost Crew,Mike Heiman,N/A,N/A,N/A,N/A
Dr. Beaker,Roberto Fraga,Delphine Lemonnier,N/A,N/A,N/A
Hongrie 1944-1945,Javier Romero,N/A,N/A,N/A,N/A
Trick of Fixer,T親方 (Master T),N/A,N/A,N/A,N/A
Zilch,(Uncredited),N/A,N/A,N/A,N/A
Mini Crimes: The End of the Games,Alessandro Ciceri,Remo Conzadori,N/A,N/A,N/A
1918: Imperial Germany's Last Chance,Joseph Miranda,N/A,N/A,N/A,N/A
Snippets,Shaun Salzberg,N/A,N/A,N/A,N/A
Tile Rummy,(Uncredited),N/A,N/A,N/A,N/A
Animal Olympics,Heinz Meister,N/A,N/A,N/A,N/A
Sheep & Garden,Shun Taguchi,Aya Taguchi,N/A,N/A,N/A
Triominos Challenge,Allan Cowan,N/A,N/A,N/A,N/A
Bob's Burgers: Belcher Family Food Fight,N/A,N/A,N/A,N/A,N/A
Stupiduel,Hugh Barnes,N/A,N/A,N/A,N/A
Operation Ichi-Go: Japan's Massive 1944 Offensive Across China,Ty Bomba,Steven Cunliffe,N/A,N/A,N/A
Pitch Deck,Fred Benenson,Alex Hague,N/A,N/A,N/A
Mech Command RTS,Chris Gabrielson,N/A,N/A,N/A,N/A
Amerika,Doug Friend,Michael C. Kelley,Chris Noble,Adam Woodard,N/A
Cudillero,Jorge Tabanera Redondo,N/A,N/A,N/A,N/A
Morphology,Kate Ryan Reiling,N/A,N/A,N/A,N/A
Chancellorsville (Second Edition),Randall C. Reed,Randall C. Reed,Joe Angiolillo,Richard Hamblen,Joe Angiolillo
Five Ravens,Grant Rodiek,N/A,N/A,N/A,N/A
Kharkov 1943,Nicolas Stratigos,N/A,N/A,N/A,N/A
Three Wise Words,Rich Coombes,Dan Penn,N/A,N/A,N/A
Yeti in the House,Naotaka Shimamoto,N/A,N/A,N/A,N/A
Impendium,Max Robbins,N/A,N/A,N/A,N/A
Topology,Gerd Breitenbach,Markus Hagenauer,N/A,N/A,N/A
Scallywags,Chevee Dodd,N/A,N/A,N/A,N/A
Mini Crimes: Family Matters,Remo Conzadori,Valentina Franceschini,N/A,N/A,N/A
Little Big Horn,Andrea Mannucci,N/A,N/A,N/A,N/A
Safe Return Doubtful,Randy Moorehead,N/A,N/A,N/A,N/A
Boardquest: Tales of Liria,Behsaad Ramez,N/A,N/A,N/A,N/A
New York Crisis,Buster Lehn,JuanJosé Martínez,Fran Ruiz,N/A,N/A
Templars' Journey,Tero Moliis,Jani Moliis,N/A,N/A,N/A
Burma 1942-45,Bob Fowler,Marc W. Miller,Don Lowry,N/A,N/A
Slush Fund 2,Steve Finn,N/A,N/A,N/A,N/A
"Mediterranean Empires: The Struggle for the Middle Sea, 1281-1350 AD",Javier Romero,N/A,N/A,N/A,N/A
Blocks,Fred Horn,Steffen Mühlhäuser,N/A,N/A,N/A
Lost in the Woods,Robert J Johnson,N/A,N/A,N/A,N/A
King's Coalition,Derek Croxton,N/A,N/A,N/A,N/A
Brain Connect,Roberto Fraga,N/A,N/A,N/A,N/A
Amelia's Secret,N/A,N/A,N/A,N/A,N/A
Kámen – Zbraně – Papír,Vlaada Chvátil,N/A,N/A,N/A,N/A
Turkish Checkers,(Uncredited),N/A,N/A,N/A,N/A
North Wind Rain,Mark Stille,N/A,N/A,N/A,N/A
Бэнг! Звёздные Войны,Emiliano Sciarra,N/A,N/A,N/A,N/A
Leinen los!,Alex Randolph,N/A,N/A,N/A,N/A
