Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Things in Rings,Peter C. Hayward,N/A,N/A,N/A,N/A
Dice Settlers,Dávid Turczi,N/A,N/A,N/A,N/A
Dutch Blitz,Werner Ernst George Muller,N/A,N/A,N/A,N/A
Shogun no Katana,P.S. Martensen,Federico Randazzo,N/A,N/A,N/A
Android,Daniel Clark (I),Kevin Wilson,N/A,N/A,N/A
Kamisado,Peter Burley,N/A,N/A,N/A,N/A
The Red Dragon Inn 2,Cliff Bohm,Geoff Bottone,Colleen Skadl,N/A,N/A
Oceanos,Antoine Bauza,N/A,N/A,N/A,N/A
"Sword of Rome: Conquest of Italy, 362-272 BC",Wray Ferrell,Mark Herman,Ted Raicer,N/A,N/A
Neanderthal,Phil Eklund,N/A,N/A,N/A,N/A
Yomi,David Sirlin,N/A,N/A,N/A,N/A
Amsterdam,Stefan Feld,N/A,N/A,N/A,N/A
Dungeon Mayhem: Monster Madness,Jordan Comar,Roscoe Wetlaufer,N/A,N/A,N/A
Pergamon,Stefan Dorra,Ralf zur Linde,N/A,N/A,N/A
Astro Knights,Nick Little (I),Will Sobel,N/A,N/A,N/A
Circadians: Chaos Order,S J Macdonald,Zach Smith,N/A,N/A,N/A
