Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Cube Checkers,Rick Gillepsie,Henry Rolling,N/A,N/A,N/A
Pitch Fleet,Bono Light,N/A,N/A,N/A,N/A
Barricade,Sam S. Rakover,N/A,N/A,N/A,N/A
Wacky Challenge,Jim Dratwa,N/A,N/A,N/A,N/A
Centipede,Bruce Whitehill,N/A,N/A,N/A,N/A
Woof Meow Biscuits,Chih-Fan Chen,N/A,N/A,N/A,N/A
Kakerlaken-Duell,Jacques Zeimet,N/A,N/A,N/A,N/A
Never Call Retreat,George Schandel,N/A,N/A,N/A,N/A
Big Pay Day,(Uncredited),N/A,N/A,N/A,N/A
Pirates: The Great Chase,Shuky,N/A,N/A,N/A,N/A
Konito?,Richard Champion,N/A,N/A,N/A,N/A
History's Mysteries Card Game,Mike Fitzgerald,N/A,N/A,N/A,N/A
Polar Dare!,Dan Glimne,N/A,N/A,N/A,N/A
Trivial Pursuit: Know-It-All Edition,Bruce Whitehill,N/A,N/A,N/A,N/A
Conquian,N/A,N/A,N/A,N/A,N/A
Dragons,Oriol Comas i Coma,N/A,N/A,N/A,N/A
Crash Pilot,Reinhard Staupe,N/A,N/A,N/A,N/A
Crossword,(Uncredited),N/A,N/A,N/A,N/A
Conezilla,Dominique Ehrhard,N/A,N/A,N/A,N/A
That Snow Moon,Dave Chalker,N/A,N/A,N/A,N/A
King Ozo,N/A,N/A,N/A,N/A,N/A
UNO: Peanuts,Merle Robbins,N/A,N/A,N/A,N/A
20th Century Time Travel Card Game,Mike Fitzgerald,N/A,N/A,N/A,N/A
Overkill: Halloween Slasher,Ryan Miller,N/A,N/A,N/A,N/A
Espias y confidentes,(Uncredited),N/A,N/A,N/A,N/A
Soviet System,(Uncredited),N/A,N/A,N/A,N/A
The Game of LIFE: zAPPed Edition,Amanda Birkinshaw,N/A,N/A,N/A,N/A
Robotics,Mario Coopmann,N/A,N/A,N/A,N/A
Seven Secret Supervillains,Mitch Myers,N/A,N/A,N/A,N/A
Edition Wars,Brian Casey,"Richard ""Brev"" Tanner",David Villegas,Christopher Witt,N/A
Bethump'd with Words,Glenn M. Cahilly,N/A,N/A,N/A,N/A
Bataflash,Eric Héliot,N/A,N/A,N/A,N/A
Ringside,Brian Blume,N/A,N/A,N/A,N/A
Simon Swipe,Dan Klitsner,N/A,N/A,N/A,N/A
Sorry!  Card Game,(Uncredited),N/A,N/A,N/A,N/A
Teratozoic,"Teel McClanahan, III",N/A,N/A,N/A,N/A
Mission Command Land,(Uncredited),N/A,N/A,N/A,N/A
Circus,Alexey Konnov,Alexey Paltsev,Anatoliy Shklyarov,N/A,N/A
Waz Baraz,Spartaco Albertarelli,N/A,N/A,N/A,N/A
Eternas,Mark Fuchs,N/A,N/A,N/A,N/A
The Indian Mutiny,Robert G. Markham,Mark Seaman,N/A,N/A,N/A
Speed,N/A,N/A,N/A,N/A,N/A
Geek Battle: The Game Of Extreme Geekdom,Forrest-Pruzan Creative,Michael Morris,Lydia Ortiz,N/A,N/A
"Birds, Bugs and Beans",Stacey Merrill,N/A,N/A,N/A,N/A
Steal the Bacon,(Uncredited),N/A,N/A,N/A,N/A
Luck Plus,(Uncredited),N/A,N/A,N/A,N/A
Neko-in,Marco Mingozzi,N/A,N/A,N/A,N/A
Globetrotters,Ken Evoy,N/A,N/A,N/A,N/A
007 James Bond: Live and Let Die,G. Christopher King,Bob Ryer,N/A,N/A,N/A
T-Rex,Hanno Kuhn,Wilfried Kuhn,N/A,N/A,N/A
Cluedo Card Game,(Uncredited),N/A,N/A,N/A,N/A
Squish'Em!: Fantasy,Mathias Gravend,N/A,N/A,N/A,N/A
In Pursuit,Rob Daviau,Dan Sanfilippo,N/A,N/A,N/A
Balancing Moon,(Uncredited),N/A,N/A,N/A,N/A
Arbora,Rolf Asche,Reinhold Wittig,N/A,N/A,N/A
Scram,Ramy Badie,N/A,N/A,N/A,N/A
What's GNU?,(Uncredited),N/A,N/A,N/A,N/A
Captain Bluff,Torsten Landsvogt,N/A,N/A,N/A,N/A
La Muse,Gaetano Foschini,N/A,N/A,N/A,N/A
High Stakes Drifter,Matt Forbeck,N/A,N/A,N/A,N/A
Evolution,Julie Archer,Karl Archer,N/A,N/A,N/A
Truths Too Terrible,Scott Bowden (II),N/A,N/A,N/A,N/A
RisiKo! Pocket,Albert Lamorisse,Michael I. Levin,N/A,N/A,N/A
The Italian Campaign: Salerno,John Schettler,N/A,N/A,N/A,N/A
Exploration,Damian Korus,N/A,N/A,N/A,N/A
UNO: Family Guy,Merle Robbins,N/A,N/A,N/A,N/A
Mandala,(Uncredited),N/A,N/A,N/A,N/A
Monkey Memory,Reinhard Staupe,N/A,N/A,N/A,N/A
Archie Bunker's Card Game,(Uncredited),N/A,N/A,N/A,N/A
Michelangelo,James Ernest,Mike Selinker,N/A,N/A,N/A
Pharaoh,Andrew Looney,N/A,N/A,N/A,N/A
Captain Treasure Boots,James Ernest,N/A,N/A,N/A,N/A
UNO: Nintendo,Merle Robbins,N/A,N/A,N/A,N/A
Kronen für den König,Brian Yu,N/A,N/A,N/A,N/A
Eesti mälumäng,(Uncredited),N/A,N/A,N/A,N/A
Puluc,Jorge Yañez,N/A,N/A,N/A,N/A
80's 90's Trivia Game,N/A,N/A,N/A,N/A,N/A
Ave Tenebrae,François Marcela-Froideval,N/A,N/A,N/A,N/A
Monopoly: Metallica Collector's Edition,N/A,N/A,N/A,N/A,N/A
Linwood,Shem Phillips,N/A,N/A,N/A,N/A
Quest,Steve Atkinsons,N/A,N/A,N/A,N/A
Take a Chance,(Uncredited),N/A,N/A,N/A,N/A
Words with Friends,Patrick Otley,N/A,N/A,N/A,N/A
Ghosts,Reiner Knizia,N/A,N/A,N/A,N/A
Battle Gnomes,Tiffany Branum,N/A,N/A,N/A,N/A
Tambuzi ... den Letzten trifft der Blitz!,Günter Burkhardt,N/A,N/A,N/A,N/A
Intime Conviction n°1: L'Affaire des Poissons de Chine,Céline Pieters,Raphaël Vanleemputten,N/A,N/A,N/A
The Baton Races of Yaz,C. C. Stoll,N/A,N/A,N/A,N/A
Let's Party!,Ulrike Catty,Paul Catty,Hans Führer,Maria Führer,Los Rodriguez
They Who Were 8,Todd Sanders,N/A,N/A,N/A,N/A
Management Material: Information Technology Edition,Dave Cook (II),N/A,N/A,N/A,N/A
Froop!,R. Hunter Gough,N/A,N/A,N/A,N/A
El Luchador Fantastico Grande,Albert Caynes,N/A,N/A,N/A,N/A
Risk: Marvel Cinematic Universe,N/A,N/A,N/A,N/A,N/A
Boom Goes the Dynamite,N/A,N/A,N/A,N/A,N/A
eBay Buy It Now,Danielle Reynolds,N/A,N/A,N/A,N/A
MidEvil,Todd Breitenstein,N/A,N/A,N/A,N/A
