Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Plague Inc.: The Board Game,James Vaughan,N/A,N/A,N/A,N/A
Courtisans,Romaric Galonnier,Anthony Perone,N/A,N/A,N/A
Quartermaster General,Ian Brody,N/A,N/A,N/A,N/A
18Chesapeake,Scott Petersen,N/A,N/A,N/A,N/A
Disney Lorcana,David Iezzi,Ryan Miller,Tim Schilder,Steve Warner,N/A
Unmatched: Redemption Row,Brad Andres,Noah Cohen,Rob Daviau,Justin D. Jacobson,N/A
Witch's Brew,Andreas Pelikan,N/A,N/A,N/A,N/A
Mythos Tales,Hal Eccles,Will Kenyon,Jason Maxwell,Tim Uren,N/A
Kraftwagen,Matthias Cramer,N/A,N/A,N/A,N/A
Dead Man's Draw,Derek Paxton,N/A,N/A,N/A,N/A
Street Masters,Adam Sadler,Brady Sadler,N/A,N/A,N/A
Steam Park,Aureliano Buonfino,Lorenzo Silva,Lorenzo Tucci Sorrentino,N/A,N/A
GIPF,Kris Burm,N/A,N/A,N/A,N/A
Wild Space,Joachim Thôme,N/A,N/A,N/A,N/A
On Tour,Chad DeShon,N/A,N/A,N/A,N/A
Planted: A Game of Nature & Nurture,Phil Walker-Harding,N/A,N/A,N/A,N/A
Battles of Westeros,Robert A. Kouba,N/A,N/A,N/A,N/A
Pathfinder Adventure Card Game: Skull & Shackles – Base Set,Chad Brown,Tanis O'Connor,Paul Peterson,Mike Selinker,Gaby Weidling
No Retreat! The Russian Front,Carl Paradis,N/A,N/A,N/A,N/A
Gutenberg,Katarzyna Cioch,Wojciech Wiśniewski,N/A,N/A,N/A
EXIT: The Game – The Sunken Treasure,Inka Brand,Markus Brand,N/A,N/A,N/A
SHŌBU,Jamie Sajdak,Manolis Vranas,N/A,N/A,N/A
Ahoy,Greg Loring-Albright,N/A,N/A,N/A,N/A
Carnival of Monsters,Richard Garfield,N/A,N/A,N/A,N/A
The Fox in the Forest Duet,N/A,N/A,N/A,N/A,N/A
A Touch of Evil: The Supernatural Game,Jason C. Hill,N/A,N/A,N/A,N/A
New York 1901,Chénier La Salle,N/A,N/A,N/A,N/A
Inferno,Fernando Eduardo Sánchez,N/A,N/A,N/A,N/A
It's a Wonderful Kingdom,Frédéric Guérard,N/A,N/A,N/A,N/A
Pavlov's House,David Thompson (I),N/A,N/A,N/A,N/A
Dungeon Fighter,Aureliano Buonfino,Lorenzo Silva,Lorenzo Tucci Sorrentino,N/A,N/A
Rock Hard: 1977,Jackie Fox,N/A,N/A,N/A,N/A
Rebel Princess,Daniel Byrne,José Gerardo Guerrero,Kevin Peláez,Tirso Virgós,N/A
Blood Bowl: Second Season Edition,N/A,N/A,N/A,N/A,N/A
Ancient Knowledge,Rémi Mathieu,N/A,N/A,N/A,N/A
Fief: France 1429,Philippe Mouchebeuf,N/A,N/A,N/A,N/A
The Magic Labyrinth,Dirk Baumann,N/A,N/A,N/A,N/A
Karak,Petr Mikša,N/A,N/A,N/A,N/A
Décorum,Charlie Mackin,Harry Mackin,Drew Tenenbaum,N/A,N/A
Royals,Peter Hawes,N/A,N/A,N/A,N/A
Council of 4,Simone Luciani,Daniele Tascini,N/A,N/A,N/A
Dale of Merchants 2,Sami Laakso,N/A,N/A,N/A,N/A
Euthia: Torment of Resurrection,Markéta Bláhová,Tadeáš Spousta,N/A,N/A,N/A
Strasbourg,Stefan Feld,N/A,N/A,N/A,N/A
Qwinto,Bernhard Lach,Uwe Rapp,N/A,N/A,N/A
Copenhagen,Asger Harding Granerud,Daniel Skjold Pedersen,N/A,N/A,N/A
Europa Universalis: The Price of Power,Eivind Vetlesen,N/A,N/A,N/A,N/A
Arkadia,Rüdiger Dorn,N/A,N/A,N/A,N/A
Ghost Blitz,Jacques Zeimet,N/A,N/A,N/A,N/A
Paper Dungeons: A Dungeon Scrawler Game,Leandro Pires,N/A,N/A,N/A,N/A
The Werewolves of Miller's Hollow,Philippe des Pallières,Hervé Marly,Hervé Marly,Philippe des Pallières,N/A
Liberty or Death: The American Insurrection,Harold Buchanan,N/A,N/A,N/A,N/A
Watson & Holmes,Jesús Torres Castro,N/A,N/A,N/A,N/A
Ubongo,Grzegorz Rejchtman,N/A,N/A,N/A,N/A
Arborea,Dani Garcia,N/A,N/A,N/A,N/A
That Time You Killed Me,Peter C. Hayward,N/A,N/A,N/A,N/A
Unmatched: Hell's Kitchen,Brad Andres,Noah Cohen,Rob Daviau,Justin D. Jacobson,Brian Neff
Princes of the Renaissance,Martin Wallace,N/A,N/A,N/A,N/A
Llamaland,Phil Walker-Harding,N/A,N/A,N/A,N/A
Fleet,Ben Pinchback,Matt Riddle,N/A,N/A,N/A
Vikings Gone Wild,Julien Vergonjeanne,N/A,N/A,N/A,N/A
Rolling Heights,John D. Clair,N/A,N/A,N/A,N/A
Medieval Academy,Nicolas Poncin,N/A,N/A,N/A,N/A
Rattus,Åse Berg,Henrik Berg,N/A,N/A,N/A
Perseverance: Castaway Chronicles – Episodes 1 & 2,Richard Ámann,Thomas Vande Ginste,Viktor Péter,Wolf Plancke,Dávid Turczi
Carcassonne: South Seas,Klaus-Jürgen Wrede,N/A,N/A,N/A,N/A
Manoeuvre,Jeff Horger,N/A,N/A,N/A,N/A
Castell,Aaron Vanderbeek,N/A,N/A,N/A,N/A
Elfenland,Alan R. Moon,N/A,N/A,N/A,N/A
Agra,Michael Keller (II),N/A,N/A,N/A,N/A
Star Wars: Unlock!,Cyril Demaegd,Jay Little,N/A,N/A,N/A
Hamburgum,Mac Gerdts,N/A,N/A,N/A,N/A
Dracula vs Van Helsing,Maxime Rambourg,Théo Rivière,N/A,N/A,N/A
Imhotep: The Duel,Phil Walker-Harding,N/A,N/A,N/A,N/A
BattleTech,Forest Brown,"L. R. ""Butch"" Leeper",Jordan Weisman,N/A,N/A
Edge of Darkness,John D. Clair,N/A,N/A,N/A,N/A
Dungeon Twister,Christophe Boelinger,N/A,N/A,N/A,N/A
Timeline: Inventions,Frédéric Henry,N/A,N/A,N/A,N/A
Folklore: The Affliction,Nick Blain,Will Donovan,N/A,N/A,N/A
Santiago de Cuba,Michael Rieneck,N/A,N/A,N/A,N/A
Fishing,Friedemann Friese,N/A,N/A,N/A,N/A
Coloma,Jonny Pac,N/A,N/A,N/A,N/A
Carcassonne: Winter Edition,Klaus-Jürgen Wrede,N/A,N/A,N/A,N/A
Here to Slay,Ramy Badie,N/A,N/A,N/A,N/A
Axis & Allies: Europe 1940,"Larry Harris, Jr.",N/A,N/A,N/A,N/A
Sentient,J. Alex Kevern,N/A,N/A,N/A,N/A
TransAmerica,Franz-Benno Delonge,N/A,N/A,N/A,N/A
Saboteur,Fréderic Moyersoen,N/A,N/A,N/A,N/A
Peloponnes,Bernd Eisenstein,N/A,N/A,N/A,N/A
Thunderbolt Apache Leader,Dan Verssen,N/A,N/A,N/A,N/A
Kitchen Rush (Revised Edition),Vangelis Bagiartakis,Dávid Turczi,N/A,N/A,N/A
Rumble Nation,Yogi Shinichi (与儀新一),N/A,N/A,N/A,N/A
The Hunger,Richard Garfield,N/A,N/A,N/A,N/A
Unlock!: Exotic Adventures,Cyril Demaegd,Germain Winzenschtark,N/A,N/A,N/A
Super-Skill Pinball: 4-Cade,Geoff Engelstein,N/A,N/A,N/A,N/A
Yukon Airways,Al Leduc,N/A,N/A,N/A,N/A
Machina Arcana (Second/Third Edition),Juraj Bilich,N/A,N/A,N/A,N/A
Hacienda,Wolfgang Kramer,N/A,N/A,N/A,N/A
Mists over Carcassonne,Klaus-Jürgen Wrede,N/A,N/A,N/A,N/A
Thunderbirds,Matt Leacock,N/A,N/A,N/A,N/A
