Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Lucidity: Six-Sided Nightmares,Shannon Kelly,N/A,N/A,N/A,N/A
Mag·Blast: Third Edition,Christian T. Petersen,Anders M. Petersen,N/A,N/A,N/A
"Brazen Chariots: Battles for Tobruk, 1941",Jim Daniels,Dean Essig,N/A,N/A,N/A
Pizza Box Football,Erik Smith,Scott Smith (I),N/A,N/A,N/A
Nova Era,Andrea Chiarvesio,N/A,N/A,N/A,N/A
Hornet Leader: Strike Fighter Operations,Dan Verssen,N/A,N/A,N/A,N/A
Dragon Pass,Robert Corbett,Greg Stafford,N/A,N/A,N/A
"The Blitzkrieg Legend: The Battle for France, 1940",Dean Essig,Hans Kishel,John Kisner,N/A,N/A
Undermining,Matt Tolman,N/A,N/A,N/A,N/A
Funkoverse Strategy Game: Harry Potter 101,Prospero Hall,Chris Rowlands,N/A,N/A,N/A
Bali,Klaus-Jürgen Wrede,N/A,N/A,N/A,N/A
Die Fiesen 7,Jacques Zeimet,N/A,N/A,N/A,N/A
Mercado,Rüdiger Dorn,N/A,N/A,N/A,N/A
Dwar7s Fall,Luís Brueh,N/A,N/A,N/A,N/A
Clash of Rage,Frédéric Guérard,N/A,N/A,N/A,N/A
North American Railways,Peer Sylvester,N/A,N/A,N/A,N/A
Omerta,Adrien Dumont,Timothée Rignault,N/A,N/A,N/A
Jarl: The Vikings Tile-Laying Game,Randall N. Bills,Loren Coleman,N/A,N/A,N/A
221B Baker Street: The Master Detective Game,Antler Productions,Jay Moriarty,N/A,N/A,N/A
Tutankhamen,Reiner Knizia,N/A,N/A,N/A,N/A
Foodies,Ken Gruhl,Marco Portugal,N/A,N/A,N/A
Valor & Villainy: Lludwik's Labyrinth,James Van Niekerk,N/A,N/A,N/A,N/A
This Accursed Civil War,Ben Hull,N/A,N/A,N/A,N/A
The Arrival,Martin Wallace,N/A,N/A,N/A,N/A
Ligny 1815: Last Eagles,Walter Vejdovsky,N/A,N/A,N/A,N/A
Rossio,Orlando Sá,N/A,N/A,N/A,N/A
Skyrockets: Festivals of Fire,Charlie McCarron,N/A,N/A,N/A,N/A
Krosmaster Arena 2.0,Matthieu Berthier,N/A,N/A,N/A,N/A
Fire in the East,John Astell,"Paul Richard ""Rich"" Banner",Frank Chadwick,N/A,N/A
Magic Rabbit,Julie Dutois,Romaric Galonnier,Ludovic Simonet,Cécile Ziégler,N/A
Mystery House: Adventures in a Box,Antonio Tinto,N/A,N/A,N/A,N/A
Three-Dragon Ante: Emperor's Gambit,Rob Heinsoo,N/A,N/A,N/A,N/A
Salmon Run,Jesse Catron,N/A,N/A,N/A,N/A
Dustrunner,Jason Glover,N/A,N/A,N/A,N/A
Deduckto,Robert Kerr,N/A,N/A,N/A,N/A
Vino,Christwart Conrad,N/A,N/A,N/A,N/A
Latice,Brent Vincent,N/A,N/A,N/A,N/A
In the Footsteps of Marie Curie,Florian Fay,N/A,N/A,N/A,N/A
Settlers of Catan: Gallery Edition,Klaus Teuber,N/A,N/A,N/A,N/A
The Russian Campaign: 4th Edition,John Edwards,N/A,N/A,N/A,N/A
HMS Dolores,Bruno Faidutti,Eric M. Lang,Eric M. Lang,Bruno Faidutti,N/A
Doodle City,Kristian Amundsen Østby,Eilif Svensson,N/A,N/A,N/A
Chicken Caesar,Bryan Fischer,John Sizemore,N/A,N/A,N/A
Snorta!,Chris Childs,Tony Richardson,N/A,N/A,N/A
Rumis+,Stefan Kögl,N/A,N/A,N/A,N/A
Saboteur: The Duel,Fréderic Moyersoen,N/A,N/A,N/A,N/A
Parthenon: Rise of the Aegean,Jason Hawkins,Andrew Parks,N/A,N/A,N/A
Garum,Ricardo Jorge Gomes,N/A,N/A,N/A,N/A
Untold: Adventures Await,John Fiore,Rory O'Connor,N/A,N/A,N/A
Age of Thieves,Sławomir Stępień,N/A,N/A,N/A,N/A
Touria,Inka Brand,Markus Brand,Michael Rieneck,N/A,N/A
Play Nine,Ceil Anderson,Kathy Assell,N/A,N/A,N/A
Saint Seiya: Deckbuilding,Maxime Babad,Nicolas Badoux,N/A,N/A,N/A
Risk (Revised Edition),Rob Daviau,N/A,N/A,N/A,N/A
Monsters Menace America,J. C. Connors (I),Ben Knight,N/A,N/A,N/A
Tatsu,Wolfgang Werner,N/A,N/A,N/A,N/A
The Three Musketeers: The Queen's Pendants,Pascal Bernard,N/A,N/A,N/A,N/A
Untamed: Feral Factions,Jeremy Falger,Milan Lefferts,N/A,N/A,N/A
Longstreet Attacks: The Second Day at Gettysburg,Hermann Luttmann,N/A,N/A,N/A,N/A
