Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Clue: Card Game,(Uncredited),N/A,N/A,N/A,N/A
Take It or Leave It,Christoph Puhl,Arno Steinwender,N/A,N/A,N/A
Rock of the Marne,John Best,Dean Essig,N/A,N/A,N/A
Student Bodies,Michel Grenier,Matthieu Regney,N/A,N/A,N/A
Quest Calendar: The Gates of Terralon,Thomas A Bedran,N/A,N/A,N/A,N/A
Hanau 1813,Frédéric Bey,N/A,N/A,N/A,N/A
Funkoverse Strategy Game: Universal Monsters 100,Prospero Hall,Chris Rowlands,N/A,N/A,N/A
Campaign to Stalingrad: Southern Russia 1942,Mark Simonitch,N/A,N/A,N/A,N/A
Chicago & NorthWestern,John Bohrer,N/A,N/A,N/A,N/A
Sfynx,David Purkiss,N/A,N/A,N/A,N/A
Gold Connection,Sid Sackson,Sackson,N/A,N/A,N/A
Aloha Pioha,Isra C.,Shei S.,N/A,N/A,N/A
White Eagle Defiant: Poland 1939,Ryan Heilman,Dave Shaw (II),N/A,N/A,N/A
Moirai,Alberto Millán,N/A,N/A,N/A,N/A
The Doge Ship,Marco Canetta,Stefania Niccolini,N/A,N/A,N/A
Knights Club: The Bands of Bravery,Shuky,N/A,N/A,N/A,N/A
"Red Star/White Eagle: The Russo-Polish War, 1920 – Designer Signature Edition",David Williams (I),N/A,N/A,N/A,N/A
Risk: Halo Legendary Edition,N/A,N/A,N/A,N/A,N/A
Die Insel,Reiner Knizia,N/A,N/A,N/A,N/A
Devil's Run: Route 666,Mark Rapson,N/A,N/A,N/A,N/A
Fury at Midway,Yasushi Nakaguro,N/A,N/A,N/A,N/A
Fired Up,Giorgos Eleftheriadis,Theofilos Koutroubis,N/A,N/A,N/A
Healing Blade: Defenders of Soma,Brandon Patton,N/A,N/A,N/A,N/A
Locus,Stan van Rooijen,N/A,N/A,N/A,N/A
Racetrack,(Uncredited),N/A,N/A,N/A,N/A
Movie Empire,Karsten Schulmann,N/A,N/A,N/A,N/A
Whacky Wit,Norman Sommer,N/A,N/A,N/A,N/A
"Bloody Roads South: The Battle of the Wilderness May 5-7, 1864 – The South's Last Chance",James F. Epperson,Dean Essig,N/A,N/A,N/A
Hack Trick: It's Hacking Time,József Dorsonczky,N/A,N/A,N/A,N/A
Armata Strigoi,Paolo Vallerga,Marco Valtriani,N/A,N/A,N/A
Oh Captain!,Florian Sirieix,N/A,N/A,N/A,N/A
Castle of Magic,Rick Smith,N/A,N/A,N/A,N/A
Edge of Humanity,Elad Goldsteen,Pini Shekhter,N/A,N/A,N/A
JENA!,Ed Wimble,N/A,N/A,N/A,N/A
Bonaparte in the Quadrilateral,Kevin Zucker,N/A,N/A,N/A,N/A
Kung Fu,Zong-Ger(蔥哥),N/A,N/A,N/A,N/A
Shadow Raiders,Yasutaka Ikeda,N/A,N/A,N/A,N/A
Bag of Dungeon 2: The Cursed Forest,Russ Law,Tim Sharville,Paul Sharville,N/A,N/A
Master of Rules,Susumu Kawasaki,N/A,N/A,N/A,N/A
Brothers,Christophe Boelinger,N/A,N/A,N/A,N/A
Napoleon at the Crossroads,Kevin Zucker,N/A,N/A,N/A,N/A
ArtSee,J. Alex Kevern,N/A,N/A,N/A,N/A
"Sinai: The Arab-Israeli Wars – '56, '67 and '73",Jim Dunnigan,Howard Barasch,N/A,N/A,N/A
Simon's Cat Card Game,Samuel Mitschke,Randy Scheunemann,N/A,N/A,N/A
Captains of the Golden Age,Aron Groot,Niek Jansma,N/A,N/A,N/A
Cortex + Challenge,Johan Benvenuto,Nicolas Bourgoin,N/A,N/A,N/A
Crime Zoom: A Deadly Writer,Stéphane Anquetil,N/A,N/A,N/A,N/A
Sticky Stickz,Dave Choi,N/A,N/A,N/A,N/A
Caracas,Peter Joustra,Corné van Moorsel,N/A,N/A,N/A
Crab Stack,Henri Kermarrec,N/A,N/A,N/A,N/A
Totemic,Christopher Hamm,N/A,N/A,N/A,N/A
Gran Circo,Marcos Macri,N/A,N/A,N/A,N/A
Sidibaba,Perepau Llistosella,N/A,N/A,N/A,N/A
Glory II: Across the Rappahannock,Richard H. Berg,N/A,N/A,N/A,N/A
Gloomier: A Night at Hemlock Hall,Keith Baker,N/A,N/A,N/A,N/A
Kragmortha,Fabrizio Bonifacio,Riccardo Crosa,Massimiliano Enrico,Chiara Ferlito,Walter Obert
Dark Nebula,Marc W. Miller,N/A,N/A,N/A,N/A
Theophrastus,Phil R. Chase,N/A,N/A,N/A,N/A
Quest Calendar: Leaf Riders of Wrenwood,Thomas A Bedran,N/A,N/A,N/A,N/A
The Secret Door,Jim Deacove,N/A,N/A,N/A,N/A
Geometric Art,Romain Caterdjian,Hsu Wun Hao,Eros Lin,N/A,N/A
Final Fantasy VIII: Triple Triad,(Uncredited),N/A,N/A,N/A,N/A
Alcazar,Wolfgang Kramer,N/A,N/A,N/A,N/A
Combo Fighter: VS Pack 2,Asger Johansen,N/A,N/A,N/A,N/A
Magecraft,Percy Chan,N/A,N/A,N/A,N/A
50 Missions: Ça se complique,Ken Gruhl,Pampuk,N/A,N/A,N/A
RagnaRok Star,William Aubert,Dan Thouvenot,N/A,N/A,N/A
Puppet Wars Unstitched,Matt Anderson,Redd Cohen,Justin Gibbs,David Hanold,N/A
Second World War at Sea: Coral Sea,Michael Bennighof,N/A,N/A,N/A,N/A
Crusader Kingdoms: The War for the Holy Land,Jesús Peralta García,N/A,N/A,N/A,N/A
