Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Discover: Lands Unknown,Corey Konieczka,N/A,N/A,N/A,N/A
Proteus,Francis K. Lalumiere,N/A,N/A,N/A,N/A
Samsara,Sylas,N/A,N/A,N/A,N/A
Quoridor Junior,Mirko Marchesi,N/A,N/A,N/A,N/A
Fatal Alliances: The Great War 1914-1918,Andrew Rader,Harry Rowland,N/A,N/A,N/A
The BoardGameGeek Game,Richard Breese,N/A,N/A,N/A,N/A
Bacchus' Banquet,Fréderic Moyersoen,N/A,N/A,N/A,N/A
Outback,Michael Kiesling,N/A,N/A,N/A,N/A
Crown of Roses,Stephen A. Cuyler,N/A,N/A,N/A,N/A
Knee Deep in Hexes,Marcel Kraatz,N/A,N/A,N/A,N/A
Zeppelin Raider: Imperial German Naval Airships,Gregory M. Smith,N/A,N/A,N/A,N/A
Pack of Heroes,Phil Walker-Harding,N/A,N/A,N/A,N/A
"Narvik: The Campaign in Norway, 1940",Frank Chadwick,N/A,N/A,N/A,N/A
DruidenWalzer,Michael Rieneck,N/A,N/A,N/A,N/A
La Grande Guerre 14-18,Bruno de Scorraille,Philippe Thibaut,N/A,N/A,N/A
Warhammer Underworlds: Two-Player Starter Set,N/A,N/A,N/A,N/A,N/A
KINMO,Bruss Brussco,N/A,N/A,N/A,N/A
Flowar,Isra C.,Shei S.,N/A,N/A,N/A
Limits,Uwe Rosenberg,N/A,N/A,N/A,N/A
Priorities,N/A,N/A,N/A,N/A,N/A
Jeff Davis: The Confederacy at War,Ben Madison,N/A,N/A,N/A,N/A
Defense Grid: The Board Game,Anthony Hanses,N/A,N/A,N/A,N/A
Dungeons of Doria,Viktor Ahrens,N/A,N/A,N/A,N/A
Klaverjassen,(Uncredited),N/A,N/A,N/A,N/A
Kingdom Run,Eric Claverie,N/A,N/A,N/A,N/A
We're Sinking!,Joseph Frederick,N/A,N/A,N/A,N/A
Ancients,William L. Banks,N/A,N/A,N/A,N/A
Pengoloo,Thierry Denoual,N/A,N/A,N/A,N/A
Prolix,Gil Hova,N/A,N/A,N/A,N/A
The New Dungeon!,Jeff Grubb,David R. Megarry,Steve Winter,N/A,N/A
Alexander the Great: Birth of an Empire,Ronald Hofstätter,Dietmar Keusch,N/A,N/A,N/A
Wrong Chemistry,Tony Cimino,N/A,N/A,N/A,N/A
Heroes: Write & Conquer,Egor Nikolaev,Yuri Zhuravljov,N/A,N/A,N/A
"'Wacht am Rhein': The Battle of the Bulge, 16 Dec 44 – 2 Jan 45",Joseph M. Balkoski,Jim Dunnigan,Redmond A. Simonsen,N/A,N/A
Waterloo 1815: Fallen Eagles II,Walter Vejdovsky,N/A,N/A,N/A,N/A
Caretos,Paulo Pereira,N/A,N/A,N/A,N/A
Alpujarras,Steve Finn,N/A,N/A,N/A,N/A
Storm Over Normandy,Ken Dunn,Nick Richardson,Brian Youse,N/A,N/A
Mountain 53,Carlo A. Rossi,N/A,N/A,N/A,N/A
Ruins: Death Binder,Marek Vogelsinger,N/A,N/A,N/A,N/A
Kombo Klash!,"""Nero"" Ondrej Sova",N/A,N/A,N/A,N/A
Ausgerechnet Buxtehude,Bernhard Lach,Uwe Rapp,N/A,N/A,N/A
The Phantom League,Ren Multamäki,N/A,N/A,N/A,N/A
Wildtails: A Pirate Legacy,Dustin Dobson,Milan Zivkovic,N/A,N/A,N/A
Iron Tide: Panzers in the Ardennes,Nathan Kilgore,N/A,N/A,N/A,N/A
Entrapment,Rich Gowell,N/A,N/A,N/A,N/A
Justice League: Hero Dice – Batman,Andreas Schmidt,N/A,N/A,N/A,N/A
21 Mutinies: Arrr! Edition,Perepau Llistosella,N/A,N/A,N/A,N/A
Pompiers!,Sirou Yamaoka,N/A,N/A,N/A,N/A
King of the Dice: The Board Game,Nils Nilsson,N/A,N/A,N/A,N/A
Heckmeck Junior,Reiner Knizia,N/A,N/A,N/A,N/A
Conejos en el Huerto,Luis Fernando Marcantoni,N/A,N/A,N/A,N/A
7 Ate 9,Maureen Hiron,N/A,N/A,N/A,N/A
Photo Tour: North America,Oleg Meleshin,Eugene Timashov,Yury Yamshchikov,N/A,N/A
Distant Suns,Yeon-Min Jung,Gary Kim,N/A,N/A,N/A
Quando,Reinhard Staupe,Jannik Walter,N/A,N/A,N/A
Crack the Case,Michelle Duval,Robert R. Schoch,N/A,N/A,N/A
Silent War 2.0,Brien J. Miller,N/A,N/A,N/A,N/A
Four Tribes,Jason Glover,N/A,N/A,N/A,N/A
Wings of Glory: WW2 Rules and Accessories Pack,Andrea Angiolino,Pier Giorgio Paglia,N/A,N/A,N/A
Oak & Iron: Core Box,Mike Tunez,N/A,N/A,N/A,N/A
Pick-a-Seal,Torsten Landsvogt,N/A,N/A,N/A,N/A
Spicy Dice,Andy Daniel,N/A,N/A,N/A,N/A
The First World War,Ted Raicer,N/A,N/A,N/A,N/A
Constellations,Dante Lauretta,Ian Zang,N/A,N/A,N/A
Meenakshi Temple,Pavel Atamanchuk,N/A,N/A,N/A,N/A
"October War: Doctrine and Tactics in the Yom Kippur Conflict, 1973",Irad B. Hardy,Tony Merridy,N/A,N/A,N/A
Wings of Glory: Tripods & Triplanes,Andrea Angiolino,Marco Maggi,Francesco Nepitello,N/A,N/A
Genius Star,Aron Lazarus,N/A,N/A,N/A,N/A
Classic Warlord,Mike Hayes,N/A,N/A,N/A,N/A
1850: The MidWest,Bill Dixon,N/A,N/A,N/A,N/A
Lost Lights,Julius Hsu,N/A,N/A,N/A,N/A
"Iron Curtain: Central Europe, 1945-1989",Dean Essig,Carl Fung,N/A,N/A,N/A
Fish 'n' Flip,Kevin Luhn,N/A,N/A,N/A,N/A
Robo Rally: 30th Anniversary,Michael Davis (I),Richard Garfield,N/A,N/A,N/A
Roar and Write!,Carla Kopp,N/A,N/A,N/A,N/A
Chez Goth,Steve Jackson (I),N/A,N/A,N/A,N/A
RONE,Štěpán Štefaník,N/A,N/A,N/A,N/A
Ivion: The Herocrafting Card Game,Aislyn Hall,Aaron Shaw,N/A,N/A,N/A
West of Africa,Martin Schlegel,N/A,N/A,N/A,N/A
Holdfast: EastFront 1941-45,Grant Wylie,Mike Wylie,N/A,N/A,N/A
Insecta: The Ladies of Entomology,Eugeni Castaño,Ferran Renalias,N/A,N/A,N/A
Let's Dig for Treasure,Ben Stoll,N/A,N/A,N/A,N/A
"Fall Blau: Army Group South, June to December 1942",Greg Blanchett,N/A,N/A,N/A,N/A
"Bitter End: Attack to Budapest, 1945",Richard Spence,N/A,N/A,N/A,N/A
Chariots of Rome,Sean Young,N/A,N/A,N/A,N/A
Cape Horn,Thorsten Gimmler,N/A,N/A,N/A,N/A
Era of Inventions,Anthony Daamen,N/A,N/A,N/A,N/A
Adigma,Luis Alfredo Cortés,N/A,N/A,N/A,N/A
Cantaloop: Prequel,Friedemann Findeisen,N/A,N/A,N/A,N/A
Lion of Ethiopia,Michael Duffield,N/A,N/A,N/A,N/A
The Lucky Seven,Zach Barth,N/A,N/A,N/A,N/A
Triplo,Víktor Bautista i Roca,N/A,N/A,N/A,N/A
Honor of the Samurai,Scott Kimball,N/A,N/A,N/A,N/A
Whoosh: Bounty Hunters,Theo K. Mavraganis,N/A,N/A,N/A,N/A
Trick Raiders,N2,N/A,N/A,N/A,N/A
Cat Rescue,Ta-Te Wu,N/A,N/A,N/A,N/A
Rival Realms,Alf Seegert,N/A,N/A,N/A,N/A
Justice League: Hero Dice – Superman,Andreas Schmidt,N/A,N/A,N/A,N/A
Fruitoplay,Romaric Galonnier,Luc Rémond,N/A,N/A,N/A
