Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Anomia 2.0,Andrew Innes,N/A,N/A,N/A,N/A
Macbeth,Enrique Dueñas González,N/A,N/A,N/A,N/A
Show Business,Grzegorz Majewski,N/A,N/A,N/A,N/A
Nevermind The Distraction,A.J. Plank,N/A,N/A,N/A,N/A
Beneath Nexus,Tom Panico,Chris Visco,N/A,N/A,N/A
Table Curling,Christian Vennerød,N/A,N/A,N/A,N/A
Mia,(Uncredited),N/A,N/A,N/A,N/A
Ultimate Werewolf: Whitebox Edition,Ted Alspach,N/A,N/A,N/A,N/A
1830 Cardgame,Dieter Danziger,N/A,N/A,N/A,N/A
The Seven Years War,Joseph Miranda,N/A,N/A,N/A,N/A
The Adventures of Conan,Jack Reda,N/A,N/A,N/A,N/A
Storm of Steel,Joseph Miranda,N/A,N/A,N/A,N/A
Oh Crab!,Bartosz Szopka,Bartłomiej Zielonka,N/A,N/A,N/A
Cartaventura Odyssey: The Treasure of Libertalia,Thomas Dupont,Ophélie Gibert,N/A,N/A,N/A
Clan War,Ken Carpenter,N/A,N/A,N/A,N/A
Tanuki,Cole Smith,N/A,N/A,N/A,N/A
Calypso,Philip Shoptaugh,N/A,N/A,N/A,N/A
Optimus Princeps: Les Guerres Daciques,Patrick Receveur,N/A,N/A,N/A,N/A
Normandie 1944,Eric Teng,N/A,N/A,N/A,N/A
Stichtag,Inka Brand,Markus Brand,Emely Brand,N/A,N/A
Police 07,(Uncredited),N/A,N/A,N/A,N/A
Principles of War: 19th Century,Tom Penn,N/A,N/A,N/A,N/A
"278th Squadron ""The Same 4 Cats"": SM79 Damned Hunchback",Marco Campari,N/A,N/A,N/A,N/A
Morgan's Magic Map,Gian Andrea Cappuzzo,N/A,N/A,N/A,N/A
La Belle Alliance: The Battle of Waterloo,Jay A. Nelson,Kevin Zucker,N/A,N/A,N/A
MAMEY,Kentaro Yazawa (矢沢 賢太郎),N/A,N/A,N/A,N/A
Pyramidion,Yannick Gervais,N/A,N/A,N/A,N/A
"Triumphant Return: The Soviet Liberation of Kiev, November 1943",John Desch,N/A,N/A,N/A,N/A
Okko: Legendary Journey,Pascal Bernard,N/A,N/A,N/A,N/A
Krypto,Daniel Yovich,N/A,N/A,N/A,N/A
Atlantis: Island of Gods,Krzysztof Wolicki,N/A,N/A,N/A,N/A
Sherlock Holmes: The Beginning,Cédric Asna,N/A,N/A,N/A,N/A
Wriggle Roulette,Bruno Faidutti,Jun Sasaki,N/A,N/A,N/A
Lucky First Incense,Chih-Han Yang,N/A,N/A,N/A,N/A
Railroads,Brian Hanrahan,N/A,N/A,N/A,N/A
Der Schatz der 13 Inseln,Marco Teubner,N/A,N/A,N/A,N/A
Empires & Alliances,Rob Beyma,N/A,N/A,N/A,N/A
East & West: The Third Mondial War,Marco Donadoni,N/A,N/A,N/A,N/A
À la Food Cart,Jay Yeates,N/A,N/A,N/A,N/A
Cooking Rumble,Emilio Gerardo Estrada Lucero,N/A,N/A,N/A,N/A
Ahoy,Corné van Moorsel,N/A,N/A,N/A,N/A
The Quest for Shangri-La,Nathan Andren,"Robert ""Jumpsteady"" Bruce",N/A,N/A,N/A
Port Stanley: Battle for the Falklands,Jim Hind,Roger Nord,Albert C. E. Parker,N/A,N/A
Eat Zem All,Loïc Lamy,N/A,N/A,N/A,N/A
Warmaster,Jervis Johnson,N/A,N/A,N/A,N/A
Star Wars PocketModel TCG,Mike Elliott,Ethan Pasternack,N/A,N/A,N/A
War of the Three Kingdoms,KayaK,N/A,N/A,N/A,N/A
Communist Cats,Greg Dyson,N/A,N/A,N/A,N/A
Owl About,Tom Matsuoka,N/A,N/A,N/A,N/A
Wargame Design,Richard H. Berg,Jim Dunnigan,David C. Isby,Stephen B. Patrick,Redmond A. Simonsen
Brandubh,(Uncredited),N/A,N/A,N/A,N/A
Neolithibum,Harald Bilz,Peter Gutbrod,N/A,N/A,N/A
Wintergewitter,Mark Stille,N/A,N/A,N/A,N/A
Hunt A Killer: Dead Below Deck,K.C. Chaney,N/A,N/A,N/A,N/A
NXS,Kevin Kane,N/A,N/A,N/A,N/A
Seekrieg (Fourth Edition),Jack L. Joyner,R. A. Nadeau,Richard Sartore,N/A,N/A
Happy Dim Sum,Daniel Wong,N/A,N/A,N/A,N/A
For the Crown,Jeremy Lennert,N/A,N/A,N/A,N/A
Pigment,Michael Epstein,N/A,N/A,N/A,N/A
BattleTech: Battletroops,"L. Ross Babcock, III",Sam Lewis,Jordan Weisman,N/A,N/A
300: The Board Game,Andrew Parks,N/A,N/A,N/A,N/A
Goblin Market,P. D. Magnus,N/A,N/A,N/A,N/A
L'osti d'jeu,Joël Gagnon,Marie-Ève Lupien,N/A,N/A,N/A
Harry Potter: Catch the Snitch,Gonzo Bríos,Jose M. Caballero Delso,Sergio García Vicente,N/A,N/A
Nile Artifacts,Matthew Dunstan,Brett J. Gilbert,N/A,N/A,N/A
The Butterfly Garden (Second Edition),Steve Finn,N/A,N/A,N/A,N/A
"Agricola: Roman Campaign in Britain, AD 82-84",Joseph Miranda,N/A,N/A,N/A,N/A
The Crew: Family Adventure,Thomas Sing,N/A,N/A,N/A,N/A
Pitstop,Spartaco Albertarelli,Angelo Zucca,N/A,N/A,N/A
Discretion,Brian Astle,Christopher Gallagher,N/A,N/A,N/A
McJohny's,Jan Vaněček,N/A,N/A,N/A,N/A
Hey Robot,Frank Lantz,Hilary Lantz,James Lantz,Mara Lantz,N/A
Librium,Steve Howe,N/A,N/A,N/A,N/A
Cuboro Tricky Ways,Johannes Guischard,N/A,N/A,N/A,N/A
NATO Division Commander,Jim Dunnigan,N/A,N/A,N/A,N/A
In this way I become a DICTATOR,あまおち総統 (Amaochi Rin),N/A,N/A,N/A,N/A
Rick and Morty: The Morty Zone Dice Game,Matt Hyra,Cory Jones,N/A,N/A,N/A
DOUC Kids,Noël Campana,N/A,N/A,N/A,N/A
Something Wild! Star Wars Original Trilogy: Darth Vader,Funko Games,N/A,N/A,N/A,N/A
August Fury: The Second Battle of Manassas,Dean Essig,David A. Powell,N/A,N/A,N/A
Red Peak,Carlo A. Rossi,N/A,N/A,N/A,N/A
Bolt Action: Assault on Normandy,Alessio Cavatore,Rick Priestley,N/A,N/A,N/A
"Fire in the Steppe: Battles in Ukraine, 1941 – A Panzer Grenadier Game",Michael Bennighof,Daniel Rouleau,Matthew Ward,N/A,N/A
Obama Llama 2,Matt Edmondson,N/A,N/A,N/A,N/A
Connecto,Olivier Mahy,N/A,N/A,N/A,N/A
Double Shutter,Thierry Denoual,N/A,N/A,N/A,N/A
Die verzauberten Rumpelriesen,Carlo Emanuele Lanzavecchia,Walter Obert,N/A,N/A,N/A
My Word!,Reiner Knizia,N/A,N/A,N/A,N/A
Der König des Waldes,Louis Borchert,N/A,N/A,N/A,N/A
The Black Prince,Robert G. Markham,N/A,N/A,N/A,N/A
Monkey Dash,Rob Fisher,N/A,N/A,N/A,N/A
Gladiator Gauntlet,Michael Sewall,N/A,N/A,N/A,N/A
Hundred Acre Wood Fluxx,Andrew Looney,N/A,N/A,N/A,N/A
Auf Kurs,Reinhold Wittig,N/A,N/A,N/A,N/A
White Hat,Thomas Klausner,Ren Multamäki,N/A,N/A,N/A
Nagashino 1575 & Shizugatake 1583,Philippe Hardy,N/A,N/A,N/A,N/A
Power Rangers: Deck-Building Game – Zeo: Stronger Than Before,Matt Hyra,T. C. Petty III,N/A,N/A,N/A
Red Vengeance,William Sariego,N/A,N/A,N/A,N/A
