Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Grave Robbers II: Skippy's Revenge,Stephen Tassie,N/A,N/A,N/A,N/A
"Blitzkrieg Commander: Fast-Play Tabletop Wargame Rules for Combined-Arms Operations, 1936-45",Peter Jones (I),N/A,N/A,N/A,N/A
"Champion Hill: May 16th, 1863 – The Road to Vicksburg",Dean Essig,Ken Jacobsen,N/A,N/A,N/A
Imperialism: Road to Domination,Konrad Perzyna,N/A,N/A,N/A,N/A
Sherlock: La copia,Martí Lucas Feliu,Josep Izquierdo Sánchez,N/A,N/A,N/A
D-Day Dice Pocket,Emmanuel Aquin,N/A,N/A,N/A,N/A
Kyoto,Sabine Harrer,Johannes Krenner,N/A,N/A,N/A
Sisimizi,Alex Randolph,N/A,N/A,N/A,N/A
Soulaween,Shi Chen,N/A,N/A,N/A,N/A
Salem,Joshua Gerald Balvin,N/A,N/A,N/A,N/A
Diceborn Heroes,Keith Donaldson,N/A,N/A,N/A,N/A
Rick and Morty: Anatomy Park – The Game,Matt Hyra,N/A,N/A,N/A,N/A
Zombie Dawn,Pere Valero,Ramón Vargas,N/A,N/A,N/A
Entropy: Worlds Collide,Allen Chang,Alannah Kearney,N/A,N/A,N/A
Absolute Victory: World Conflict 1939-1945,Wes Erni,Ben Madison,N/A,N/A,N/A
Test of Honour: The Samurai Miniatures Game,Graham Davey,Andy Hobday,N/A,N/A,N/A
Drachenturm,Carlo A. Rossi,N/A,N/A,N/A,N/A
High Noon Saloon,Cliff Bohm,Geoff Bottone,N/A,N/A,N/A
Michael,Alessandro Manuini,Jonathan Panada,Laura Severino,Giulia Tamagni,N/A
"Across The Narva: The Soviet Assault on Estonia, February 1944",Stefan Ekström,N/A,N/A,N/A,N/A
Dungeons & Dragons: Onslaught,Alex Davy,Travis Severance,Nicholas Yu,N/A,N/A
Warhammer: The Game of Fantasy Battles (7th Edition),Alessio Cavatore,Graham Davey,Dominic Murray,Gavin Thorpe,Jeremy Vetock
Stomple,Greg Zima,N/A,N/A,N/A,N/A
Moonstone,Tom Greenway,N/A,N/A,N/A,N/A
Master of Wills,Randy Van Gelder,N/A,N/A,N/A,N/A
Quiztopia,Marc-Uwe Kling,N/A,N/A,N/A,N/A
Soldier Kings: The Seven Years War Worldwide,Robert G. Markham,N/A,N/A,N/A,N/A
An den Ufern des Nils,Hanno Kuhn,Wilfried Kuhn,N/A,N/A,N/A
Fear God & Dread Nought,Larry Bond,Chris Carlson,Michael Harris,Ed Kettler,N/A
Riddle of the Ring,John Califf III,William A. Walker,N/A,N/A,N/A
Blooms,Nick Bentley,N/A,N/A,N/A,N/A
Monster Factory,Nina Paley,Donald X. Vaccarino,N/A,N/A,N/A
KAPOW! Volume 1,Larry Bogucki,Robert Dougherty,Douglas Hettrick,Carl Van Ostrand,N/A
Complots 2,Rikki Tahta,N/A,N/A,N/A,N/A
The Gardens,Matthew Dunstan,Brett J. Gilbert,N/A,N/A,N/A
Battle for Germany: Deluxe Edition,Jim Dunnigan,N/A,N/A,N/A,N/A
Warriors & Traders,Andrei Novac,N/A,N/A,N/A,N/A
Ghosts Love Candy,Danny Devine,N/A,N/A,N/A,N/A
Dungeon of Fortune,Ken Gruhl,Quentin Weir,N/A,N/A,N/A
The Great War in Europe,Ted Raicer,N/A,N/A,N/A,N/A
Pacific Victory: Pacific Theater of WW2 – Second Edition,Tom Dalgliesh,N/A,N/A,N/A,N/A
String Railway: Transport,Hisashi Hayashi,N/A,N/A,N/A,N/A
Zitternix,Heinz Meister,N/A,N/A,N/A,N/A
Bloodstones,Martin Wallace,N/A,N/A,N/A,N/A
The Lion Guard: Protect the Pride Lands,Forrest-Pruzan Creative,N/A,N/A,N/A,N/A
EVE: Conquests,Pétur Örn Þórarinsson,N/A,N/A,N/A,N/A
Farmerama,Uwe Rosenberg,N/A,N/A,N/A,N/A
Aerodrome,Stanley Kubiak,Winston J. Kubiak,N/A,N/A,N/A
Leros,Dean Essig,Dave Friedrichs,N/A,N/A,N/A
Au fil de l'épée,Frédéric Bey,N/A,N/A,N/A,N/A
Combi-Nations,Peter Joustra,Corné van Moorsel,N/A,N/A,N/A
High Score,Ángel Lucas,N/A,N/A,N/A,N/A
Cronberg,Tobias Goslar,Roland Goslar,N/A,N/A,N/A
Farben,Apolline Jove,N/A,N/A,N/A,N/A
Card City,Alban Viard,N/A,N/A,N/A,N/A
Sock Monsters,Liesbeth Bos,Anja Dreier-Brückner,N/A,N/A,N/A
Master Merchant,Seiji Kanai,N/A,N/A,N/A,N/A
The Battle of Monmouth,Richard Kane,N/A,N/A,N/A,N/A
Funkoverse Strategy Game: Golden Girls 101,Prospero Hall,N/A,N/A,N/A,N/A
Circus Minimus,Dean Essig,N/A,N/A,N/A,N/A
Looting London,Reiner Knizia,N/A,N/A,N/A,N/A
Dig Down Dwarf,Jason Glover,N/A,N/A,N/A,N/A
Havalandi,Reiner Knizia,N/A,N/A,N/A,N/A
Buffalo Chess,Alex Randolph,N/A,N/A,N/A,N/A
Fairy Tale Fluxx,Andrew Looney,N/A,N/A,N/A,N/A
Tetris Link,(Uncredited),N/A,N/A,N/A,N/A
Cassino '44: Gateway to Rome,Michael Bennighof,David Murray (II),N/A,N/A,N/A
POW!,Reiner Knizia,N/A,N/A,N/A,N/A
New England Railways,John Bohrer,Martin Wallace,N/A,N/A,N/A
Martial Art,Adrian Marrs,Jonathan Ruland,N/A,N/A,N/A
Roll 'em Fold 'em,Ralph Querfurth,Klaus-Jürgen Wrede,N/A,N/A,N/A
Don't Let It Die,Dustin Hendrickson,N/A,N/A,N/A,N/A
Warparty,Larry Bogucki,Jonathan Martel,Chris Orszak,Hal von Hofe,N/A
Anno Domini: Frauen,Urs Hostettler,N/A,N/A,N/A,N/A
All is lost save Honour: Campaigns of the Italian Wars 1494-1530 – Vol.1,Nicola Contardi,N/A,N/A,N/A,N/A
Tonari,Bruno Faidutti,Alex Randolph,N/A,N/A,N/A
Saipan: The Bloody Rock,Ross Mortell,Adam Starkweather,N/A,N/A,N/A
Diavolo,Corentin Lebrat,Gilles Lehmann,N/A,N/A,N/A
Rise of the Zombies!,Dan Verssen,N/A,N/A,N/A,N/A
Tortuga,Vincent Everaert,N/A,N/A,N/A,N/A
