Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Assault on Doomrock: Ultimate Edition,Tom Stasiak,N/A,N/A,N/A,N/A
Royal Tank Corps,Ted Raicer,N/A,N/A,N/A,N/A
Invasion 1066: Stamford Bridge,Norman Smith,N/A,N/A,N/A,N/A
Sensor Ghosts,Janice Turner,Stu Turner,N/A,N/A,N/A
Africa Orientale,Jeff Brown (I),N/A,N/A,N/A,N/A
Warsaw Pact,Stephen V. Cole,N/A,N/A,N/A,N/A
Gummiland,Marco Teubner,N/A,N/A,N/A,N/A
Sleeping Queens 2: The Rescue,Miranda Evarts,N/A,N/A,N/A,N/A
Misión Rescate,Mourad Khiar,Amélie Pariente,N/A,N/A,N/A
Midhalla,Eike J. Meyer,Michael Meyer,N/A,N/A,N/A
Warhamster Rally,Frank Branham,N/A,N/A,N/A,N/A
Carrier Battlegroup: Solitaire,Joseph Miranda,N/A,N/A,N/A,N/A
Napoleon's Conquests,Bruno Lamotte,N/A,N/A,N/A,N/A
BattleTech: Battleforce,"L. Ross Babcock, III",Cory Glaberson,Jordan Weisman,N/A,N/A
Fjordar,Frode Brændø,N/A,N/A,N/A,N/A
The Butterfly Garden (Second Edition),Steve Finn,N/A,N/A,N/A,N/A
