Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Le Gang des Traction-Avant,Serge Laget,Alain Munoz,N/A,N/A,N/A
Web of Gold,Nik Sewell,N/A,N/A,N/A,N/A
Wyścig Odkrywców,Jaroslaw Bilinski,N/A,N/A,N/A,N/A
Lumberjack,Alan R. Moon,Aaron Weissblum,N/A,N/A,N/A
WonderZoo,Florian Fay,N/A,N/A,N/A,N/A
Uncharted Stars,Scott Almes,N/A,N/A,N/A,N/A
Dark Souls: The Board Game – Painted World of Ariamis,Mat Hart,Richard Loxam,Sherwin Matthews,N/A,N/A
Paradux,(Uncredited),N/A,N/A,N/A,N/A
RobotLab: The Card Game,Adam McCrimmon,N/A,N/A,N/A,N/A
Менестрели (Minstrels),Evgeny Petrov,N/A,N/A,N/A,N/A
Maya,Alberto Branciari,Andrea Mainini,N/A,N/A,N/A
Dragoon: Heads Will Roll,Alex Cutler,Matt Fantastic,N/A,N/A,N/A
Atlandice,Shaun Graham,Scott Huntington,N/A,N/A,N/A
Bingolino,Günter Burkhardt,Elisabeth Burkhardt,N/A,N/A,N/A
Sink N' Sand,N/A,N/A,N/A,N/A,N/A
Sau Mau Mau,Klaus Kreowski,N/A,N/A,N/A,N/A
"The Franco-Prussian War: August 1 to September 2, 1870",Jim Dunnigan,Phil Orbanes Sr.,Redmond A. Simonsen,N/A,N/A
Chronos Conquest,Guillaume Aubrun,N/A,N/A,N/A,N/A
Waterloo: The Last Great Battle,Marco Donadoni,N/A,N/A,N/A,N/A
Andoria Battlefields,Wisam El-Rachid,Al Vice,N/A,N/A,N/A
Schlock Mercenary: Capital Offensive,Kevin G. Nunn,N/A,N/A,N/A,N/A
Red Star Falling,Kenneth Kaufman,N/A,N/A,N/A,N/A
Obama Llama,Matt Edmondson,N/A,N/A,N/A,N/A
Korea '95,Charles T. Kamps,N/A,N/A,N/A,N/A
Shafausa,Christophe Borgeat,N/A,N/A,N/A,N/A
Trüffel-Schnüffel,Markus Nikisch,N/A,N/A,N/A,N/A
tak•tak,Rich Zeglovitch,N/A,N/A,N/A,N/A
Feuding Foodies,(Uncredited),N/A,N/A,N/A,N/A
Four Taverns,Mike Richie,N/A,N/A,N/A,N/A
Quickword: The Ultimate Word Game,S. E. McDonald,H. E. McDonald,N/A,N/A,N/A
Avalanche at Yeti Mountain,Matt Wolfe,N/A,N/A,N/A,N/A
Asterix & Obelix: Das große Abenteuer,Michael Rieneck,N/A,N/A,N/A,N/A
Pets,Florian Racky,N/A,N/A,N/A,N/A
Couch Skeletons,The Dusty Tophat,N/A,N/A,N/A,N/A
Pictopia: Star Wars Edition,N/A,N/A,N/A,N/A,N/A
Squirrel Away,Nathan Zweers,N/A,N/A,N/A,N/A
Echt Spitze,Ralph Querfurth,Klaus-Jürgen Wrede,N/A,N/A,N/A
Labyrinth: The Paths of Destiny,Kamil Matuszak,Mateusz Pronobis,N/A,N/A,N/A
Double Double Dominoes,Seth Johnson,Jordan Weisman,N/A,N/A,N/A
Feast & Famine,Jason Conforto,N/A,N/A,N/A,N/A
Farkle,Charlie Potter,N/A,N/A,N/A,N/A
Crisis 2020,Joseph Miranda,N/A,N/A,N/A,N/A
NanoBot Battle Arena,Benji Michalek,N/A,N/A,N/A,N/A
Bitten,Benjamin Kanelos,N/A,N/A,N/A,N/A
7 pecados,Hugo Jiménez,N/A,N/A,N/A,N/A
Invasion Pearl Harbor,Adrian McGrath,Chris Smith,N/A,N/A,N/A
