Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
"Treasure, Ready, Go!",Roberto Fraga,N/A,N/A,N/A,N/A
Hoyuk,Pierre Canuel,N/A,N/A,N/A,N/A
Steamopolis,Gerhard Hecht,N/A,N/A,N/A,N/A
Anima: Shadow of Omega,Anima Studio,N/A,N/A,N/A,N/A
Looney Tunes Mayhem,Alexio Schneeberger,N/A,N/A,N/A,N/A
Hearts of AttrAction,Jeff Glickman,N/A,N/A,N/A,N/A
Gnostica,John Cooper,Jacob Davenport,Kory Heath,Kristin Matherly,N/A
Dark Minions,Al Newman,N/A,N/A,N/A,N/A
Rob 'n Run,Michael Luu,N/A,N/A,N/A,N/A
Trellis,Teale Fristoe,N/A,N/A,N/A,N/A
"Outreach: The Conquest of the Galaxy, 3000AD",Irad B. Hardy,N/A,N/A,N/A,N/A
"Borodino: Battle of the Moskova, 1812",Richard H. Berg,N/A,N/A,N/A,N/A
Button Men: Beat People Up,James Ernest,N/A,N/A,N/A,N/A
El Club de los Martes,José Carlos de Diego Guerrero,N/A,N/A,N/A,N/A
Relikt,Rüdiger Dorn,N/A,N/A,N/A,N/A
Guderian's Blitzkrieg: The Drive on Moscow,Dean Essig,N/A,N/A,N/A,N/A
BOO,Chris Handy (I),N/A,N/A,N/A,N/A
Qwixx On Board,Steffen Benndorf,Reinhard Staupe,N/A,N/A,N/A
The Hills Rise Wild!,Jesper Myrfors,John Scott Tynes,N/A,N/A,N/A
France 1944: The Allied Crusade in Europe – Designer Signature Edition,Mark Herman,N/A,N/A,N/A,N/A
Samurai Blades: The Game of Man-to-Man Combat in Feudal Japan,Peter O'Toole,Alan Paull,N/A,N/A,N/A
Pitch Out,Adrien Charles,N/A,N/A,N/A,N/A
The Same Game,Wolfgang Warsch,N/A,N/A,N/A,N/A
Papageno,Kevin Kim,N/A,N/A,N/A,N/A
Les Quatre-Bras & Waterloo 1815: The Empire's Final Blows,Frédéric Bey,N/A,N/A,N/A,N/A
Circle of Life,Nick Bentley,N/A,N/A,N/A,N/A
Rome: City of Marble,Brett Myers,N/A,N/A,N/A,N/A
Pirates of Nassau,Richard Glazer,Tom Merrigan,Gabrio Tolentino,N/A,N/A
Skyliners,Gabriele Bubola,N/A,N/A,N/A,N/A
Borderlands: Mister Torgue's Arena of Badassery,John Cadice,John Kovaleski,N/A,N/A,N/A
Wrong Party,N/A,N/A,N/A,N/A,N/A
Briscola Chiamata,N/A,N/A,N/A,N/A,N/A
Helsinki 1918: German Intervention in the Finnish Civil War,Hannu Uusitalo,N/A,N/A,N/A,N/A
Gloomholdin',Joe Klipfel,N/A,N/A,N/A,N/A
Modern Naval Battles: Global Warfare,Dan Verssen,N/A,N/A,N/A,N/A
Lone Sherman: A Solitaire Wargame,Mike Lambo,N/A,N/A,N/A,N/A
Masters of Mutanite,Andrew Federspiel,N/A,N/A,N/A,N/A
Bluffer,Gilles Monnet,N/A,N/A,N/A,N/A
Aladdin's Dragons,Richard Breese,N/A,N/A,N/A,N/A
Escalation!,Reiner Knizia,N/A,N/A,N/A,N/A
The Battles of Waterloo,Richard H. Berg,N/A,N/A,N/A,N/A
Heroes,Adam Kwapiński,N/A,N/A,N/A,N/A
Freebooter's Fate,Werner Klocke,N/A,N/A,N/A,N/A
"Barbarian, Kingdom & Empire",Erik Wilson,N/A,N/A,N/A,N/A
The Supershow,Steve Resk,N/A,N/A,N/A,N/A
Executive Decision,Sid Sackson,N/A,N/A,N/A,N/A
Hispania,Andreas Steding,N/A,N/A,N/A,N/A
Premières Gloires,Frédéric Bey,N/A,N/A,N/A,N/A
Pralaya,Y. Ohashi,N/A,N/A,N/A,N/A
Na Grunwald: Rycerze króla Jagiełły,Filip Miłuński,N/A,N/A,N/A,N/A
La Bataille de Corunna-Espagnol,J. Thomas Bailey,N/A,N/A,N/A,N/A
Coral Sea: Campaign Commander Series,Francisco Ronco,N/A,N/A,N/A,N/A
Sock Monsters,Liesbeth Bos,Anja Dreier-Brückner,N/A,N/A,N/A
Mars Attacks: The Dice Game,Samuel Mitschke,Philip Reed,N/A,N/A,N/A
The Mob,Mark Caines,Anthony Watts,N/A,N/A,N/A
Blood & Plunder: Rulebook,Michael Tuñez,Mike Tunez,N/A,N/A,N/A
Zargo's Lords: Magic Duels for World Power,Marco Donadoni,N/A,N/A,N/A,N/A
Black DOG,Johannes Schmidauer-König,N/A,N/A,N/A,N/A
Rory's Story Cubes: Batman,Rory O'Connor,N/A,N/A,N/A,N/A
Arcane Legions,Tyler Bielman,Jonathon Loucks,Ethan Pasternack,Jordan Weisman,N/A
Adventure Realms,Peter Jank,N/A,N/A,N/A,N/A
Awkward Guests 2: The Berwick Cases,Ron Gonzalo García,Paz Navarro Moreno,N/A,N/A,N/A
Union Station,Travis D. Hill,N/A,N/A,N/A,N/A
Meridian,Leo Colovini,N/A,N/A,N/A,N/A
24/7: The Game,Carey Grayson,N/A,N/A,N/A,N/A
Pathfinder,Mark Berger,Edith Grein-Böttcher,N/A,N/A,N/A
Exchange,Eric Sillies,N/A,N/A,N/A,N/A
Blocks in the West,Emanuele Santandrea,N/A,N/A,N/A,N/A
Blitzkrieg,Larry Pinsky,Thomas N. Shaw,N/A,N/A,N/A
Doom of the Eldar,Jervis Johnson,N/A,N/A,N/A,N/A
Camel Up: The Card Game,Steffen Bogen,N/A,N/A,N/A,N/A
Drachenhort,Reiner Knizia,N/A,N/A,N/A,N/A
Stonewall: The Battle of Kernstown,Mark Herman,N/A,N/A,N/A,N/A
La Bataille d'Espagnol: Talavera,Monte Mattson,Dennis A. Spors,Ed Wimble,N/A,N/A
Trötofant,Roberto Fraga,N/A,N/A,N/A,N/A
Ore: The Mining Game,Joseph W. McClintock,Jason Lyle Steingisser,N/A,N/A,N/A
Throneworld,Thomas Lehmann,N/A,N/A,N/A,N/A
Albion,Klaus-Jürgen Wrede,N/A,N/A,N/A,N/A
Decipher,Bill Eberle,Peter Olotka,Greg Olotka,N/A,N/A
Overstocked,Mandela Fernandez-Grandon,N/A,N/A,N/A,N/A
Space Lunch,Simona Greco,Marco Rava,N/A,N/A,N/A
Almeida et Bussaco 1810,Frédéric Bey,N/A,N/A,N/A,N/A
Omen: Heir to the Dunes,John Clowdus,N/A,N/A,N/A,N/A
Take the Gold,Ali Hajighafouri,N/A,N/A,N/A,N/A
Monsters vs. Heroes: Victorian Nightmares,Enrique Dueñas González,N/A,N/A,N/A,N/A
Ecogon,Micha Reimer,N/A,N/A,N/A,N/A
Odyssey: Wrath of Poseidon,Leo Colovini,N/A,N/A,N/A,N/A
Race to Berlin,Krzysztof Dytczak,N/A,N/A,N/A,N/A
Quinamid,Antony Brown,N/A,N/A,N/A,N/A
Channel A,Ewen Cluney,N/A,N/A,N/A,N/A
S.P.Q.RisiKo!,Spartaco Albertarelli,N/A,N/A,N/A,N/A
Spicy Dice,Andy Daniel,N/A,N/A,N/A,N/A
Trivial Pursuit: Bet You Know It,(Uncredited),N/A,N/A,N/A,N/A
"The Supreme Commander: World War II in Europe, 1939-1945",Danny Holte,N/A,N/A,N/A,N/A
Last Stand: The Battle for Moscow 1941-42,Masahiro Yamazaki,N/A,N/A,N/A,N/A
Jungle Rumble,Nightsorrow Chou,Eros Lin,Zeldaaa Ling,N/A,N/A
Antiquity Quest,Jessica Beck,Harrison Beck,N/A,N/A,N/A
Blend Coffee Lab.,Saashi,N/A,N/A,N/A,N/A
"Across The Narva: The Soviet Assault on Estonia, February 1944",Stefan Ekström,N/A,N/A,N/A,N/A
Roller Coaster Tycoon,Craig Van Ness,N/A,N/A,N/A,N/A
Battle Over Britain,John H. Butterfield,N/A,N/A,N/A,N/A
Star Fleet Battle Force,Stephen V. Cole,N/A,N/A,N/A,N/A
"Victory in the West: Plan Yellow, The French Campaign 1940",David James Ritchie,N/A,N/A,N/A,N/A
Tucana Builders,Kristian Amundsen Østby,Eilif Svensson,N/A,N/A,N/A
Infiltraitors,John Kean,Liam Kean,N/A,N/A,N/A
Pokémon Master Trainer,Koichi Ooyama,Bill Sabram,N/A,N/A,N/A
Cantaloop: Prequel,Friedemann Findeisen,N/A,N/A,N/A,N/A
Exposed,Brian Henk,Clayton Skancke,N/A,N/A,N/A
Kombo Klash!,"""Nero"" Ondrej Sova",N/A,N/A,N/A,N/A
Pitchstorm,Ben Kepner,N/A,N/A,N/A,N/A
Taiwan Night Market,Zong-Ger(蔥哥),N/A,N/A,N/A,N/A
