Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Judgement: Eternal Champions,Gunmeister Games,N/A,N/A,N/A,N/A
S.F.3.D. Original,Yasunori Sekiyama,N/A,N/A,N/A,N/A
Kang,Claude Leroy,N/A,N/A,N/A,N/A
Timeline Twist,Frédéric Henry,Corey Konieczka,N/A,N/A,N/A
Hop! Hop! Hop!,Monica San Cristobal,N/A,N/A,N/A,N/A
Rubber Paper Scissors,Leon Liu,Anthony Perone,N/A,N/A,N/A
Unlock! Kids: Cocow Island,Cyril Demaegd,Marie Fort,Wilfried Fort,N/A,N/A
Strand unter,Christian Raczek,N/A,N/A,N/A,N/A
Once Upon a Line,William Aubert,Dan Thouvenot,N/A,N/A,N/A
Cats,César Gómez Bernardino,N/A,N/A,N/A,N/A
D-Day: The Great Crusade,Danny Holte,N/A,N/A,N/A,N/A
Gemini Gauntlet,Josh Derksen,N/A,N/A,N/A,N/A
"Bloodiest Day: The Battle of Antietam September 17, 1862",Peter Perla,N/A,N/A,N/A,N/A
Rescue Animals,Przemek Wojtkowiak,N/A,N/A,N/A,N/A
Purzelbaum,Harald Fecher,Thomas Liesching,N/A,N/A,N/A
Avanti mare!,Günter Burkhardt,N/A,N/A,N/A,N/A
Outpost 18,Adam Wilk,N/A,N/A,N/A,N/A
Battles & Leaders: A Game of Tactical Level Combat in the American Civil War 1861-1865,J. Stephen Peek,N/A,N/A,N/A,N/A
Battle for Normandy,(Uncredited),N/A,N/A,N/A,N/A
The Home Stretch,(Uncredited),N/A,N/A,N/A,N/A
Orchard: Memo Game,Anneliese Farkaschovsky,N/A,N/A,N/A,N/A
Hedgehog Hop,Seppy Yoon,N/A,N/A,N/A,N/A
Blacksmiths of Steinnheimr,Nick Daniels,N/A,N/A,N/A,N/A
Flix,Kris Burm,N/A,N/A,N/A,N/A
Rivality,François Bachelart,N/A,N/A,N/A,N/A
Armies of Arcana,Thane Morgan,N/A,N/A,N/A,N/A
H.I.D.E.: Hidden Identity Dice Espionage,Giung Kim,N/A,N/A,N/A,N/A
Aether Captains: The Search,Todd Sanders,N/A,N/A,N/A,N/A
OCEAN: Great Barrier Reef,Michael Løhde Andersen,N/A,N/A,N/A,N/A
Mustangs and Messerschmitts,Rockland Russo,N/A,N/A,N/A,N/A
Amerigo,Din Li Tsan,N/A,N/A,N/A,N/A
The Little Flower Shop Dice Game,Steve Finn,N/A,N/A,N/A,N/A
Marine: 2002 – A Game of the First Lunar War,Kerry Anderson,Michael J. Matheny,N/A,N/A,N/A
The Battle of Shiloh,Richard H. Berg,Jon Southard,N/A,N/A,N/A
Fanhunter: Assault,Francisco Gallego Arredondo,N/A,N/A,N/A,N/A
On to Moscow,Joseph Miranda,N/A,N/A,N/A,N/A
Anyways,Gary Dicken,Steve Kendall,Phil Kendall,N/A,N/A
Tell Tale,Fabien Bleuze,Yves Hirschfeld,N/A,N/A,N/A
Shenandoah: A Civil War Game of the Valley Campaigns – 1862 and 1864,J. Stephen Peek,S. Craig Taylor,N/A,N/A,N/A
Alien Petshop,Gregory Grimsby,N/A,N/A,N/A,N/A
Line or Colour,Néstor Romeral Andrés,N/A,N/A,N/A,N/A
Dice Bazaar,Fedor Sosnin,N/A,N/A,N/A,N/A
Plateau X,Hendrik Simon,N/A,N/A,N/A,N/A
"How to Host a Murder: The Good, The Bad & The Guilty",Neal Shusterman,N/A,N/A,N/A,N/A
Seasons: The Calendar Rummy Game,Rob Martin,Mark Sellmeyer,N/A,N/A,N/A
The Bad Karmas and The Curse of the Zodiac,Davide Garofalo,Riccardo Landi,N/A,N/A,N/A
Scotland Yard Junior,Michael Schacht,N/A,N/A,N/A,N/A
The Red Burnoose: Algeria 1857,Matt Shoemaker,Roberta Taylor,N/A,N/A,N/A
Rats to Riches,Eugene Lim,N/A,N/A,N/A,N/A
Hanna Honeybee,Tim Rogasch,N/A,N/A,N/A,N/A
Jailbreak,Malcolm Goldsmith,Michael Kindred,N/A,N/A,N/A
Judge Dredd: Block War,Herb Ferman,N/A,N/A,N/A,N/A
What's That Sound?,Jonathan Favre-Godal,Corentin Lebrat,N/A,N/A,N/A
Catch Phrase: Uncensored,N/A,N/A,N/A,N/A,N/A
WarChest,Jeff Dee,N/A,N/A,N/A,N/A
Soqquadro,Simone Luciani,Lorenzo Tucci Sorrentino,Daniele Tascini,N/A,N/A
Ice Cream Combo,Chen Po-Chiao,N/A,N/A,N/A,N/A
Donkey: It's a Kick!,Jayne Cleveland,Cleve Cleveland,Claudia Cleveland,N/A,N/A
Bobbidi Boom,Guido Albini,Martino Chiacchiera,N/A,N/A,N/A
Wolkenbruch,Sabrina von Contzen,Hanno von Contzen,N/A,N/A,N/A
Feed the ducks,Néstor Romeral Andrés,N/A,N/A,N/A,N/A
15,Steffen Benndorf,N/A,N/A,N/A,N/A
Emojito!,Urtis Šulinskas,N/A,N/A,N/A,N/A
Addictive Alchemy,David A. Lupo,N/A,N/A,N/A,N/A
Fusion,Reinhard Staupe,N/A,N/A,N/A,N/A
Spinnentwist,Henning Poehl,N/A,N/A,N/A,N/A
Winston,Christoph Cantzler,Anja Wrede,N/A,N/A,N/A
What's That on My Head?,Robert Abbott,N/A,N/A,N/A,N/A
DEFCON 1,Florian Dumont,N/A,N/A,N/A,N/A
Dragon's Ransom,Tony Go,N/A,N/A,N/A,N/A
Stella,David Stennett,N/A,N/A,N/A,N/A
Situation 7,Marvin Glass,N/A,N/A,N/A,N/A
Aurignac,Loïc Lamy,N/A,N/A,N/A,N/A
"25 Words or Less: People, Places and Things Edition",Phil Orbanes Sr.,N/A,N/A,N/A,N/A
Stonehenge and the Sun,Naotaka Shimamoto,N/A,N/A,N/A,N/A
Allies: Realm of Wonder,Mikko Punakallio,Max Wikström,N/A,N/A,N/A
Ruweisat Ridge: The First Battle of El Alamein,Douglas Niles,N/A,N/A,N/A,N/A
Collapse,Jordan Goddard,N/A,N/A,N/A,N/A
duck! duck! SAFARI!,Kevin G. Nunn,N/A,N/A,N/A,N/A
Fish & Katz,Benjamin Leung,N/A,N/A,N/A,N/A
Wir spielen Einkaufen,Marco Teubner,N/A,N/A,N/A,N/A
Dice Wars: Heroes of Polyhedra,Zach Roth,N/A,N/A,N/A,N/A
Pokémon Trading Figure Game,(Uncredited),N/A,N/A,N/A,N/A
Bodyguard Overlord,John Prados,N/A,N/A,N/A,N/A
Kensington,Cielo d'Oro,N/A,N/A,N/A,N/A
Battle Spirits: Trading Card Game,Mike Elliott,N/A,N/A,N/A,N/A
"""I Would Kill Hitler""",(Uncredited),N/A,N/A,N/A,N/A
Buck: Legacy (2nd Edition),Harrison Hochkins,N/A,N/A,N/A,N/A
Kalifiko,Alexis Gravy,N/A,N/A,N/A,N/A
Cock & Bull,Fredrick M. Smith,N/A,N/A,N/A,N/A
The Battle of the Little Big Horn,Eduardo Rojas,N/A,N/A,N/A,N/A
7 Dice Wonders,Konrad Anft,N/A,N/A,N/A,N/A
Monster City Planners,Gary Dahl,N/A,N/A,N/A,N/A
Tutti Frutti,Theora Design,N/A,N/A,N/A,N/A
En Pointe Toujours!,Théophile Monnier,Nicolas Stratigos,N/A,N/A,N/A
Attila: Scourge O'God,Roger Sandell,N/A,N/A,N/A,N/A
In a Flash Firefighters,Rudi Biber,N/A,N/A,N/A,N/A
Murder on the Cosmic Express,Stephen Eckman,N/A,N/A,N/A,N/A
Hérois & Monstros,Rovalde Banchieri,Fabiano Saccol,N/A,N/A,N/A
Dragon Ball Super: Universe Survival,Jonathan Algaze,N/A,N/A,N/A,N/A
Phalanx: Tactical Warfare 500-100 BC,John Young,N/A,N/A,N/A,N/A
Super Camelot,Josh Derksen,Thomas M. Gofton,Aron Murch,N/A,N/A
Erie Railroad,John Bohrer,N/A,N/A,N/A,N/A
Stratego: America's Civil War Collector's Edition,(Uncredited),N/A,N/A,N/A,N/A
Sushi War: All You Can Hit!,Dario Dordoni,N/A,N/A,N/A,N/A
Derby,Benjamín Campos,Adam Swan,N/A,N/A,N/A
Normandy: The Invasion of Europe 1944,Jim Dunnigan,N/A,N/A,N/A,N/A
Beggars and Thieves,(Uncredited),N/A,N/A,N/A,N/A
echoes: Mord auf Ex,Matthew Dunstan,Dave Neale,N/A,N/A,N/A
Know It or Blow It,Garrett J. Donner,Wendy L. Harris,Michael S. Steer,N/A,N/A
Dragon vs Bear: China vs Russia in the 21st Century,Joseph Miranda,N/A,N/A,N/A,N/A
Bangkok,David Paput,Eric Plotton,N/A,N/A,N/A
New Lost Legacy,Seiji Kanai,Hayato Kisaragi,N/A,N/A,N/A
Showdown Yahtzee,(Uncredited),N/A,N/A,N/A,N/A
Guess Who? Extra,(Uncredited),N/A,N/A,N/A,N/A
Fluxx en Español,Andrew Looney,N/A,N/A,N/A,N/A
Bergnein,André Forsblom,Alexander Kandiloros,N/A,N/A,N/A
Triominos Challenge,Allan Cowan,N/A,N/A,N/A,N/A
Kitty Cataclysm,Bez Shahriari,N/A,N/A,N/A,N/A
Paul Koenig's D-Day: Sword and Gold – The British Beaches,Paul Koenig,N/A,N/A,N/A,N/A
Mechaton:  Giant Fighty Robots,D. Vincent Baker,N/A,N/A,N/A,N/A
Papua,Grzegorz Rejchtman,N/A,N/A,N/A,N/A
Qwarks,Gregory Detrez,N/A,N/A,N/A,N/A
Dungeon Plungin',Shaun Austin,P. J. Pieterek,Bobby R. Wallen Jr.,N/A,N/A
Grimoire Shuffle,"D. Brad Talton, Jr.",N/A,N/A,N/A,N/A
