Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Billy Biber,Kai Haferkamp,N/A,N/A,N/A,N/A
Paladin,Spartaco Albertarelli,N/A,N/A,N/A,N/A
ROBiTs,John Hex Carter,Mat Nicholson,N/A,N/A,N/A
Mage Master,Nick Hatzipantelis,N/A,N/A,N/A,N/A
Hero: Immortal King – The Infernal Forge,Emmanuel Beltrando,N/A,N/A,N/A,N/A
Ducklings,N/A,N/A,N/A,N/A,N/A
Arabian Nightmare: The Kuwait War,Austin Bay,A. Davis,Jim Dunnigan,N/A,N/A
Weird Things Humans Search For,(Uncredited),N/A,N/A,N/A,N/A
Akkon: Machtkampf der Tempelritter,Christian Fiore,Knut Happel,N/A,N/A,N/A
Altaria: Clash of Dimensions,Piotr Kubicius,Paweł Siemek,N/A,N/A,N/A
Valhallamas,Bridget Crawford,John Crawford,Matt Keyser,N/A,N/A
Banana Bandits,Edward Chan,N/A,N/A,N/A,N/A
Rice Wars,Wojciech Rzadek,Michał Stachyra,Maciej Zasowski,N/A,N/A
Monopoly: World Cup France '98 Edition,(Uncredited),N/A,N/A,N/A,N/A
Star Wars Force Grab,N/A,N/A,N/A,N/A,N/A
Habitat,Elliot Hogg,N/A,N/A,N/A,N/A
Gone Fishing!,Michael Rieneck,N/A,N/A,N/A,N/A
Star Quest,Glenn Alpaugh,"John R. Doughty, Jr.",N/A,N/A,N/A
Monopoly: Batman & Robin,(Uncredited),N/A,N/A,N/A,N/A
Quarter Horse Racing Game,N/A,N/A,N/A,N/A,N/A
The Rats in the Walls,Henning Poehl,N/A,N/A,N/A,N/A
Pirate Island,David G. Watts,N/A,N/A,N/A,N/A
Überholen ohne Einzuholen,Robert Kurek,N/A,N/A,N/A,N/A
Guile,Justin Schaffer,N/A,N/A,N/A,N/A
The Christmas Game,Jean-Marc Gerbehaye,Reginald Janssens,N/A,N/A,N/A
Sphinx,Gunter Baars,N/A,N/A,N/A,N/A
Stampede!,Karsten Adlung,N/A,N/A,N/A,N/A
Say What You Meme,5th Door Designs,N/A,N/A,N/A,N/A
I Spy Eagle Eye,P. Joseph Shumaker,N/A,N/A,N/A,N/A
The Tick: Hip Deep in Evil!,(Uncredited),N/A,N/A,N/A,N/A
Bulp!,Michele Quondam,N/A,N/A,N/A,N/A
Agentenjagd,(Uncredited),N/A,N/A,N/A,N/A
Beer & Vikings,Matteo Santus,N/A,N/A,N/A,N/A
CIA: Collect It All,Randy Lubin,Michael Masnick,N/A,N/A,N/A
Dart Wars,Pascal Reymond,N/A,N/A,N/A,N/A
Simpsons Trading Card Game,Tyler Bielman,Mike Elliott,James Ernest,Mike Selinker,N/A
Pingo Balance,Gunter Baars,N/A,N/A,N/A,N/A
Like: The Social Game,Marco Almini,Michele Pierangeli,N/A,N/A,N/A
Trivial Pursuit: Party,N/A,N/A,N/A,N/A,N/A
Ultra-Warrior,Thomas Zarbock,N/A,N/A,N/A,N/A
Kaboodl,Janice Ritter,N/A,N/A,N/A,N/A
Jenga Xtreme,(Uncredited),N/A,N/A,N/A,N/A
The Inventors,Marvin Glass,N/A,N/A,N/A,N/A
Star Wars Galactic Heroes Game,(Uncredited),N/A,N/A,N/A,N/A
Bravest Warriors Co-operative Dice Game,Matt Hyra,N/A,N/A,N/A,N/A
Test Match,William Hansen,N/A,N/A,N/A,N/A
Goodnight Moon,Martine Redman,N/A,N/A,N/A,N/A
Army vs. Aliens,Jason Serrato,N/A,N/A,N/A,N/A
Transformers Adventure Game,(Uncredited),N/A,N/A,N/A,N/A
Flume,Mark Steere,N/A,N/A,N/A,N/A
Great States!,(Uncredited),N/A,N/A,N/A,N/A
Monopoly Junior: Toy Story,(Uncredited),N/A,N/A,N/A,N/A
Gurami: das Spiel,Klaus-Peter Rudolph,N/A,N/A,N/A,N/A
"Wake up, Cthulhu!",Miguel Bruque,N/A,N/A,N/A,N/A
Roman Taxi,Jeremy Holcomb,Joseph Huber (II),Stephen McLaughlin,Dan Tibbles,N/A
Scooby-Doo! Haunted House 3D Board Game,N/A,N/A,N/A,N/A,N/A
Yu-Gi-Oh Millennium Game,Brian Yu,N/A,N/A,N/A,N/A
Avatar: The Board Game,Tom Mason,Adam Sadler,N/A,N/A,N/A
Yakari Wettlaufspiel,(Uncredited),N/A,N/A,N/A,N/A
Scrabble Up,Hank Atkins,N/A,N/A,N/A,N/A
Hero: Immortal King – The Lair of the Lich,Emmanuel Beltrando,N/A,N/A,N/A,N/A
WW84: Wonder Woman Card Game,N/A,N/A,N/A,N/A,N/A
Free at Last,Damon Stone,Ted Torgerson,N/A,N/A,N/A
High Five!,Nils van Teijlingen,N/A,N/A,N/A,N/A
Ren Faire,Michelle Nephew,N/A,N/A,N/A,N/A
Dog Eat Dog,Evan Jones,N/A,N/A,N/A,N/A
Dark Side,Reiner Knizia,N/A,N/A,N/A,N/A
Challenge Football,Frederick A. Herschler,N/A,N/A,N/A,N/A
Yo Fui a EGB: El Juego Oficial,N/A,N/A,N/A,N/A,N/A
Le Dernier Peuple,N/A,N/A,N/A,N/A,N/A
Jurassic World Miniature Game,Antonin Barral,N/A,N/A,N/A,N/A
First to Find,Aigar Alaveer,Inga Alaveer,N/A,N/A,N/A
Monster Maker,(Uncredited),N/A,N/A,N/A,N/A
UNO Wild Tiles,(Uncredited),N/A,N/A,N/A,N/A
"Yeti, Set, Go!",N/A,N/A,N/A,N/A,N/A
SharkPark,Piero Cioni,N/A,N/A,N/A,N/A
Komme Gleich,Uwe Rosenberg,N/A,N/A,N/A,N/A
More Dirty Minds,Larry Balsamo,Sandra Bergeson,N/A,N/A,N/A
Busungar,Anders Jeppsson,N/A,N/A,N/A,N/A
Lis Pustyni,Marcin Tomczyk,N/A,N/A,N/A,N/A
Celtic Challenge,(Uncredited),N/A,N/A,N/A,N/A
Sushi Express,Michael Schacht,N/A,N/A,N/A,N/A
Guards! Guards! A Discworld Boardgame,Leonard Boyd,David Brashaw,N/A,N/A,N/A
Água: The Water Cycle,Gil d'Orey,N/A,N/A,N/A,N/A
Incohearent,Elliot Tebele,N/A,N/A,N/A,N/A
Poppa's Pizza Topple,(Uncredited),N/A,N/A,N/A,N/A
The Game of Crown and Anchor,(Uncredited),N/A,N/A,N/A,N/A
Accentuate,Graeme Fraser-Bell,N/A,N/A,N/A,N/A
Colossal Cave: The Board Game,Arthur O'Dwyer,N/A,N/A,N/A,N/A
Word Power,Thomas N. Shaw,N/A,N/A,N/A,N/A
Kto z Kim?,Reiner Knizia,N/A,N/A,N/A,N/A
Dodo,Mark Steere,N/A,N/A,N/A,N/A
Rive,Mark Steere,N/A,N/A,N/A,N/A
Masters of the Universe,Dan Glimne,N/A,N/A,N/A,N/A
Don't Drop the Soap,Martin Bruun Pedersen,N/A,N/A,N/A,N/A
The Game of Life: Fame Edition,Reuben Klamer,N/A,N/A,N/A,N/A
The Emergency! Game,(Uncredited),N/A,N/A,N/A,N/A
Dots,Bernhard Naegele,N/A,N/A,N/A,N/A
Gem Quest,Chris Mirkovich,Derek Sullivan,Lynne Willingham,N/A,N/A
Jumanji,N/A,N/A,N/A,N/A,N/A
The Eagle and the Sun,Mike Crane,Terry R. Shrum,N/A,N/A,N/A
Fairytale Games: The Battle Royale,Alex Lim,N/A,N/A,N/A,N/A
King of the Pitch,Juanrigo,N/A,N/A,N/A,N/A
Batman Begins: Shadow Assault,Brian Yu,N/A,N/A,N/A,N/A
Twilight: The Board Game,Brian David-Marshall,Keith Tralins,Matthew Wang,N/A,N/A
ego,Ian Copple,N/A,N/A,N/A,N/A
Toboggans of Doom,Jeremy Holcomb,Joseph Huber (II),Stephen McLaughlin,Dan Tibbles,N/A
Therapy,Jay Titel,N/A,N/A,N/A,N/A
Scrabble Sentence Cube Game,(Uncredited),N/A,N/A,N/A,N/A
Regidice,Paul Abrahams,N/A,N/A,N/A,N/A
Dixie: The Second War Between the States,Redmond A. Simonsen,N/A,N/A,N/A,N/A
Big Brain Academy Boardgame,(Uncredited),N/A,N/A,N/A,N/A
The Curse of the Ruby Rhino,Ken Brunson,N/A,N/A,N/A,N/A
Flying Hats,(Uncredited),N/A,N/A,N/A,N/A
Vikings: Warriors of the North,Tomasz Kaźmierski,Tomasz Kaznocha,N/A,N/A,N/A
Ostindiska kompaniet,Dan Glimne,N/A,N/A,N/A,N/A
Trivial Pursuit: Disney Edition,(Uncredited),N/A,N/A,N/A,N/A
Danger,Thorsten Löpmann,Andreas Wetter,N/A,N/A,N/A
Color Flush,Vivien Roeltgen,N/A,N/A,N/A,N/A
Igels: Das Kartenspiel,Mario Coopmann,N/A,N/A,N/A,N/A
The Office: Downsizing Game,N/A,N/A,N/A,N/A,N/A
The Game of Life: Spongebob Squarepants Edition,Reuben Klamer,N/A,N/A,N/A,N/A
Count Your Chickens!,Peggy Brown,N/A,N/A,N/A,N/A
Eagle Kingdoms,(Uncredited),N/A,N/A,N/A,N/A
Camp,(Uncredited),N/A,N/A,N/A,N/A
Monopoly: Euro,(Uncredited),N/A,N/A,N/A,N/A
Bop It!,Dan Klitsner,N/A,N/A,N/A,N/A
World War Z: The Game,Logan Anbinder,N/A,N/A,N/A,N/A
Monopoly: French,(Uncredited),N/A,N/A,N/A,N/A
Star Trek: The Next Generation Game of the Galaxies,(Uncredited),N/A,N/A,N/A,N/A
The Game of Life: A Jedi's Path,Rob Daviau,Reuben Klamer,N/A,N/A,N/A
