Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Twilight Imperium: Second Edition,Christian T. Petersen,N/A,N/A,N/A,N/A
Monarch,Mary Flanagan,N/A,N/A,N/A,N/A
Arcana,Damien Desnous,N/A,N/A,N/A,N/A
Imperium: Empires in Conflict – Worlds in the Balance,Frank Chadwick,John Harshman,Marc W. Miller,N/A,N/A
Pecking Order,Richard Garfield,N/A,N/A,N/A,N/A
Voodoo,Francesco Giovo,Marco Valtriani,N/A,N/A,N/A
Road Kill Rally,Daniel A. George (I),N/A,N/A,N/A,N/A
BOOoop.,Scott Brady,N/A,N/A,N/A,N/A
Nuclear Proliferation,Douglas Malewicki,N/A,N/A,N/A,N/A
The Field of the Cloth of Gold,Amabel Holland,N/A,N/A,N/A,N/A
Eschaton,Diha,Petras Vaznelis,Adam Watts,N/A,N/A
Dead Man's Doubloons,Jason Miceli,N/A,N/A,N/A,N/A
Pokémon Trading Card Game Battle Academy,N/A,N/A,N/A,N/A,N/A
The Lord of the Rings Adventure Book Game,Jay Little,Ryan Miller,Marcus Ross,N/A,N/A
Lunar Rails,M. Robert Stribula,N/A,N/A,N/A,N/A
Living Planet,Christophe Boelinger,N/A,N/A,N/A,N/A
Go Away Monster!,Monty Stambler,Ann Stambler,N/A,N/A,N/A
Leaf,Tim Eisner,N/A,N/A,N/A,N/A
Exoplanets,Przemysław Świerczyński,N/A,N/A,N/A,N/A
Monikers: Something Something,Alex Hague,Justin Vickers,N/A,N/A,N/A
Dice Theme Park,Adrian Adamescu,Daryl Andrews,N/A,N/A,N/A
Totaler Krieg!,Alan Emrich,Steve Kosakowski,N/A,N/A,N/A
TAGS,Spartaco Albertarelli,N/A,N/A,N/A,N/A
Fief,Philippe Mouchebeuf,N/A,N/A,N/A,N/A
Anzio: The Struggle for Italy – 1943-1945,Tom Oleson,David Williams (I),N/A,N/A,N/A
Kitara,Eric B. Vogel,N/A,N/A,N/A,N/A
Echidna Shuffle,Kris Gould,N/A,N/A,N/A,N/A
In the Name of Odin,Krzysztof Zięba,N/A,N/A,N/A,N/A
BONK,David Harvey,N/A,N/A,N/A,N/A
Sixth Fleet: Modern Naval Combat in the Mediterranean,Joseph M. Balkoski,N/A,N/A,N/A,N/A
Burke's Gambit,Robert Yates,N/A,N/A,N/A,N/A
