Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Packet Row,Åse Berg,Henrik Berg,N/A,N/A,N/A
Beat That!,Kate Jenkins,Zak Walton,N/A,N/A,N/A
Lift Off! Get me off this Planet!,Eduardo Baraf,N/A,N/A,N/A,N/A
Pacific Ocean,Oleg Meleshin,Yury Yamshchikov,N/A,N/A,N/A
Nanolith,Marc Schwämmlein,Maximilian Witt,N/A,N/A,N/A
Solani,Drake Villareal,N/A,N/A,N/A,N/A
"Here, Kitty, Kitty!",Kris McCardel Ware,N/A,N/A,N/A,N/A
Sound Box,Hjalmar Hach,Lorenzo Silva,N/A,N/A,N/A
Shy Monsters,Sandro Dall'Aglio,N/A,N/A,N/A,N/A
Colorful,OHTANI Tadashi,N/A,N/A,N/A,N/A
Hour of Need,Adam Sadler,Brady Sadler,N/A,N/A,N/A
Journey to the Center of the Earth,Alberto Millán,N/A,N/A,N/A,N/A
Witch Trial,James Ernest,N/A,N/A,N/A,N/A
Guess Club,Sky Huang,N/A,N/A,N/A,N/A
The White Tribe: Rhodesia's War 1966-1980,Ben Madison,Stefan Nellen,N/A,N/A,N/A
SuperGang,Gérard Delfanti,Gérard Mathieu,Pascal Trigaux,N/A,N/A
"Suspects: Claire Harper, Eternal Investigator",Guillaume Montiage,Manuel Rozoy,N/A,N/A,N/A
Outburst!,Brian Hersch,N/A,N/A,N/A,N/A
Cat Blues,Reiner Knizia,N/A,N/A,N/A,N/A
The Third World War: Designer Signature Edition,Frank Chadwick,N/A,N/A,N/A,N/A
Hammer Time,Shaun Graham,Scott Huntington,N/A,N/A,N/A
Piña Pirata,Donald X. Vaccarino,N/A,N/A,N/A,N/A
Tricks and the Phantom,Takashi Saito,N/A,N/A,N/A,N/A
Coralia,Michael Rieneck,N/A,N/A,N/A,N/A
Clue: Discover the Secrets,Rob Daviau,Anthony E. Pratt,N/A,N/A,N/A
Fives,新澤 大樹 (Taiki Shinzawa),N/A,N/A,N/A,N/A
Fleet Commander: 1 – Ignition,Elwin Charpentier,Didier Dincher,N/A,N/A,N/A
Squadro,Adrián Jiménez Pascual,N/A,N/A,N/A,N/A
The Great City of Rome,Matthew Dunstan,Brett J. Gilbert,N/A,N/A,N/A
Hellbringer,Maxime Gauthier,N/A,N/A,N/A,N/A
Potion-Making: Practice,Sergey Machin,N/A,N/A,N/A,N/A
Assassinorum: Execution Force,N/A,N/A,N/A,N/A,N/A
Warfighter Shadow War: The Modern Night Combat Card Game,Dan Verssen,N/A,N/A,N/A,N/A
MammuZ,Nikolay Pegasov,N/A,N/A,N/A,N/A
