Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Super Hazard Quest,Ben Famiglietti,Mike Mendizabal,N/A,N/A,N/A
Four Elements,Robert Murelli,N/A,N/A,N/A,N/A
ExoBase,Mike Berg,N/A,N/A,N/A,N/A
Ynaros Fallin',Luca Sanfilippo,Ugo Tomasello,N/A,N/A,N/A
Alakablast,Diego Burgos,N/A,N/A,N/A,N/A
Cuckooo!,József Dorsonczky,N/A,N/A,N/A,N/A
CLUE: The Legend of Zelda,N/A,N/A,N/A,N/A,N/A
Glory: 2nd Edition,Jeremy Hogg,N/A,N/A,N/A,N/A
30 Carats,Fabien Chevillon,N/A,N/A,N/A,N/A
Malawi,Gerhard E. Kodys,N/A,N/A,N/A,N/A
King Me!,Prospero Hall,N/A,N/A,N/A,N/A
Speedy Pickers,George Halkias,Konstantinos Karagiannis,N/A,N/A,N/A
Bards Dispense Profanity: A Party Game Based on the Works of William Shakespeare,N/A,N/A,N/A,N/A,N/A
Uppsala: Città d'Italia,Bernhard Lach,Uwe Rapp,N/A,N/A,N/A
Histórias de Pescador,Lucas Melo,N/A,N/A,N/A,N/A
The Emissary,Wilhelm Su,N/A,N/A,N/A,N/A
Chez Grunt,Alain H. Dawson,N/A,N/A,N/A,N/A
Rush Hour Shift,Alex Siedband,N/A,N/A,N/A,N/A
Rifles in the Pacific,Gottardo Zancani,N/A,N/A,N/A,N/A
In Security,Koen Hendrix,N/A,N/A,N/A,N/A
Dice of the Living Dead,Mads L. Brynnum,N/A,N/A,N/A,N/A
"The Ardennes Offensive: The Battle of the Bulge, December 1944",Jim Dunnigan,N/A,N/A,N/A,N/A
Marvel: Damage Control,Omari Akil,N/A,N/A,N/A,N/A
TRUT,Pascal Boucher,N/A,N/A,N/A,N/A
Wabanti,Reinhold Wittig,N/A,N/A,N/A,N/A
Black Swan,Gary Kim,N/A,N/A,N/A,N/A
Wild Realms,Jeremy Gulotta,N/A,N/A,N/A,N/A
Poison Pot,Dale Walton,N/A,N/A,N/A,N/A
Stac,Daniel Isom,N/A,N/A,N/A,N/A
Lunatix Loop,Matt Leacock,N/A,N/A,N/A,N/A
Quiz: Iisen Ikima Show !,Susumu Kawasaki,N/A,N/A,N/A,N/A
Anno Domini: Schweiz,Urs Hostettler,N/A,N/A,N/A,N/A
Bradley's D-Day,John Prados,Lembit Tohver,N/A,N/A,N/A
The Finnish Trilogy 1939-1945: Winter War 1939-1940 (Vol. 1),Mikael Grönroos,N/A,N/A,N/A,N/A
Suzerain,Thomas Lehmann,N/A,N/A,N/A,N/A
