Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Pocket Pharma,Brett J. Gilbert,Chu-Lan Kao,N/A,N/A,N/A
Sherlook,Silvano Sorrentino,N/A,N/A,N/A,N/A
Tomorrow,Feng Yi,N/A,N/A,N/A,N/A
Thorgal: The Card Game,Marcin Tomczyk,N/A,N/A,N/A,N/A
Breaking Bad: The Board Game,Antoine Morfan,Thomas Rofidal,N/A,N/A,N/A
SPECTRE: The Board Game,Javier Angeriz-Caburrasi,Antoine Bauza,Juan Echenique,Stefano Guerriero,N/A
890 Anno Domini,Emanuele Briano,N/A,N/A,N/A,N/A
Overboss Duel,Aaron Mesburne,N/A,N/A,N/A,N/A
Rocky Mountain Man,Nate Hayden,N/A,N/A,N/A,N/A
Dungeon Exit,David Carmona,Karen Nguyen,N/A,N/A,N/A
Twisted Cryptids,N/A,N/A,N/A,N/A,N/A
Top Cap,Enrico Gandolfo,N/A,N/A,N/A,N/A
Guardian's Call,James Hudson,N/A,N/A,N/A,N/A
Goblin Teeth,Frank Tedeschi,N/A,N/A,N/A,N/A
Portal of Morth,Buster Lehn,Manuel Muñoz,Fran Ruiz,N/A,N/A
Unlock!: Risky Adventures,Mathieu Casnin,Pierre Chabosy,Cyril Demaegd,Julien Jovis,N/A
18 Los Angeles,Anthony Fryer,N/A,N/A,N/A,N/A
Penguin Trap,N/A,N/A,N/A,N/A,N/A
"Bloody April: The Battle of Shiloh, 1862",Richard H. Berg,Richard Berg,N/A,N/A,N/A
Time Division,Alexander Schreiber,N/A,N/A,N/A,N/A
Koala Rescue Club,Phil Walker-Harding,N/A,N/A,N/A,N/A
Rory's Story Cubes: Mythic,Rory O'Connor,N/A,N/A,N/A,N/A
8 Masters' Revenge,Ludovic Roudy,Bruno Sautter,N/A,N/A,N/A
Guiscard,Buxeria,Pascal Toupy,N/A,N/A,N/A
Stakko,Laurent Escoffier,N/A,N/A,N/A,N/A
Sherlock Solitaire,Peter Scholtz (I),N/A,N/A,N/A,N/A
To the Strongest!,Simon Miller (III),N/A,N/A,N/A,N/A
General Quarters,L. L. Gill,Don Lowry,N/A,N/A,N/A
Turin Market,Jordan Draper,N/A,N/A,N/A,N/A
Button Soccer,Geraldo Décourt,N/A,N/A,N/A,N/A
Power Failure,Tao-Tao Chen,Yen-Lin Chen,Yu-Xuan Su,An-Qi Zheng,N/A
Lock 'n Load Tactical: Heroes of the Bitter Harvest,Devin Heinle,N/A,N/A,N/A,N/A
Space Marine Adventures: Rise of the Orks,N/A,N/A,N/A,N/A,N/A
Footy Manager,Luke Morris,N/A,N/A,N/A,N/A
SHIBUYA,佐藤 雄介 (Yusuke Sato),N/A,N/A,N/A,N/A
Scotland Yard: The Hunt for Mister X,Gunter Baars,N/A,N/A,N/A,N/A
Battle Kittens,Chris Castagnetto,N/A,N/A,N/A,N/A
Amulet,Alena Sokolov,Vladimir Sokolov,N/A,N/A,N/A
Arschmallows,Ricardo Barreto,Denis Görz,N/A,N/A,N/A
Tank on Tank: East Front,Peter Bogdasarian,N/A,N/A,N/A,N/A
Long Live the King,Dale Cook,John Dashler,Mark Rein•Hagen,Stewart Wieck,N/A
Gum Gum Machine,Stefan Dorra,Ralf zur Linde,N/A,N/A,N/A
Roll Estate,Chris Michaud,N/A,N/A,N/A,N/A
Machi Koro: Fussball,Masao Suganuma,N/A,N/A,N/A,N/A
Pick a Pen: Reefs,Reiner Knizia,N/A,N/A,N/A,N/A
The Fall Of The Third Reich,Ted Raicer,N/A,N/A,N/A,N/A
Callisto,Reiner Knizia,N/A,N/A,N/A,N/A
Inspector Moss: House Arrest,Rebekah Bissell,Jonathan Warren,N/A,N/A,N/A
Team Yankee,Phil Yates,N/A,N/A,N/A,N/A
Baronda,荒尾 俊樹 (Toshiki Arao),N/A,N/A,N/A,N/A
Kingdom's Candy: Monsters,Joe Slack,Zemilio,N/A,N/A,N/A
12 Days of Christmas,Gord!,N/A,N/A,N/A,N/A
Humboldt's Great Voyage,Remo Conzadori,Nestore Mangone,N/A,N/A,N/A
Outburst Remix!,Brian Hersch,N/A,N/A,N/A,N/A
Advanced Tobruk System Basic Game II: Streets of Stalingrad,Ray Tapio,N/A,N/A,N/A,N/A
Twins,Reiner Knizia,N/A,N/A,N/A,N/A
Worldwide Football,Guillaume Luton,N/A,N/A,N/A,N/A
Sherlock Holmes: Baker Street Irregulars,Cédric Asna,N/A,N/A,N/A,N/A
Star Wars Miniatures Battles,Stephen Crane,Paul Murphy,N/A,N/A,N/A
Attack of the 50 Foot Colossi!,Hermann Luttmann,N/A,N/A,N/A,N/A
Piratas! (3ª Edição),Pedro Sales,Renato Simões,N/A,N/A,N/A
End of Empire: 1744-1782,William Marsh,N/A,N/A,N/A,N/A
Subjective,Andrew Wolf,N/A,N/A,N/A,N/A
Sherlock Aquelarre: La Doncella,Ricard Ibáñez,N/A,N/A,N/A,N/A
Orcs Must Die! The Board Game: Unchained Edition,Sandy Petersen,N/A,N/A,N/A,N/A
Rogue Dungeon,Albert Danysh,Chad Randall Maniccia,Jon Smith,N/A,N/A
Hellweg westfalicus,Michael Schacht,N/A,N/A,N/A,N/A
RED,Néstor Romeral Andrés,N/A,N/A,N/A,N/A
Candy Hunters,Marek Chodań,Michał Gryń,N/A,N/A,N/A
Carrier Strike!,(Uncredited),N/A,N/A,N/A,N/A
Torpedo Run!,(Uncredited),N/A,N/A,N/A,N/A
Telma,Pedro Ometto,N/A,N/A,N/A,N/A
Academia,(Uncredited),N/A,N/A,N/A,N/A
Waka Waka,Rüdiger Dorn,N/A,N/A,N/A,N/A
Street Kings,Luca Vince Caltabiano,N/A,N/A,N/A,N/A
EKONOS (Second Edition),Victor Catala,N/A,N/A,N/A,N/A
Bee Lives: We Will Only Know Summer,Matt Shoemaker,N/A,N/A,N/A,N/A
Zagor: Odissea Americana,Luigi Ferrini,Daniele Ursini,N/A,N/A,N/A
Konexi,Forrest-Pruzan Creative,N/A,N/A,N/A,N/A
Platformer,Artur Lutyński,Łukasz Włodarczyk,N/A,N/A,N/A
Primordial Secrets,Garth Avery,N/A,N/A,N/A,N/A
Ptolemy,Geonil,N/A,N/A,N/A,N/A
Port Royal: The Dice Game,Alexander Pfister,N/A,N/A,N/A,N/A
Danube 20: The Battles of Aspern-Essling & Wagram 1809,Kim Meints,N/A,N/A,N/A,N/A
Triora: City of Witches,Michael Alves,N/A,N/A,N/A,N/A
League of the Lexicon,N/A,N/A,N/A,N/A,N/A
Critical: Foundation – Season 1,Yohan Lemonnier,Kristoff Valla,N/A,N/A,N/A
Abuela Co.,Victor J. Duarte,N/A,N/A,N/A,N/A
"Matanikau: Battles on the Matanikau River, Guadalcanal, 1942",Dean Essig,Sam Simmons,N/A,N/A,N/A
God Dice,Rick Maxey,N/A,N/A,N/A,N/A
Medieval Realms,Carlos Michán Amado,N/A,N/A,N/A,N/A
SWAT!,Reiner Knizia,N/A,N/A,N/A,N/A
Bronze Age,John Clowdus,N/A,N/A,N/A,N/A
"Lion of the North: The Dawn of Modern Warfare, 1631-1632",Richard H. Berg,Mark Herman,N/A,N/A,N/A
Wakening Lair,Mike Richie,N/A,N/A,N/A,N/A
Murray the A**hole Frog,Jenna Felli,N/A,N/A,N/A,N/A
Space Cats Fight Fascism,Brian Van Slyke,N/A,N/A,N/A,N/A
Summer Storm: The Battle of Gettysburg,Rick Barber,N/A,N/A,N/A,N/A
Pikemen,Jacob Davenport,N/A,N/A,N/A,N/A
Skytear Horde: Campaigns,N/A,N/A,N/A,N/A,N/A
