Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
King of Tokyo: Origins,Richard Garfield,N/A,N/A,N/A,N/A
Crack List,Pierre Faucon,N/A,N/A,N/A,N/A
Party Alias,Mikko Koivusalo,N/A,N/A,N/A,N/A
Miscellaneous Game Accessory,(Uncredited),N/A,N/A,N/A,N/A
Plan Orange: Pacific War 1932-1935,Mark Herman,N/A,N/A,N/A,N/A
Express,Darwin Bromley,N/A,N/A,N/A,N/A
Backstories: Alone Under the Ice,Jules Messaud,Anthony Perone,N/A,N/A,N/A
Zeppelin Attack!,Eric B. Vogel,N/A,N/A,N/A,N/A
Galaxy of Trian,Grzegorz Kalarus,Sebastian Oliwa,Seweryn Piotrowski,N/A,N/A
Biomos,Gricha German,N/A,N/A,N/A,N/A
Casa Grande,Günter Burkhardt,N/A,N/A,N/A,N/A
Next War: Vietnam,Mitchell Land,N/A,N/A,N/A,N/A
¡Adiós Calavera!,Martin Schlegel,N/A,N/A,N/A,N/A
Heights of Courage: The Battle for the Golan Heights,Steve Newhouse,N/A,N/A,N/A,N/A
Wolfpack: The North Atlantic Convoy Struggles October 1941 - March 1943,Mike Bertucelli,N/A,N/A,N/A,N/A
Struggle for the Galactic Empire,Joseph Miranda,N/A,N/A,N/A,N/A
Samurai: The Card Game,Reiner Knizia,N/A,N/A,N/A,N/A
Delve: The Dice Game,Drew Chamberlain,N/A,N/A,N/A,N/A
Sentinels of Earth-Prime,Christopher Badell,N/A,N/A,N/A,N/A
Bebop,Robert Hovakimyan,N/A,N/A,N/A,N/A
Grass,Jeff London,N/A,N/A,N/A,N/A
Kribbeln,Thomas Sing,N/A,N/A,N/A,N/A
1824: Austria-Hungary,Helmut Ohley,"Leonhard ""Lonny"" Orgler",N/A,N/A,N/A
Battle for Stalingrad,John Hill (I),N/A,N/A,N/A,N/A
"The Legend Begins: North Africa, 1940-42",Mark Simonitch,N/A,N/A,N/A,N/A
DC Deck-Building Game: Injustice,Nathaniel Yamaguchi,N/A,N/A,N/A,N/A
MBT,James M. Day,James M. Day,James M. Day,N/A,N/A
Point of View: Lost Places,Lukas Bleuel,N/A,N/A,N/A,N/A
Kenjin,Nicolas Sato,N/A,N/A,N/A,N/A
Wizards of the Wild,Dan Schnake,Adam West,N/A,N/A,N/A
