Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Container,Franz-Benno Delonge,Thomas Ewert,N/A,N/A,N/A
Terrorscape,Jeffrey CCH,N/A,N/A,N/A,N/A
Star Trek: Fleet Captains,Mike Elliott,Bryan Kinsella,Ethan Pasternack,N/A,N/A
Nightmare Productions,Reiner Knizia,N/A,N/A,N/A,N/A
Stardew Valley: The Board Game,Eric Barone,Cole Medeiros,N/A,N/A,N/A
Combat Commander: Pacific,John Foley,Chad Jensen,Kai Jensen,N/A,N/A
Washington's War,Mark Herman,N/A,N/A,N/A,N/A
Palm Island,Jon Mietling,N/A,N/A,N/A,N/A
Zombicide: Invader,Raphaël Guiton,Jean-Baptiste Lullien,Nicolas Raoult,N/A,N/A
Roll Through the Ages: The Bronze Age,Matt Leacock,N/A,N/A,N/A,N/A
"13 Days: The Cuban Missile Crisis, 1962",Asger Harding Granerud,Daniel Skjold Pedersen,N/A,N/A,N/A
Red Rising,Alexander Schmidt (II),Jamey Stegmaier,N/A,N/A,N/A
Hyperborea,Andrea Chiarvesio,Pierluca Zizzi,N/A,N/A,N/A
Thunderstone,Mike Elliott,N/A,N/A,N/A,N/A
Carcassonne: The City,Klaus-Jürgen Wrede,N/A,N/A,N/A,N/A
Istanbul: The Dice Game,Rüdiger Dorn,N/A,N/A,N/A,N/A
Ca$h 'n Guns: Second Edition,Ludovic Maublanc,N/A,N/A,N/A,N/A
Yedo,Thomas Vande Ginste,Wolf Plancke,N/A,N/A,N/A
Sleeping Gods: Distant Skies,Ryan Laukat,N/A,N/A,N/A,N/A
Last Night on Earth: The Zombie Game,Jason C. Hill,N/A,N/A,N/A,N/A
Everdell Farshore,James A. Wilson,Clarissa A. Wilson,N/A,N/A,N/A
Condottiere,Dominique Ehrhard,Duccio Vitale,N/A,N/A,N/A
San Marco,Alan R. Moon,Aaron Weissblum,N/A,N/A,N/A
Formula Dé,Laurent Lavaur,Eric Randall,N/A,N/A,N/A
Tiny Epic Dinosaurs,Scott Almes,N/A,N/A,N/A,N/A
Catacombs (Third Edition),Ryan Amos,Marc Kelsey,Aron West,N/A,N/A
DinoGenics,Richard Keene,N/A,N/A,N/A,N/A
Vantage,Jamey Stegmaier,N/A,N/A,N/A,N/A
Akrotiri,Jay Cormier,Sen-Foong Lim,N/A,N/A,N/A
Union Pacific,Alan R. Moon,N/A,N/A,N/A,N/A
Captain Flip,Remo Conzadori,Paolo Mori,N/A,N/A,N/A
Qwirkle,Susan McKinley Ross,N/A,N/A,N/A,N/A
Spyfall,Alexandr Ushan,N/A,N/A,N/A,N/A
The Thing: The Boardgame,Giuseppe Cicero,Andrea Crespi,N/A,N/A,N/A
Jaws,Prospero Hall,Brian Kirk,N/A,N/A,N/A
