Title,Designer 1,Designer 2,Designer 3,Designer 4,Designer 5
Harakiri: Blades of Honor,Fernando Gamero,Joel Torres,N/A,N/A,N/A
Sentinel Tactics: The Flame of Freedom,Christopher Badell,Luther Bell Hendricks V,Kevin G. Nunn,N/A,N/A
Australian Rails,Larry Roznai,Loren Roznai,N/A,N/A,N/A
Brew Crafters: Travel Card Game,Ben Rosset,N/A,N/A,N/A,N/A
Martian Rails,M. Robert Stribula,N/A,N/A,N/A,N/A
Warhammer Quest: Cursed City,N/A,N/A,N/A,N/A,N/A
Allegiance: A Realm Divided,Paul MacKinnon,N/A,N/A,N/A,N/A
Avant Carde,Mary Flanagan,Max Seidman,N/A,N/A,N/A
Temporum,Donald X. Vaccarino,N/A,N/A,N/A,N/A
The Architects of Amytis,Jérémy Ducret,Romaric Galonnier,N/A,N/A,N/A
Tatsu,John Yianni,N/A,N/A,N/A,N/A
AI Space Puzzle,Katarzyna Cioch,Sylwia Smolińska,Wojciech Wiśniewski,Mateusz Wolski,N/A
"Soviet Dawn: The Russian Civil War, 1918-1921",Darin A. Leviloff,N/A,N/A,N/A,N/A
Succulent,J. Alex Kevern,N/A,N/A,N/A,N/A
The Red Dragon Inn 7: The Tavern Crew,Jeff Morrow,Sam Waller,N/A,N/A,N/A
Escape Room: The Game – Puzzle Adventures: Secret of The Scientist,(Uncredited),N/A,N/A,N/A,N/A
Hellenica: Story of Greece,Scott DeMers,N/A,N/A,N/A,N/A
La Strada,Martin Wallace,N/A,N/A,N/A,N/A
Haleakala,Marc Klerner,Florian Racky,N/A,N/A,N/A
Brikks,Wolfgang Warsch,N/A,N/A,N/A,N/A
HEXplore It: The Sands of Shurax,Kat Kimoundri,Nathan Loos,Jonathan Mariucci,N/A,N/A
The Old Prince 1871,Lucas Boyd,N/A,N/A,N/A,N/A
The Everrain,Adam J Smith,N/A,N/A,N/A,N/A
Gnomopolis,Igor Knop,Patrick Matheus,N/A,N/A,N/A
Spike,Stephen Glenn,N/A,N/A,N/A,N/A
Tholos,David Bernal,N/A,N/A,N/A,N/A
Groundhog Day: The Game,Prospero Hall,Peter Lee,N/A,N/A,N/A
Lovelace & Babbage,Scott Almes,N/A,N/A,N/A,N/A
U.S. Telegraph,Marcel-André Casasola Merkle,N/A,N/A,N/A,N/A
Cliffhanger,Günter Burkhardt,N/A,N/A,N/A,N/A
Whispering Woods,Cristian Bustos,Bernardo Vásquez,N/A,N/A,N/A
The Bears and the Bees,Jeffrey Beck,N/A,N/A,N/A,N/A
Rod Hockey,Don Munro,N/A,N/A,N/A,N/A
Kiri-ai: The Duel,Kamibayashi (カミバヤシ),N/A,N/A,N/A,N/A
Orient Express,R. Wayne Schmittberger,Jeff Smets,N/A,N/A,N/A
Captive,Emmanuel Quaireau,N/A,N/A,N/A,N/A
Pocket Battles: Elves vs. Orcs,Paolo Mori,Francesco Sirocchi,N/A,N/A,N/A
Gateway Island,"Matteo ""TeOoh!"" Boca",P.S. Martensen,N/A,N/A,N/A
Jäger und Späher,Gerhard Hecht,N/A,N/A,N/A,N/A
Lost Valley: The Yukon Goldrush 1896,Tobias Goslar,Roland Goslar,Johannes Goslar,N/A,N/A
World at War: Blood and Bridges,Jim Snyder,Mark H. Walker,N/A,N/A,N/A
